"","PertePoids","Sorte_The","Producteur","Prelevement","Site","DoseRepPrel"
"63",0.0387267904509284,"Residus_Canneberges","Belanger",7,"10","30_NA_10_7"
"64",0.0552371026576342,"Residus_Canneberges","Belanger",7,"10","30_NA_10_7"
"65",0.0332805071315372,"Residus_Canneberges","Belanger",7,"10","30_NA_10_7"
"66",0.0366876310272536,"Residus_Canneberges","Belanger",7,"10","30_NA_10_7"
"67",0.020997375328084,"Residus_Canneberges","Belanger",7,"10","45_NA_10_7"
"68",0.0379346680716543,"Residus_Canneberges","Belanger",7,"10","45_NA_10_7"
"69",0.0400632577754349,"Residus_Canneberges","Belanger",7,"10","45_NA_10_7"
"70",0.0298117154811715,"Residus_Canneberges","Belanger",7,"10","45_NA_10_7"
"71",0.0318979266347688,"Residus_Canneberges","Belanger",7,"10","45_NA_10_7"
"72",0.0292580982236154,"Residus_Canneberges","Belanger",7,"10","45_NA_10_7"
"73",0.0338266384778012,"Residus_Canneberges","Belanger",7,"10","60_NA_10_7"
"74",0.0327783558792924,"Residus_Canneberges","Belanger",7,"10","60_NA_10_7"
"75",0.028735632183908,"Residus_Canneberges","Belanger",7,"10","60_NA_10_7"
"76",0.0212435233160621,"Residus_Canneberges","Belanger",7,"10","60_NA_10_7"
"77",0.0335397316821465,"Residus_Canneberges","Belanger",7,"10","60_NA_10_7"
"78",0.0426417056682268,"Residus_Canneberges","Belanger",7,"10","60_NA_10_7"
"79",0.0738007380073801,"Residus_Canneberges","Belanger",7,"10","30_NA_10_7"
"80",0.0156331422615946,"Residus_Canneberges","Belanger",7,"10","30_NA_10_7"
"81",0.0227861211807354,"Residus_Canneberges","Belanger",7,"10","45_2_10_7"
"82",0.0356955380577428,"Residus_Canneberges","Belanger",7,"10","45_2_10_7"
"83",0.0376766091051806,"Residus_Canneberges","Belanger",7,"10","60_2_10_7"
"84",0.0368615060558189,"Residus_Canneberges","Belanger",7,"10","60_2_10_7"
"85",-0.00672182006204763,"Residus_Canneberges","Fortier",7,"10","NA_NA_10_7"
"86",0.0204081632653061,"Residus_Canneberges","Fortier",7,"10","NA_NA_10_7"
"87",0.0118679050567595,"Residus_Canneberges","Fortier",7,"10","NA_NA_10_7"
"88",0.0193818753273965,"Residus_Canneberges","Fortier",7,"10","NA_NA_10_7"
"89",0.0179704016913318,"Residus_Canneberges","Fortier",7,"10","NA_NA_10_7"
"90",0.0103412616339193,"Residus_Canneberges","Fortier",7,"10","NA_NA_10_7"
"91",0.0233669676048858,"Residus_Canneberges","Belanger",7,"10","NA_1_10_7"
"92",0.0227507755946226,"Residus_Canneberges","Belanger",7,"10","NA_2_10_7"
"93",0.0145152928978746,"Residus_Canneberges","Belanger",7,"10","NA_3_10_7"
"94",0.02283341982356,"Residus_Canneberges","Belanger",7,"10","NA_4_10_7"
"95",0.0260824204486177,"Residus_Canneberges","Belanger",7,"10","NA_5_10_7"
"96",0.138325533021321,"Residus_Canneberges","Belanger",7,"10","NA_6_10_7"
"97",0.122002085505735,"Residus_Canneberges","Belanger",7,"10","NA_1_10_7"
"98",-0.0196078431372549,"Residus_Canneberges","Belanger",7,"10","NA_2_10_7"
"99",0.017838405036726,"Residus_Canneberges","Belanger",7,"10","NA_3_10_7"
"100",0.0534509600415153,"Residus_Canneberges","Belanger",7,"10","NA_4_10_7"
"101",0.0244791666666666,"Residus_Canneberges","Belanger",7,"10","NA_5_10_7"
"102",0.0166753517457009,"Residus_Canneberges","Belanger",7,"10","NA_6_10_7"
"103",-0.0202913631633716,"Residus_Canneberges","Fortier",7,"9","0_1_9_7"
"104",0.0635658914728682,"Residus_Canneberges","Fortier",7,"9","0_1_9_7"
"105",0.0401498929336189,"Residus_Canneberges","Fortier",7,"9","0_1_9_7"
