No;TypeThe;SorteThe;PoidsContenu_g;PoidsTotal _g;PoidsSac_g;Poids_Restant_g;Producteur;Champs;Regie;TypeAzote;DoseN;Repetition;Teneur_C_Initial_g;Teneur_N_Initial_g;Teneur_S_Initial_g;Pourcentage_C_Final;Teneur_C_Final_g;Pourcentage_N_Final;Teneur_N_Final_g;Pourcentage_S_Final;Teneur_S_Final_g;Difference_C_Total_g;Difference_N_Total_g;Difference_S_Total_g;GreenTMoy_C;GreenTMoy_N;GreenTMoy_S
853;G;GrenTea;1,772;2,131;0,357;0,754;Fortier;45;Conventionel;N;60;1;0,850465493;0,05984044;0,003431773;50,239;0,37880206;4,7838;0,036069852;0,293;0,00220922;0,471663433;0,023770588;0,001222553;;;
854;G;GrenTea;1,794;2,145;0,353;0,796;Fortier;45;Conventionel;N;60;1;0,86102432;0,06058338;0,00347438;50,191;0,39952036;4,0365;0,03213054;0,264;0,00210144;0,46150396;0,02845284;0,00137294;;;
855;G;GrenTea;1,772;2,131;0,359;0,781;Fortier;45;Conventionel;N;60;1;0,850465493;0,05984044;0,003431773;50,945;0,39788045;4,421;0,03452801;0,269;0,00210089;0,452585043;0,02531243;0,001330883;;;
856;G;GrenTea;1,764;2,118;0,354;0,817;Fortier;45;Conventionel;N;60;2;0,84662592;0,05957028;0,00341628;44,363;0,36244571;3,7301;0,030474917;0,33;0,0026961;0,48418021;0,029095363;0,00072018;;;
857;G;GrenTea;1,773;2,128;0,352;0,717;Fortier;45;Conventionel;N;60;2;0,85094544;0,05987421;0,00343371;50,583;0,36268011;3,6961;0,026501037;0,285;0,00204345;0,48826533;0,033373173;0,00139026;;;
858;G;GrenTea;1,771;2,132;0,359;0,869;Fortier;45;Conventionel;N;60;2;0,849985547;0,05980667;0,003429837;48,501;0,42147369;4,4927;0,039041563;0,27;0,0023463;0,428511857;0,020765107;0,001083537;;;
1206;G;GrenTea;1,754;2,117;0,362;0,851;Fortier;45;Conventionel;Nproducteur;;;0,841826453;0,05923258;0,003396913;49,362;0,42007062;4,5884;0,039047284;0,286;0,00243386;0,421755833;0,020185296;0,000963053;;;
1207;G;GrenTea;1,751;2,101;0,35;0,742;Fortier;45;Conventionel;Nproducteur;;;0,840386613;0,05913127;0,003391103;49,238;0,36534596;4,2849;0,031793958;0,296;0,00219632;0,475040653;0,027337312;0,001194783;;;
1208;G;GrenTea;1,774;2,137;0,363;0,668;Fortier;45;Conventionel;Nproducteur;;;0,851425387;0,05990798;0,003435647;50,728;0,33886304;3,3266;0,022221688;0,257;0,00171676;0,512562347;0,037686292;0,001718887;;;
1209;G;GrenTea;1,77;2,128;0,357;0,837;Fortier;45;Conventionel;Nproducteur;;;0,8495056;0,0597729;0,0034279;51,201;0,42855237;4,7512;0,039767544;0,29;0,0024273;0,42095323;0,020005356;0,0010006;;;
1210;G;GrenTea;1,774;2,135;0,361;;Fortier;45;Conventionel;Nproducteur;;;0,851425387;0,05990798;0,003435647;;;;;;;;;;;;
1211;G;GrenTea;1,793;2,146;0,353;0,852;Fortier;45;Conventionel;Nproducteur;;;0,860544373;0,06054961;0,003472443;51,146;0,43576392;5,0601;0,043112052;0,308;0,00262416;0,424780453;0,017437558;0,000848283;;;
1212;G;GrenTea;1,797;2,156;0,359;0,772;Fortier;45;Conventionel;Nproducteur;;;0,86246416;0,06068469;0,00348019;49,503;0,38216316;3,5529;0,027428388;0,266;0,00205352;0,480301;0,033256302;0,00142667;;;
1213;G;GrenTea;1,767;2,127;0,36;0,876;Fortier;45;Conventionel;Nproducteur;;;0,84806576;0,05967159;0,00342209;49,173;0,43075548;4,5658;0,039996408;0,275;0,002409;0,41731028;0,019675182;0,00101309;;;
1214;G;GrenTea;1,799;2,162;0,362;;Fortier;45;Conventionel;Nproducteur;;;0,863424053;0,06075223;0,003484063;50,49;;4,9219;;0,301;;0,863424053;0,06075223;0,003484063;;;
