No;TypeThe;SorteThe;PoidsContenu_g;PoidsTotal _g;PoidsSac_g;Poids_Restant_g;Producteur;Champs;Regie;TypeAzote;DoseN;Repetition;Teneur_C;Teneur_N;Teneur_S
143;G;GrenTea;1,796;2,024;0,228;;Belanger;A9;Biologique;Nproducteur;68,71;1;;;
144;G;GrenTea;1,789;2,014;0,227;0,793;Belanger;A9;Biologique;Nproducteur;68,71;1;;;
145;G;GrenTea;1,775;2,002;0,227;0,792;Belanger;A9;Biologique;Nproducteur;68,71;2;;;
146;G;GrenTea;1,756;1,984;0,228;;Belanger;A9;Biologique;Nproducteur;68,71;2;;;
147;G;GrenTea;1,795;2,022;0,228;0,61;Belanger;A9;Biologique;Nproducteur;68,71;2;;;
148;G;GrenTea;1,793;2,02;0,227;0,72;Belanger;A9;Biologique;Nproducteur;68,71;1;;;
149;G;GrenTea;1,789;2,014;0,227;0,744;Belanger;A9;Biologique;Nproducteur;68,71;1;;;
150;G;GrenTea;1,76;1,988;0,228;0,824;Belanger;A9;Biologique;Nproducteur;68,71;1;;;
151;G;GrenTea;1,767;1,993;0,226;0,753;Belanger;A9;Biologique;Nproducteur;68,71;2;;;
152;G;GrenTea;1,788;2,016;0,228;;Belanger;A9;Biologique;Nproducteur;68,71;2;;;
153;G;GrenTea;1,785;2,009;0,224;0,808;Belanger;A9;Biologique;Nproducteur;68,71;2;;;
154;G;GrenTea;1,785;2,013;0,227;0,735;Belanger;10;Conventionel;N;0;1;;;
155;G;GrenTea;1,794;2,022;0,227;0,741;Belanger;10;Conventionel;N;0;1;;;
156;G;GrenTea;1,777;2,004;0,226;0,74;Belanger;10;Conventionel;N;0;1;;;
157;G;GrenTea;1,756;1,984;0,227;0,729;Belanger;10;Conventionel;N;0;2;;;
158;G;GrenTea;1,76;1,983;0,224;0,805;Belanger;10;Conventionel;N;0;2;;;
159;G;GrenTea;1,799;2,024;0,225;0,743;Belanger;10;Conventionel;N;0;2;;;
160;G;GrenTea;1,756;1,983;0,228;;Belanger;10;Conventionel;N;15;1;;;
161;G;GrenTea;1,76;1,988;0,228;0,674;Belanger;10;Conventionel;N;15;1;;;
162;G;GrenTea;1,771;1,998;0,226;0,739;Belanger;10;Conventionel;N;15;1;;;
163;G;GrenTea;1,781;2,011;0,23;0,775;Belanger;10;Conventionel;N;15;2;;;
164;G;GrenTea;1,793;2,021;0,227;0,764;Belanger;10;Conventionel;N;15;2;;;
165;G;GrenTea;1,784;2,01;0,226;0,836;Belanger;10;Conventionel;N;15;2;;;
166;G;GrenTea;1,786;2,013;0,227;0,658;Belanger;10;Conventionel;N;30;1;;;
167;G;GrenTea;1,776;2,003;0,227;0,751;Belanger;10;Conventionel;N;30;1;;;
168;G;GrenTea;1,788;2,013;0,227;0,732;Belanger;10;Conventionel;N;30;1;;;
169;G;GrenTea;1,781;2,008;0,227;;Belanger;10;Conventionel;N;30;1;;;
170;G;GrenTea;1,78;2,007;0,227;0,616;Belanger;10;Conventionel;N;30;2;;;
171;G;GrenTea;1,761;1,99;0,229;0,778;Belanger;10;Conventionel;N;30;2;;;
172;G;GrenTea;1,76;1,983;0,226;0,645;Belanger;10;Conventionel;N;30;2;;;
173;G;GrenTea;1,77;1,998;0,228;0,801;Belanger;10;Conventionel;N;45;1;;;
174;G;GrenTea;1,769;1,995;0,227;0,765;Belanger;10;Conventionel;N;45;1;;;
175;G;GrenTea;1,765;1,993;0,228;0,723;Belanger;10;Conventionel;N;45;1;;;
176;G;GrenTea;1,778;2,004;0,226;0,709;Belanger;10;Conventionel;N;45;2;;;
177;G;GrenTea;1,781;2,008;0,228;0,803;Belanger;10;Conventionel;N;45;2;;;
178;G;GrenTea;1,793;2,022;0,228;0,714;Belanger;10;Conventionel;N;45;2;;;
179;G;GrenTea;1,786;2,012;0,226;0,744;Belanger;10;Conventionel;N;60;1;;;
180;G;GrenTea;1,799;2,023;0,224;0,851;Belanger;10;Conventionel;N;60;1;;;
181;G;GrenTea;1,766;1,995;0,229;0,702;Belanger;10;Conventionel;N;60;1;;;
182;G;GrenTea;1,754;1,981;0,228;0,769;Belanger;10;Conventionel;N;60;2;;;
183;G;GrenTea;1,77;1,997;0,227;0,74;Belanger;10;Conventionel;N;60;2;;;
184;G;GrenTea;1,796;2,019;0,227;;Belanger;10;Conventionel;N;60;2;;;
185;G;GrenTea;1,787;2,012;0,227;0,714;Belanger;10;Conventionel;N-SCU;45;2;;;
186;G;GrenTea;1,777;2,002;0,225;0,692;Belanger;10;Conventionel;N-SCU;45;2;;;
187;G;GrenTea;1,791;2,018;0,227;0,732;Belanger;10;Conventionel;N-SCU;60;2;;;
188;G;GrenTea;1,773;2,001;0,229;0,784;Belanger;10;Conventionel;N-SCU;60;2;;;
189;G;GrenTea;1,792;2,022;0,229;0,734;Belanger;10;Conventionel;N-SCU;30;2;;;
190;G;GrenTea;1,783;2,011;0,227;0,825;Belanger;10;Conventionel;N-SCU;30;2;;;
89;S;Rooibos;1,905;2,131;0,227;1,43;Belanger;10;Conventionel;Nproducteur;57,28;1;;;
90;S;Rooibos;1,919;2,144;0,226;1,381;Belanger;10;Conventionel;Nproducteur;57,28;1;;;
91;S;Rooibos;1,917;2,145;0,226;1,544;Belanger;10;Conventionel;Nproducteur;57,28;2;;;
92;S;Rooibos;1,897;2,123;0,227;;Belanger;10;Conventionel;Nproducteur;57,28;2;;;
93;S;Rooibos;1,89;2,115;0,226;1,494;Belanger;10;Conventionel;Nproducteur;57,28;2;;;
94;S;Rooibos;1,913;2,142;0,229;1,426;Belanger;10;Conventionel;Nproducteur;57,28;1;;;
95;S;Rooibos;1,893;2,12;0,226;1,434;Belanger;10;Conventionel;Nproducteur;57,28;1;;;
96;S;Rooibos;1,902;2,129;0,227;1,513;Belanger;10;Conventionel;Nproducteur;57,28;1;;;
97;S;Rooibos;1,898;2,124;0,227;1,472;Belanger;10;Conventionel;Nproducteur;57,28;2;;;
98;S;Rooibos;1,891;2,116;0,225;1,63;Belanger;10;Conventionel;Nproducteur;57,28;2;;;
99;S;Rooibos;1,899;2,129;0,229;1,456;Belanger;10;Conventionel;Nproducteur;57,28;2;;;
100;S;Rooibos;1,916;2,144;0,228;1,412;Belanger;A9;Biologique;Nproducteur;68,71;1;;;
101;S;Rooibos;1,909;2,137;0,229;1,411;Belanger;A9;Biologique;Nproducteur;68,71;1;;;
102;S;Rooibos;1,907;2,135;0,229;1,567;Belanger;A9;Biologique;Nproducteur;68,71;1;;;
103;S;Rooibos;1,903;2,13;0,227;1,584;Belanger;A9;Biologique;Nproducteur;68,71;2;;;
104;S;Rooibos;1,909;2,136;0,228;1,68;Belanger;A9;Biologique;Nproducteur;68,71;2;;;
105;S;Rooibos;1,911;2,139;0,228;1,397;Belanger;A9;Biologique;Nproducteur;68,71;2;;;
106;S;Rooibos;1,899;2,126;0,227;1,321;Belanger;A9;Biologique;Nproducteur;68,71;1;;;
107;S;Rooibos;1,901;2,127;0,227;1,467;Belanger;A9;Biologique;Nproducteur;68,71;1;;;
108;S;Rooibos;1,905;2,128;0,225;1,547;Belanger;A9;Biologique;Nproducteur;68,71;1;;;
109;S;Rooibos;1,912;2,14;0,228;1,577;Belanger;A9;Biologique;Nproducteur;68,71;2;;;
110;S;Rooibos;1,899;2,126;0,227;1,557;Belanger;A9;Biologique;Nproducteur;68,71;2;;;
111;S;Rooibos;1,916;2,142;0,226;1,479;Belanger;A9;Biologique;Nproducteur;68,71;2;;;
112;S;Rooibos;1,904;2,13;0,228;1,492;Belanger;A9;Biologique;Nproducteur;68,71;1;;;
113;S;Rooibos;1,898;2,126;0,229;1,39;Belanger;A9;Biologique;Nproducteur;68,71;1;;;
114;S;Rooibos;1,907;2,134;0,228;1,495;Belanger;A9;Biologique;Nproducteur;68,71;1;;;
115;S;Rooibos;1,909;2,136;0,226;;Belanger;A9;Biologique;Nproducteur;68,71;2;;;
116;S;Rooibos;1,911;2,14;0,227;1,61;Belanger;A9;Biologique;Nproducteur;68,71;2;;;
117;S;Rooibos;1,898;2,123;0,226;;Belanger;A9;Biologique;Nproducteur;68,71;2;;;
118;S;Rooibos;1,905;2,135;0,23;1,509;Belanger;10;Conventionel;N;0;1;;;
119;S;Rooibos;1,904;2,129;0,225;1,364;Belanger;10;Conventionel;N;0;1;;;
120;S;Rooibos;1,897;2,123;0,225;;Belanger;10;Conventionel;N;0;1;;;
121;S;Rooibos;1,892;2,12;0,228;1,402;Belanger;10;Conventionel;N;0;2;;;
122;S;Rooibos;1,909;2,135;0,226;1,474;Belanger;10;Conventionel;N;0;2;;;
123;S;Rooibos;1,896;2,123;0,227;1,439;Belanger;10;Conventionel;N;0;2;;;
124;S;Rooibos;1,898;2,124;0,226;1,366;Belanger;10;Conventionel;N;15;1;;;
125;S;Rooibos;1,91;2,136;0,227;;Belanger;10;Conventionel;N;15;1;;;
126;S;Rooibos;1,905;2,13;0,226;1,525;Belanger;10;Conventionel;N;15;1;;;
127;S;Rooibos;1,891;2,117;0,227;1,584;Belanger;10;Conventionel;N;15;2;;;
128;S;Rooibos;1,899;2,127;0,229;1,405;Belanger;10;Conventionel;N;15;2;;;
129;S;Rooibos;1,89;2,117;0,228;1,496;Belanger;10;Conventionel;N;15;2;;;
130;S;Rooibos;1,908;2,134;0,225;1,574;Belanger;10;Conventionel;N;30;1;;;
131;S;Rooibos;1,916;2,142;0,226;1,565;Belanger;10;Conventionel;N;30;1;;;
132;S;Rooibos;1,891;2,116;0,226;1,573;Belanger;10;Conventionel;N;30;1;;;
133;S;Rooibos;1,906;2,132;0,225;1,446;Belanger;10;Conventionel;N;30;2;;;
134;S;Rooibos;1,909;2,136;0,228;1,566;Belanger;10;Conventionel;N;30;2;;;
135;S;Rooibos;1,906;2,132;0,227;1,54;Belanger;10;Conventionel;N;30;2;;;
136;S;Rooibos;1,913;2,139;0,226;1,571;Belanger;10;Conventionel;N;45;1;;;
137;S;Rooibos;1,92;2,148;0,228;1,534;Belanger;10;Conventionel;N;45;1;;;
138;S;Rooibos;1,917;2,142;0,226;1,601;Belanger;10;Conventionel;N;45;1;;;
139;S;Rooibos;1,893;2,119;0,226;1,406;Belanger;10;Conventionel;N;45;2;;;
140;S;Rooibos;1,893;2,117;0,225;1,349;Belanger;10;Conventionel;N;45;2;;;
141;S;Rooibos;1,901;2,127;0,226;1,5;Belanger;10;Conventionel;N;45;2;;;
142;S;Rooibos;1,92;2,146;0,226;1,596;Belanger;10;Conventionel;N;60;1;;;
143;S;Rooibos;1,906;2,132;0,226;1,473;Belanger;10;Conventionel;N;60;1;;;
144;S;Rooibos;1,912;2,138;0,225;1,516;Belanger;10;Conventionel;N;60;1;;;
145;S;Rooibos;1,915;2,14;0,226;1,49;Belanger;10;Conventionel;N;60;2;;;
146;S;Rooibos;1,916;2,142;0,226;1,645;Belanger;10;Conventionel;N;60;2;;;
147;S;Rooibos;1,89;2,116;0,226;1,524;Belanger;10;Conventionel;N;60;2;;;
148;S;Rooibos;1,899;2,127;0,227;1,391;Belanger;10;Conventionel;N;45;2;;;
149;S;Rooibos;1,912;2,139;0,227;1,446;Belanger;10;Conventionel;N;45;2;;;
150;S;Rooibos;1,908;2,138;0,231;1,534;Belanger;10;Conventionel;N;60;2;;;
151;S;Rooibos;1,919;2,145;0,226;1,615;Belanger;10;Conventionel;N;60;2;;;
152;S;Rooibos;1,903;2,129;0,226;1,598;Belanger;10;Conventionel;N;30;2;;;
153;S;Rooibos;1,919;2,144;0,226;1,518;Belanger;10;Conventionel;N;30;2;;;
625;G;GrenTea;1,781;2,141;0,36;0,633;Fortier;9;Conventionel;N;0;1;;;
626;G;GrenTea;1,772;2,135;0,364;0,608;Fortier;9;Conventionel;N;0;1;;;
627;G;GrenTea;1,78;2,144;0,363;0,623;Fortier;9;Conventionel;N;0;1;;;
628;G;GrenTea;1,787;2,15;0,363;0,687;Fortier;9;Conventionel;N;0;2;;;
629;G;GrenTea;1,769;2,137;0,368;0,703;Fortier;9;Conventionel;N;0;2;;;
630;G;GrenTea;1,791;2,151;0,36;0,637;Fortier;9;Conventionel;N;0;2;;;
631;G;GrenTea;1,767;2,128;0,361;0,593;Fortier;9;Conventionel;N;15;1;;;
632;G;GrenTea;1,783;2,145;0,362;0,62;Fortier;9;Conventionel;N;15;1;;;
633;G;GrenTea;1,765;2,126;0,361;;Fortier;9;Conventionel;N;15;1;;;
634;G;GrenTea;1,77;2,132;0,363;;Fortier;9;Conventionel;N;15;2;;;
635;G;GrenTea;1,784;2,148;0,364;0,645;Fortier;9;Conventionel;N;15;2;;;
636;G;GrenTea;1,756;2,118;0,363;0,587;Fortier;9;Conventionel;N;15;2;;;
637;G;GrenTea;1,785;2,152;0,365;0,702;Fortier;9;Conventionel;N;30;1;;;
638;G;GrenTea;1,778;2,144;0,366;0,582;Fortier;9;Conventionel;N;30;1;;;
639;G;GrenTea;1,8;2,161;0,361;0,669;Fortier;9;Conventionel;N;30;1;;;
640;G;GrenTea;1,796;2,154;0,357;0,784;Fortier;9;Conventionel;N;30;2;;;
641;G;GrenTea;1,754;2,117;0,363;0,629;Fortier;9;Conventionel;N;30;2;;;
642;G;GrenTea;1,751;2,111;0,36;0,592;Fortier;9;Conventionel;N;30;2;;;
643;G;GrenTea;1,789;2,148;0,359;0,682;Fortier;9;Conventionel;N;45;1;;;
644;G;GrenTea;1,759;2,121;0,361;0,572;Fortier;9;Conventionel;N;45;1;;;
645;G;GrenTea;1,759;2,131;0,371;0,579;Fortier;9;Conventionel;N;45;1;;;
646;G;GrenTea;1,768;2,127;0,36;0,694;Fortier;9;Conventionel;N;45;2;;;
647;G;GrenTea;1,783;2,148;0,365;0,564;Fortier;9;Conventionel;N;45;2;;;
648;G;GrenTea;1,79;2,155;0,365;0,851;Fortier;9;Conventionel;N;45;2;;;
649;G;GrenTea;1,776;2,136;0,361;0,678;Fortier;9;Conventionel;N;60;1;;;
650;G;GrenTea;1,753;2,115;0,361;;Fortier;9;Conventionel;N;60;1;;;
651;G;GrenTea;1,77;2,132;0,362;;Fortier;9;Conventionel;N;60;1;;;
652;G;GrenTea;1,799;2,162;0,363;0,677;Fortier;9;Conventionel;N;60;2;;;
653;G;GrenTea;1,79;2,149;0,36;0,709;Fortier;9;Conventionel;N;60;2;;;
654;G;GrenTea;1,791;2,146;0,355;0,467;Fortier;9;Conventionel;N;60;2;;;
829;G;GrenTea;1,758;2,117;0,36;0,784;Fortier;45;Conventionel;N;0;1;49,476;4,4698;0,27
830;G;GrenTea;1,751;2,113;0,362;0,587;Fortier;45;Conventionel;N;0;1;53,023;3,9144;0,253
831;G;GrenTea;1,778;2,13;0,351;0,727;Fortier;45;Conventionel;N;0;1;48,812;5,2095;0,339
832;G;GrenTea;1,784;2,143;0,359;0,744;Fortier;45;Conventionel;N;0;2;51,763;4,8061;0,281
833;G;GrenTea;1,784;2,145;0,361;0,737;Fortier;45;Conventionel;N;0;2;50,478;4,0142;0,272
834;G;GrenTea;1,782;2,136;0,355;0,804;Fortier;45;Conventionel;N;0;2;51,163;5,2482;0,307
835;G;GrenTea;1,757;2,112;0,356;0,848;Fortier;45;Conventionel;N;15;1;50,556;4,7736;0,325
836;G;GrenTea;1,784;2,142;0,357;0,692;Fortier;45;Conventionel;N;15;1;50,686;3,8653;0,29
837;G;GrenTea;1,779;2,134;0,355;0,836;Fortier;45;Conventionel;N;15;1;50,614;4,6776;0,287
838;G;GrenTea;1,766;2,125;0,359;0,61;Fortier;45;Conventionel;N;15;2;50,489;3,7105;0,246
839;G;GrenTea;1,775;2,132;0,357;0,65;Fortier;45;Conventionel;N;15;2;51,892;3,8414;0,261
840;G;GrenTea;1,801;2,156;0,356;0,807;Fortier;45;Conventionel;N;15;2;49,774;4,5611;0,287
841;G;GrenTea;1,769;2,122;0,357;0,803;Fortier;45;Conventionel;N;30;1;50,548;5,1077;0,315
842;G;GrenTea;1,774;2,13;0,37;0,738;Fortier;45;Conventionel;N;30;1;51,345;4,7929;0,294
843;G;GrenTea;1,757;2,113;0,355;0,553;Fortier;45;Conventionel;N;30;1;47,013;3,4768;0,253
844;G;GrenTea;1,761;2,116;0,355;;Fortier;45;Conventionel;N;30;2;;;
845;G;GrenTea;1,781;2,135;0,355;0,83;Fortier;45;Conventionel;N;30;2;44,017;3,5534;0,256
846;G;GrenTea;1,788;2,146;0,357;0,847;Fortier;45;Conventionel;N;30;2;50,818;5,0089;0,293
847;G;GrenTea;1,799;2,162;0,363;0,772;Fortier;45;Conventionel;N;45;1;50,201;4,795;0,297
848;G;GrenTea;1,792;2,151;0,359;0,858;Fortier;45;Conventionel;N;45;1;46,212;3,9897;0,301
849;G;GrenTea;1,791;2,15;0,359;0,904;Fortier;45;Conventionel;N;45;1;47,033;4,7959;0,318
850;G;GrenTea;1,768;2,124;0,356;0,753;Fortier;45;Conventionel;N;45;2;51,906;4,5151;0,28
851;G;GrenTea;1,763;2,123;0,36;0,738;Fortier;45;Conventionel;N;45;2;50,547;4,0679;0,256
852;G;GrenTea;1,795;2,164;0,368;0,805;Fortier;45;Conventionel;N;45;2;51,647;4,8294;0,299
853;G;GrenTea;1,772;2,131;0,357;0,754;Fortier;45;Conventionel;N;60;1;50,239;4,7838;0,293
854;G;GrenTea;1,794;2,145;0,353;0,796;Fortier;45;Conventionel;N;60;1;50,191;4,0365;0,264
855;G;GrenTea;1,772;2,131;0,359;0,781;Fortier;45;Conventionel;N;60;1;50,945;4,421;0,269
856;G;GrenTea;1,764;2,118;0,354;0,817;Fortier;45;Conventionel;N;60;2;44,363;3,7301;0,33
857;G;GrenTea;1,773;2,128;0,352;0,717;Fortier;45;Conventionel;N;60;2;50,583;3,6961;0,285
858;G;GrenTea;1,771;2,132;0,359;0,869;Fortier;45;Conventionel;N;60;2;48,501;4,4927;0,27
1206;G;GrenTea;1,754;2,117;0,362;0,851;Fortier;45;Conventionel;Nproducteur;;;49,362;4,5884;0,286
1207;G;GrenTea;1,751;2,101;0,35;0,742;Fortier;45;Conventionel;Nproducteur;;;49,238;4,2849;0,296
1208;G;GrenTea;1,774;2,137;0,363;0,668;Fortier;45;Conventionel;Nproducteur;;;50,728;3,3266;0,257
1209;G;GrenTea;1,77;2,128;0,357;0,837;Fortier;45;Conventionel;Nproducteur;;;51,201;4,7512;0,29
