"","PertePoids","Sorte_The","Initial_Poids_Echantillon_g","Final_Poids_Echantillon_g","Producteur","Prelevement","Site","DoseRepPrel"
"52",0.0523587350959046,"Residus_Canneberges",1.929,1.828,"Belanger",7,"10","0_NA_10_7"
"53",0.0265251989389921,"Residus_Canneberges",1.885,1.835,"Belanger",7,"10","0_NA_10_7"
"54",0.064348728593669,"Residus_Canneberges",1.927,1.803,"Belanger",7,"10","0_NA_10_7"
"55",0.0431168831168831,"Residus_Canneberges",1.925,1.842,"Belanger",7,"10","15_NA_10_7"
"56",0.0644316396018858,"Residus_Canneberges",1.909,1.786,"Belanger",7,"10","15_NA_10_7"
"57",0.0354351224596144,"Residus_Canneberges",1.919,1.851,"Belanger",7,"10","15_NA_10_7"
"58",0.0297713981924509,"Residus_Canneberges",1.881,1.825,"Belanger",7,"10","15_NA_10_7"
"59",0.041994750656168,"Residus_Canneberges",1.905,1.825,"Belanger",7,"10","15_NA_10_7"
"60",0.0454783063251437,"Residus_Canneberges",1.913,1.826,"Belanger",7,"10","15_NA_10_7"
"61",0.0421718502899315,"Residus_Canneberges",1.897,1.817,"Belanger",7,"10","30_NA_10_7"
"62",0.0462670872765509,"Residus_Canneberges",1.902,1.814,"Belanger",7,"10","30_NA_10_7"
"63",0.0387267904509284,"Residus_Canneberges",1.885,1.812,"Belanger",7,"10","30_NA_10_7"
"64",0.0552371026576342,"Residus_Canneberges",1.919,1.813,"Belanger",7,"10","30_NA_10_7"
"65",0.0332805071315372,"Residus_Canneberges",1.893,1.83,"Belanger",7,"10","30_NA_10_7"
"66",0.0366876310272536,"Residus_Canneberges",1.908,1.838,"Belanger",7,"10","30_NA_10_7"
"67",0.020997375328084,"Residus_Canneberges",1.905,1.865,"Belanger",7,"10","45_NA_10_7"
"68",0.0379346680716543,"Residus_Canneberges",1.898,1.826,"Belanger",7,"10","45_NA_10_7"
"69",0.0400632577754349,"Residus_Canneberges",1.897,1.821,"Belanger",7,"10","45_NA_10_7"
"70",0.0298117154811715,"Residus_Canneberges",1.912,1.855,"Belanger",7,"10","45_NA_10_7"
"71",0.0318979266347688,"Residus_Canneberges",1.881,1.821,"Belanger",7,"10","45_NA_10_7"
"72",0.0292580982236154,"Residus_Canneberges",1.914,1.858,"Belanger",7,"10","45_NA_10_7"
"73",0.0338266384778012,"Residus_Canneberges",1.892,1.828,"Belanger",7,"10","60_NA_10_7"
"74",0.0327783558792924,"Residus_Canneberges",1.922,1.859,"Belanger",7,"10","60_NA_10_7"
"75",0.028735632183908,"Residus_Canneberges",1.914,1.859,"Belanger",7,"10","60_NA_10_7"
"76",0.0212435233160621,"Residus_Canneberges",1.93,1.889,"Belanger",7,"10","60_NA_10_7"
"77",0.0335397316821465,"Residus_Canneberges",1.938,1.873,"Belanger",7,"10","60_NA_10_7"
"78",0.0426417056682268,"Residus_Canneberges",1.923,1.841,"Belanger",7,"10","60_NA_10_7"
"79",0.0738007380073801,"Residus_Canneberges",1.897,1.757,"Belanger",7,"10","30_NA_10_7"
"80",0.0156331422615946,"Residus_Canneberges",1.919,1.889,"Belanger",7,"10","30_NA_10_7"
"81",0.0227861211807354,"Residus_Canneberges",1.931,1.887,"Belanger",7,"10","45_2_10_7"
"82",0.0356955380577428,"Residus_Canneberges",1.905,1.837,"Belanger",7,"10","45_2_10_7"
"83",0.0376766091051806,"Residus_Canneberges",1.911,1.839,"Belanger",7,"10","60_2_10_7"
"84",0.0368615060558189,"Residus_Canneberges",1.899,1.829,"Belanger",7,"10","60_2_10_7"
"85",-0.00672182006204763,"Residus_Canneberges",1.934,1.947,"Fortier",7,"10","NA_NA_10_7"
"86",0.0204081632653061,"Residus_Canneberges",1.911,1.872,"Fortier",7,"10","NA_NA_10_7"
"87",0.0118679050567595,"Residus_Canneberges",1.938,1.915,"Fortier",7,"10","NA_NA_10_7"
"88",0.0193818753273965,"Residus_Canneberges",1.909,1.872,"Fortier",7,"10","NA_NA_10_7"
"89",0.0179704016913318,"Residus_Canneberges",1.892,1.858,"Fortier",7,"10","NA_NA_10_7"
"90",0.0103412616339193,"Residus_Canneberges",1.934,1.914,"Fortier",7,"10","NA_NA_10_7"
"91",0.0233669676048858,"Residus_Canneberges",1.883,1.839,"Belanger",7,"10","NA_1_10_7"
"92",0.0227507755946226,"Residus_Canneberges",1.934,1.89,"Belanger",7,"10","NA_2_10_7"
"93",0.0145152928978746,"Residus_Canneberges",1.929,1.901,"Belanger",7,"10","NA_3_10_7"
"94",0.02283341982356,"Residus_Canneberges",1.927,1.883,"Belanger",7,"10","NA_4_10_7"
"95",0.0260824204486177,"Residus_Canneberges",1.917,1.867,"Belanger",7,"10","NA_5_10_7"
"96",0.138325533021321,"Residus_Canneberges",1.923,1.657,"Belanger",7,"10","NA_6_10_7"
"97",0.122002085505735,"Residus_Canneberges",1.918,1.684,"Belanger",7,"10","NA_1_10_7"
"98",-0.0196078431372549,"Residus_Canneberges",1.887,1.924,"Belanger",7,"10","NA_2_10_7"
"99",0.017838405036726,"Residus_Canneberges",1.906,1.872,"Belanger",7,"10","NA_3_10_7"
"100",0.0534509600415153,"Residus_Canneberges",1.927,1.824,"Belanger",7,"10","NA_4_10_7"
"101",0.0244791666666666,"Residus_Canneberges",1.92,1.873,"Belanger",7,"10","NA_5_10_7"
"102",0.0166753517457009,"Residus_Canneberges",1.919,1.887,"Belanger",7,"10","NA_6_10_7"
"103",-0.0202913631633716,"Residus_Canneberges",1.922,1.961,"Fortier",7,"9","0_1_9_7"
"104",0.0635658914728682,"Residus_Canneberges",1.935,1.812,"Fortier",7,"9","0_1_9_7"
"105",0.0401498929336189,"Residus_Canneberges",1.868,1.793,"Fortier",7,"9","0_1_9_7"
"106",-0.0390707497360085,"Residus_Canneberges",1.894,1.968,"Fortier",7,"9","0_2_9_7"
"107",-0.099630996309963,"Residus_Canneberges",1.897,2.086,"Fortier",7,"9","0_2_9_7"
"108",0.215263157894737,"Residus_Canneberges",1.9,1.491,"Fortier",7,"9","0_2_9_7"
"109",0.0284974093264248,"Residus_Canneberges",1.93,1.875,"Fortier",7,"9","15_1_9_7"
"110",-0.0936012691697515,"Residus_Canneberges",1.891,2.068,"Fortier",7,"9","15_1_9_7"
"111",0.0921465968586387,"Residus_Canneberges",1.91,1.734,"Fortier",7,"9","15_1_9_7"
"112",0.012448132780083,"Residus_Canneberges",1.928,1.904,"Fortier",7,"9","15_2_9_7"
"113",0.0230005227391532,"Residus_Canneberges",1.913,1.869,"Fortier",7,"9","15_2_9_7"
"114",0.0072202166064982,"Residus_Canneberges",1.939,1.925,"Fortier",7,"9","15_2_9_7"
"115",-0.0160705028512182,"Residus_Canneberges",1.929,1.96,"Fortier",7,"9","30_1_9_7"
"116",0.0455735987427973,"Residus_Canneberges",1.909,1.822,"Fortier",7,"9","30_1_9_7"
"117",0.0476439790575916,"Residus_Canneberges",1.91,1.819,"Fortier",7,"9","30_2_9_7"
"118",0.105426356589147,"Residus_Canneberges",1.935,1.731,"Fortier",7,"9","45_1_9_7"
"119",0.0259875259875259,"Residus_Canneberges",1.924,1.874,"Fortier",7,"9","45_1_9_7"
"120",0.0273618998451214,"Residus_Canneberges",1.937,1.884,"Fortier",7,"9","45_1_9_7"
"121",0.0173775671406003,"Residus_Canneberges",1.899,1.866,"Fortier",7,"9","45_2_9_7"
"122",0.0057773109243697,"Residus_Canneberges",1.904,1.893,"Fortier",7,"9","45_2_9_7"
"123",0.0453834115805947,"Residus_Canneberges",1.917,1.83,"Fortier",7,"9","60_1_9_7"
"124",0.0371352785145889,"Residus_Canneberges",1.885,1.815,"Fortier",7,"9","60_1_9_7"
"125",0.00680272108843544,"Residus_Canneberges",1.911,1.898,"Fortier",7,"9","60_2_9_7"
"126",0.155163466528282,"Residus_Canneberges",1.927,1.628,"Fortier",7,"9","60_2_9_7"
"127",0.0194225721784776,"Residus_Canneberges",1.905,1.868,"Fortier",7,"9","30_2_9_7"
"128",-0.0109603340292276,"Residus_Canneberges",1.916,1.937,"Fortier",7,"9","30_2_9_7"
"129",-0.0801862390067253,"Residus_Canneberges",1.933,2.088,"Fortier",7,"9","45_2_9_7"
"130",0.0109546165884195,"Residus_Canneberges",1.917,1.896,"Fortier",7,"9","45_2_9_7"
"131",0.0165374677002584,"Residus_Canneberges",1.935,1.903,"Fortier",7,"9","60_2_9_7"
"132",-0.227436823104693,"Residus_Canneberges",1.939,2.38,"Fortier",7,"9","NA_NA_9_7"
"133",-0.234768907563025,"Residus_Canneberges",1.904,2.351,"Fortier",7,"9","NA_NA_9_7"
"134",-0.0103896103896104,"Residus_Canneberges",1.925,1.945,"Fortier",7,"9","NA_NA_9_7"
"135",0.008298755186722,"Residus_Canneberges",1.928,1.912,"Fortier",7,"9","NA_NA_9_7"
"136",-0.000526315789473743,"Residus_Canneberges",1.9,1.901,"Fortier",7,"9","NA_NA_9_7"
"137",0.0341261633919337,"Residus_Canneberges",1.934,1.868,"Fortier",7,"9","NA_NA_9_7"
"138",0.0237480640165204,"Residus_Canneberges",1.937,1.891,"Fortier",7,"9","NA_NA_9_7"
"139",-0.126582278481013,"Residus_Canneberges",1.896,2.136,"Fortier",7,"9","NA_NA_9_7"
"140",0.0160372478013451,"Residus_Canneberges",1.933,1.902,"Fortier",7,"9","NA_NA_9_7"
"141",0.033748701973001,"Residus_Canneberges",1.926,1.861,"Fortier",7,"45","0_1_45_7"
"142",0.0276617954070981,"Residus_Canneberges",1.916,1.863,"Fortier",7,"45","0_1_45_7"
"143",0.198342827550492,"Residus_Canneberges",1.931,1.548,"Fortier",7,"45","0_1_45_7"
