NoOriginal;Farmers;Site;Regie;Prélèvement;TeaType;Répétition;Poids_Contenu (g);Poids_Total _g;Poids_sac _g;Poids_final_g
946G;Fortier;45;Conventionel;1;Green tea;1;1.774;2.127;0.353;1.0455
947G;Fortier;45;Conventionel;1;Green tea;1;1.802;2.159;0.357;1.0219
948G;Fortier;45;Conventionel;1;Green tea;1;1.81;2.171;0.361;1.095
949G;Fortier;45;Conventionel;1;Green tea;1;1.754;2.11;0.357;1.0212
950G;Fortier;45;Conventionel;1;Green tea;1;1.751;2.108;0.357;1.0413
951G;Fortier;45;Conventionel;1;Green tea;1;1.785;2.145;0.359;1.0841
952G;Fortier;45;Conventionel;1;Green tea;1;1.793;2.151;0.361;1.0481
953G;Fortier;45;Conventionel;1;Green tea;1;1.798;2.151;0.354;1.019
954G;Fortier;45;Conventionel;1;Green tea;1;1.799;2.157;0.357;1.0302
955G;Fortier;45;Conventionel;1;Green tea;1;1.801;2.165;0.364;1.0885
956G;Fortier;45;Conventionel;1;Green tea;1;1.802;2.163;0.359;1.0617
957G;Fortier;45;Conventionel;1;Green tea;1;1.789;2.145;0.356;1.0963
958G;Fortier;45;Conventionel;1;Green tea;1;1.757;2.121;0.369;1.0564
959G;Fortier;45;Conventionel;1;Green tea;1;1.761;2.123;0.362;
960G;Fortier;45;Conventionel;1;Green tea;1;1.764;2.132;0.369;
961G;Fortier;45;Conventionel;1;Green tea;1;1.761;2.121;0.359;1.0607
962G;Fortier;45;Conventionel;1;Green tea;1;1.802;2.168;0.364;1.0985
963G;Fortier;45;Conventionel;1;Green tea;1;1.791;2.152;0.361;
964G;Fortier;45;Conventionel;1;Green tea;1;1.773;2.133;0.358;1.0121
965G;Fortier;45;Conventionel;1;Green tea;1;1.803;2.163;0.361;1.1339
603S;Fortier;45;Conventionel;1;Rooibos tea;1;1.925;2.286;0.361;1.6737
604S;Fortier;45;Conventionel;1;Rooibos tea;1;1.925;2.292;0.366;1.6698
605S;Fortier;45;Conventionel;1;Rooibos tea;1;1.906;2.269;0.363;1.6671
606S;Fortier;45;Conventionel;1;Rooibos tea;1;1.911;2.271;0.36;1.6567
607S;Fortier;45;Conventionel;1;Rooibos tea;1;1.909;2.266;0.356;1.6616
608S;Fortier;45;Conventionel;1;Rooibos tea;1;1.918;2.272;0.355;1.6635
609S;Fortier;45;Conventionel;1;Rooibos tea;1;1.92;2.271;0.357;1.6874
610S;Fortier;45;Conventionel;1;Rooibos tea;1;1.895;2.251;0.355;1.6555
611S;Fortier;45;Conventionel;1;Rooibos tea;1;1.914;2.276;0.362;1.6636
612S;Fortier;45;Conventionel;1;Rooibos tea;1;1.908;2.266;0.359;1.6455
613S;Fortier;45;Conventionel;1;Rooibos tea;1;1.902;2.261;0.36;
614S;Fortier;45;Conventionel;1;Rooibos tea;1;1.921;2.278;0.357;1.6732
615S;Fortier;45;Conventionel;1;Rooibos tea;1;1.9;2.259;0.36;
616S;Fortier;45;Conventionel;1;Rooibos tea;1;1.927;2.283;0.358;1.6661
617S;Fortier;45;Conventionel;1;Rooibos tea;1;1.917;2.304;0.387;1.6618
618S;Fortier;45;Conventionel;1;Rooibos tea;1;1.901;2.254;0.353;1.6695
619S;Fortier;45;Conventionel;1;Rooibos tea;1;1.918;2.272;0.356;1.6745
620S;Fortier;45;Conventionel;1;Rooibos tea;1;1.92;2.278;0.359;1.6245
621S;Fortier;45;Conventionel;1;Rooibos tea;1;1.915;2.274;0.359;1.6561
622S;Fortier;45;Conventionel;1;Rooibos tea;1;1.924;2.283;0.359;1.6914
532N;Fortier;45;Conventionel;1;Cranberry litter;1;1.884;2.247;0.361;1.8986
533N;Fortier;45;Conventionel;1;Cranberry litter;1;1.928;2.295;0.367;1.9858
534N;Fortier;45;Conventionel;1;Cranberry litter;1;1.922;2.283;0.36;1.9929
535N;Fortier;45;Conventionel;1;Cranberry litter;1;1.917;2.279;0.364;1.9311
536N;Fortier;45;Conventionel;1;Cranberry litter;1;1.916;2.283;0.367;1.9441
537N;Fortier;45;Conventionel;1;Cranberry litter;1;1.93;2.295;0.364;1.9004
538N;Fortier;45;Conventionel;1;Cranberry litter;1;1.894;2.256;0.363;1.9472
539N;Fortier;45;Conventionel;1;Cranberry litter;1;1.9;2.263;0.364;1.9618
540N;Fortier;45;Conventionel;1;Cranberry litter;1;1.935;2.303;0.367;1.9803
541N;Fortier;45;Conventionel;1;Cranberry litter;1;1.935;2.294;0.36;1.9948
542N;Fortier;45;Conventionel;1;Cranberry litter;1;1.929;2.297;0.368;1.8828
543N;Fortier;45;Conventionel;1;Cranberry litter;1;1.909;2.272;0.363;2.0101
544N;Fortier;45;Conventionel;1;Cranberry litter;1;1.922;2.283;0.361;1.9746
545N;Fortier;45;Conventionel;1;Cranberry litter;1;1.893;2.262;0.369;1.939
546N;Fortier;45;Conventionel;1;Cranberry litter;1;1.923;2.283;0.359;1.9813
547N;Fortier;45;Conventionel;1;Cranberry litter;1;1.927;2.287;0.36;1.9952
548N;Fortier;45;Conventionel;1;Cranberry litter;1;1.893;2.26;0.365;
549N;Fortier;45;Conventionel;1;Cranberry litter;1;1.916;2.279;0.362;2.0033
550N;Fortier;45;Conventionel;1;Cranberry litter;1;1.898;2.267;0.369;
551N;Fortier;45;Conventionel;1;Cranberry litter;1;1.886;2.255;0.369;1.97884
966G;Fortier;45;Conventionel;1;Green tea;2;1.796;2.151;0.356;1.0674
967G;Fortier;45;Conventionel;1;Green tea;2;1.775;2.13;0.354;1.0457
968G;Fortier;45;Conventionel;1;Green tea;2;1.758;2.111;0.35;1.0551
969G;Fortier;45;Conventionel;1;Green tea;2;1.768;2.126;0.357;
970G;Fortier;45;Conventionel;1;Green tea;2;1.774;2.135;0.361;1.0833
971G;Fortier;45;Conventionel;1;Green tea;2;1.771;2.134;0.361;1.0437
972G;Fortier;45;Conventionel;1;Green tea;2;1.795;2.159;0.364;1.0831
973G;Fortier;45;Conventionel;1;Green tea;2;1.799;2.16;0.361;
974G;Fortier;45;Conventionel;1;Green tea;2;1.783;2.137;0.353;1.0603
975G;Fortier;45;Conventionel;1;Green tea;2;1.767;2.123;0.356;1.0524
976G;Fortier;45;Conventionel;1;Green tea;2;1.758;2.114;0.357;1.072
977G;Fortier;45;Conventionel;1;Green tea;2;1.795;2.152;0.357;1.0758
978G;Fortier;45;Conventionel;1;Green tea;2;1.758;2.124;0.366;
979G;Fortier;45;Conventionel;1;Green tea;2;1.764;2.122;0.359;1.062
980G;Fortier;45;Conventionel;1;Green tea;2;1.799;2.154;0.356;1.0807
981G;Fortier;45;Conventionel;1;Green tea;2;1.755;2.114;0.359;1.0648
982G;Fortier;45;Conventionel;1;Green tea;2;1.786;2.15;0.363;1.0617
983G;Fortier;45;Conventionel;1;Green tea;2;1.752;2.111;0.359;
984G;Fortier;45;Conventionel;1;Green tea;2;1.766;2.122;0.357;1.0727
985G;Fortier;45;Conventionel;1;Green tea;2;1.767;2.13;0.362;1.0802
623S;Fortier;45;Conventionel;1;Rooibos tea;2;1.929;2.294;0.365;1.5912
624S;Fortier;45;Conventionel;1;Rooibos tea;2;1.909;2.272;0.364;1.4857
625S;Fortier;45;Conventionel;1;Rooibos tea;2;1.912;2.279;0.368;1.559
626S;Fortier;45;Conventionel;1;Rooibos tea;2;1.903;2.259;0.356;1.6011
627S;Fortier;45;Conventionel;1;Rooibos tea;2;1.909;2.261;0.352;1.5602
628S;Fortier;45;Conventionel;1;Rooibos tea;2;1.92;2.28;0.36;1.5838
629S;Fortier;45;Conventionel;1;Rooibos tea;2;1.892;2.247;0.354;1.5269
630S;Fortier;45;Conventionel;1;Rooibos tea;2;1.922;2.279;0.357;1.5767
631S;Fortier;45;Conventionel;1;Rooibos tea;2;1.904;2.262;0.36;1.564
632S;Fortier;45;Conventionel;1;Rooibos tea;2;1.904;2.262;0.358;1.5461
633S;Fortier;45;Conventionel;1;Rooibos tea;2;1.918;2.283;0.365;1.6166
634S;Fortier;45;Conventionel;1;Rooibos tea;2;1.9;2.256;0.356;1.4965
635S;Fortier;45;Conventionel;1;Rooibos tea;2;1.911;2.268;0.357;
636S;Fortier;45;Conventionel;1;Rooibos tea;2;1.912;2.272;0.36;1.5795
637S;Fortier;45;Conventionel;1;Rooibos tea;2;1.907;2.262;0.355;1.5401
638S;Fortier;45;Conventionel;1;Rooibos tea;2;1.904;2.261;0.357;1.5937
639S;Fortier;45;Conventionel;1;Rooibos tea;2;1.912;2.265;0.353;1.6372
640S;Fortier;45;Conventionel;1;Rooibos tea;2;1.897;2.261;0.364;1.612
641S;Fortier;45;Conventionel;1;Rooibos tea;2;1.892;2.245;0.354;1.5523
642S;Fortier;45;Conventionel;1;Rooibos tea;2;1.893;2.252;0.359;
552N;Fortier;45;Conventionel;1;Cranberry litter;2;1.883;2.25;0.366;1.977
553N;Fortier;45;Conventionel;1;Cranberry litter;2;1.915;2.279;0.365;
554N;Fortier;45;Conventionel;1;Cranberry litter;2;1.909;2.273;0.363;
555N;Fortier;45;Conventionel;1;Cranberry litter;2;1.915;2.275;0.359;1.9956
556N;Fortier;45;Conventionel;1;Cranberry litter;2;1.908;2.27;0.364;
557N;Fortier;45;Conventionel;1;Cranberry litter;2;1.916;2.285;0.368;1.9868
558N;Fortier;45;Conventionel;1;Cranberry litter;2;1.908;2.27;0.361;2.0004
559N;Fortier;45;Conventionel;1;Cranberry litter;2;1.895;2.259;0.364;1.9817
560N;Fortier;45;Conventionel;1;Cranberry litter;2;1.927;2.288;0.361;2.0142
561N;Fortier;45;Conventionel;1;Cranberry litter;2;1.915;2.279;0.364;
562N;Fortier;45;Conventionel;1;Cranberry litter;2;1.955;2.319;0.363;2.0609
563N;Fortier;45;Conventionel;1;Cranberry litter;2;1.932;2.295;0.362;
564N;Fortier;45;Conventionel;1;Cranberry litter;2;1.934;2.294;0.359;2.0344
565N;Fortier;45;Conventionel;1;Cranberry litter;2;1.893;2.272;0.379;1.9623
566N;Fortier;45;Conventionel;1;Cranberry litter;2;1.905;2.268;0.364;
567N;Fortier;45;Conventionel;1;Cranberry litter;2;1.895;2.258;0.364;1.9764
568N;Fortier;45;Conventionel;1;Cranberry litter;2;1.898;2.264;0.363;1.9943
569N;Fortier;45;Conventionel;1;Cranberry litter;2;1.899;2.263;0.363;
570N;Fortier;45;Conventionel;1;Cranberry litter;2;1.9;2.263;0.363;1.9924
571N;Fortier;45;Conventionel;1;Cranberry litter;2;1.898;2.262;0.364;1.9924
986G;Fortier;45;Conventionel;2;Green tea;1;1.769;2.128;0.358;0.98
987G;Fortier;45;Conventionel;2;Green tea;1;1.763;2.124;0.361;0.9625
988G;Fortier;45;Conventionel;2;Green tea;1;1.779;2.139;0.36;0.9667
989G;Fortier;45;Conventionel;2;Green tea;1;1.77;2.14;0.371;0.9883
990G;Fortier;45;Conventionel;2;Green tea;1;1.768;2.127;0.359;0.9807
991G;Fortier;45;Conventionel;2;Green tea;1;1.791;2.152;0.361;0.9904
992G;Fortier;45;Conventionel;2;Green tea;1;1.756;2.111;0.356;0.9265
993G;Fortier;45;Conventionel;2;Green tea;1;1.764;2.123;0.359;0.9745
994G;Fortier;45;Conventionel;2;Green tea;1;1.754;2.115;0.361;0.9964
995G;Fortier;45;Conventionel;2;Green tea;1;1.767;2.121;0.355;1.0006
996G;Fortier;45;Conventionel;2;Green tea;1;1.784;2.142;0.358;0.9727
997G;Fortier;45;Conventionel;2;Green tea;1;1.771;2.135;0.364;
998G;Fortier;45;Conventionel;2;Green tea;1;1.789;2.149;0.36;0.8872
999G;Fortier;45;Conventionel;2;Green tea;1;1.785;2.145;0.36;0.9018
1000G;Fortier;45;Conventionel;2;Green tea;1;1.781;2.141;0.361;0.9927
1001G;Fortier;45;Conventionel;2;Green tea;1;1.792;2.15;0.358;1.0206
1002G;Fortier;45;Conventionel;2;Green tea;1;1.786;2.154;0.369;1.0141
1003G;Fortier;45;Conventionel;2;Green tea;1;1.786;2.153;0.368;0.989
1004G;Fortier;45;Conventionel;2;Green tea;1;1.753;2.128;0.375;0.9155
1005G;Fortier;45;Conventionel;2;Green tea;1;1.774;2.137;0.364;
643S;Fortier;45;Conventionel;2;Rooibos tea;1;1.928;2.292;0.364;1.5632
644S;Fortier;45;Conventionel;2;Rooibos tea;1;1.919;2.28;0.361;1.5623
645S;Fortier;45;Conventionel;2;Rooibos tea;1;1.923;2.277;0.354;1.5807
646S;Fortier;45;Conventionel;2;Rooibos tea;1;1.912;2.267;0.354;1.5406
647S;Fortier;45;Conventionel;2;Rooibos tea;1;1.8916;2.2514;0.3614;1.5698
648S;Fortier;45;Conventionel;2;Rooibos tea;1;1.8983;2.2558;0.3573;
649S;Fortier;45;Conventionel;2;Rooibos tea;1;1.922;2.285;0.364;1.5934
650S;Fortier;45;Conventionel;2;Rooibos tea;1;1.898;2.256;0.358;1.5689
651S;Fortier;45;Conventionel;2;Rooibos tea;1;1.904;2.26;0.355;1.5551
652S;Fortier;45;Conventionel;2;Rooibos tea;1;1.927;2.286;0.359;1.5714
653S;Fortier;45;Conventionel;2;Rooibos tea;1;1.898;2.247;0.349;1.5377
654S;Fortier;45;Conventionel;2;Rooibos tea;1;1.923;2.283;0.359;1.4222
655S;Fortier;45;Conventionel;2;Rooibos tea;1;1.919;2.275;0.356;1.5809
656S;Fortier;45;Conventionel;2;Rooibos tea;1;1.925;2.283;0.358;1.576
657S;Fortier;45;Conventionel;2;Rooibos tea;1;1.906;2.26;0.355;1.5786
658S;Fortier;45;Conventionel;2;Rooibos tea;1;1.928;2.288;0.36;1.5584
659S;Fortier;45;Conventionel;2;Rooibos tea;1;1.913;2.268;0.356;1.5886
660S;Fortier;45;Conventionel;2;Rooibos tea;1;1.901;2.259;0.358;1.5447
661S;Fortier;45;Conventionel;2;Rooibos tea;1;1.928;2.281;0.353;1.5585
662S;Fortier;45;Conventionel;2;Rooibos tea;1;1.892;2.246;0.354;
572N;Fortier;45;Conventionel;2;Cranberry litter;1;1.902;2.265;0.363;
573N;Fortier;45;Conventionel;2;Cranberry litter;1;1.923;2.287;0.362;2.0445
574N;Fortier;45;Conventionel;2;Cranberry litter;1;1.907;2.27;0.362;
575N;Fortier;45;Conventionel;2;Cranberry litter;1;1.896;2.254;0.357;
576N;Fortier;45;Conventionel;2;Cranberry litter;1;1.932;2.299;0.367;2.0565
577N;Fortier;45;Conventionel;2;Cranberry litter;1;1.895;2.256;0.361;
578N;Fortier;45;Conventionel;2;Cranberry litter;1;1.917;2.284;0.367;2.0454
579N;Fortier;45;Conventionel;2;Cranberry litter;1;1.92;2.284;0.365;2.017
580N;Fortier;45;Conventionel;2;Cranberry litter;1;1.888;2.249;0.36;
581N;Fortier;45;Conventionel;2;Cranberry litter;1;1.925;2.285;0.361;2.0202
582N;Fortier;45;Conventionel;2;Cranberry litter;1;1.937;2.298;0.362;1.9785
583N;Fortier;45;Conventionel;2;Cranberry litter;1;1.912;2.272;0.36;1.9862
584N;Fortier;45;Conventionel;2;Cranberry litter;1;1.939;2.303;0.363;2.0303
585N;Fortier;45;Conventionel;2;Cranberry litter;1;1.927;2.293;0.366;1.9937
586N;Fortier;45;Conventionel;2;Cranberry litter;1;1.889;2.252;0.362;1.9815
587N;Fortier;45;Conventionel;2;Cranberry litter;1;1.912;2.271;0.359;
588N;Fortier;45;Conventionel;2;Cranberry litter;1;1.908;2.276;0.366;
589N;Fortier;45;Conventionel;2;Cranberry litter;1;1.905;2.269;0.363;1.9796
590N;Fortier;45;Conventionel;2;Cranberry litter;1;1.935;2.297;0.362;2.0229
591N;Fortier;45;Conventionel;2;Cranberry litter;1;1.896;2.255;0.36;
1006G;Fortier;45;Conventionel;2;Green tea;2;1.768;2.141;0.374;0.9857
1007G;Fortier;45;Conventionel;2;Green tea;2;1.76;2.127;0.367;0.9857
1008G;Fortier;45;Conventionel;2;Green tea;2;1.766;2.123;0.355;0.983
1009G;Fortier;45;Conventionel;2;Green tea;2;1.792;2.159;0.368;0.9759
1010G;Fortier;45;Conventionel;2;Green tea;2;1.799;2.162;0.364;0.9938
1011G;Fortier;45;Conventionel;2;Green tea;2;1.772;2.135;0.364;0.9731
1012G;Fortier;45;Conventionel;2;Green tea;2;1.76;2.118;0.359;0.9624
1013G;Fortier;45;Conventionel;2;Green tea;2;1.757;2.112;0.356;0.9792
1014G;Fortier;45;Conventionel;2;Green tea;2;1.755;2.114;0.359;0.9673
1015G;Fortier;45;Conventionel;2;Green tea;2;1.775;2.136;0.361;0.9687
1016G;Fortier;45;Conventionel;2;Green tea;2;1.764;2.129;0.365;0.9795
1017G;Fortier;45;Conventionel;2;Green tea;2;1.775;2.127;0.355;
1018G;Fortier;45;Conventionel;2;Green tea;2;1.769;2.125;0.356;0.9618
1019G;Fortier;45;Conventionel;2;Green tea;2;1.757;2.12;0.364;
1020G;Fortier;45;Conventionel;2;Green tea;2;1.775;2.138;0.363;0.9654
1021G;Fortier;45;Conventionel;2;Green tea;2;1.756;2.113;0.356;0.9723
1022G;Fortier;45;Conventionel;2;Green tea;2;1.783;2.144;0.362;0.9614
1023G;Fortier;45;Conventionel;2;Green tea;2;1.78;2.143;0.362;0.994
1024G;Fortier;45;Conventionel;2;Green tea;2;1.769;2.123;0.355;0.9703
1025G;Fortier;45;Conventionel;2;Green tea;2;1.756;2.118;0.362;0.9745
663S;Fortier;45;Conventionel;2;Rooibos tea;2;1.903;2.263;0.36;1.5922
664S;Fortier;45;Conventionel;2;Rooibos tea;2;1.898;2.262;0.362;1.5569
665S;Fortier;45;Conventionel;2;Rooibos tea;2;1.923;2.28;0.357;1.5978
666S;Fortier;45;Conventionel;2;Rooibos tea;2;1.897;2.259;0.362;1.5365
667S;Fortier;45;Conventionel;2;Rooibos tea;2;1.917;2.274;0.357;1.5192
668S;Fortier;45;Conventionel;2;Rooibos tea;2;1.921;2.285;0.362;1.6097
669S;Fortier;45;Conventionel;2;Rooibos tea;2;1.914;2.271;0.357;1.5555
670S;Fortier;45;Conventionel;2;Rooibos tea;2;1.915;2.272;0.359;1.5161
671S;Fortier;45;Conventionel;2;Rooibos tea;2;1.905;2.275;0.37;1.5732
672S;Fortier;45;Conventionel;2;Rooibos tea;2;1.922;2.281;0.359;1.6
673S;Fortier;45;Conventionel;2;Rooibos tea;2;1.921;2.288;0.367;1.57
674S;Fortier;45;Conventionel;2;Rooibos tea;2;1.92;2.283;0.363;1.5427
675S;Fortier;45;Conventionel;2;Rooibos tea;2;1.897;2.256;0.359;
676S;Fortier;45;Conventionel;2;Rooibos tea;2;1.909;2.269;0.359;1.492
677S;Fortier;45;Conventionel;2;Rooibos tea;2;1.914;2.271;0.358;1.5715
678S;Fortier;45;Conventionel;2;Rooibos tea;2;1.922;2.28;0.357;1.5229
679S;Fortier;45;Conventionel;2;Rooibos tea;2;1.916;2.276;0.358;1.495
680S;Fortier;45;Conventionel;2;Rooibos tea;2;1.925;2.287;0.361;1.5722
681S;Fortier;45;Conventionel;2;Rooibos tea;2;1.927;2.294;0.367;1.562
682S;Fortier;45;Conventionel;2;Rooibos tea;2;1.895;2.252;0.358;1.569
592N;Fortier;45;Conventionel;2;Cranberry litter;2;1.885;2.244;0.36;1.9236
593N;Fortier;45;Conventionel;2;Cranberry litter;2;1.913;2.275;0.362;1.9627
594N;Fortier;45;Conventionel;2;Cranberry litter;2;1.932;2.297;0.365;1.9648
595N;Fortier;45;Conventionel;2;Cranberry litter;2;1.887;2.246;0.359;1.9308
596N;Fortier;45;Conventionel;2;Cranberry litter;2;1.91;2.277;0.366;1.9469
597N;Fortier;45;Conventionel;2;Cranberry litter;2;1.91;2.278;0.369;2.0007
598N;Fortier;45;Conventionel;2;Cranberry litter;2;1.936;2.302;0.366;1.9777
599N;Fortier;45;Conventionel;2;Cranberry litter;2;1.882;2.25;0.366;1.9484
600N;Fortier;45;Conventionel;2;Cranberry litter;2;1.889;2.252;0.362;1.9426
601N;Fortier;45;Conventionel;2;Cranberry litter;2;1.938;2.305;0.367;1.9845
602N;Fortier;45;Conventionel;2;Cranberry litter;2;1.928;2.292;0.364;1.985
603N;Fortier;45;Conventionel;2;Cranberry litter;2;1.933;2.297;0.364;1.9845
604N;Fortier;45;Conventionel;2;Cranberry litter;2;1.928;2.295;0.367;1.9321
605N;Fortier;45;Conventionel;2;Cranberry litter;2;1.93;2.292;0.362;1.9684
606N;Fortier;45;Conventionel;2;Cranberry litter;2;1.912;2.271;0.36;1.9199
607N;Fortier;45;Conventionel;2;Cranberry litter;2;1.917;2.285;0.366;1.952
608N;Fortier;45;Conventionel;2;Cranberry litter;2;1.89;2.246;0.356;1.9799
609N;Fortier;45;Conventionel;2;Cranberry litter;2;1.902;2.266;0.364;
610N;Fortier;45;Conventionel;2;Cranberry litter;2;1.926;2.291;0.364;2.0091
611N;Fortier;45;Conventionel;2;Cranberry litter;2;1.914;2.274;0.358;1.9314
1026G;Fortier;45;Conventionel;3;Green tea;1;1.783;2.135;0.352;0.8998
1027G;Fortier;45;Conventionel;3;Green tea;1;1.798;2.158;0.36;
1028G;Fortier;45;Conventionel;3;Green tea;1;1.755;2.118;0.364;
1029G;Fortier;45;Conventionel;3;Green tea;1;1.764;2.128;0.365;0.8743
1030G;Fortier;45;Conventionel;3;Green tea;1;1.789;2.146;0.357;0.6832
1031G;Fortier;45;Conventionel;3;Green tea;1;1.776;2.14;0.364;
1032G;Fortier;45;Conventionel;3;Green tea;1;1.783;2.144;0.361;0.9219
1033G;Fortier;45;Conventionel;3;Green tea;1;1.8;2.159;0.359;0.8831
1034G;Fortier;45;Conventionel;3;Green tea;1;1.786;2.156;0.37;0.8915
1035G;Fortier;45;Conventionel;3;Green tea;1;1.76;2.115;0.355;
1036G;Fortier;45;Conventionel;3;Green tea;1;1.776;2.126;0.35;0.8633
1037G;Fortier;45;Conventionel;3;Green tea;1;1.768;2.122;0.353;0.8699
1038G;Fortier;45;Conventionel;3;Green tea;1;1.751;2.106;0.355;0.8795
1039G;Fortier;45;Conventionel;3;Green tea;1;1.786;2.141;0.355;0.8961
1040G;Fortier;45;Conventionel;3;Green tea;1;1.778;2.139;0.36;0.8708
1041G;Fortier;45;Conventionel;3;Green tea;1;1.775;2.121;0.355;
1042G;Fortier;45;Conventionel;3;Green tea;1;1.784;2.148;0.364;0.9034
1043G;Fortier;45;Conventionel;3;Green tea;1;1.77;2.133;0.365;0.8611
1044G;Fortier;45;Conventionel;3;Green tea;1;1.758;2.119;0.361;0.7815
1045G;Fortier;45;Conventionel;3;Green tea;1;1.784;2.135;0.351;0.8657
683S;Fortier;45;Conventionel;3;Rooibos tea;1;1.906;2.267;0.361;1.5278
684S;Fortier;45;Conventionel;3;Rooibos tea;1;1.8966;2.2436;0.35;1.4608
685S;Fortier;45;Conventionel;3;Rooibos tea;1;1.917;2.281;0.363;1.5499
686S;Fortier;45;Conventionel;3;Rooibos tea;1;1.904;2.26;0.355;1.547
687S;Fortier;45;Conventionel;3;Rooibos tea;1;1.894;2.252;0.357;1.4713
688S;Fortier;45;Conventionel;3;Rooibos tea;1;1.91;2.274;0.364;1.4804
689S;Fortier;45;Conventionel;3;Rooibos tea;1;1.929;2.285;0.356;1.4648
690S;Fortier;45;Conventionel;3;Rooibos tea;1;1.904;2.26;0.355;1.4893
691S;Fortier;45;Conventionel;3;Rooibos tea;1;1.906;2.262;0.356;1.5292
692S;Fortier;45;Conventionel;3;Rooibos tea;1;1.915;2.274;0.358;1.49
693S;Fortier;45;Conventionel;3;Rooibos tea;1;1.929;2.284;0.355;
694S;Fortier;45;Conventionel;3;Rooibos tea;1;1.902;2.262;0.359;1.4498
695S;Fortier;45;Conventionel;3;Rooibos tea;1;1.901;2.258;0.358;1.5113
696S;Fortier;45;Conventionel;3;Rooibos tea;1;1.918;2.278;0.361;
697S;Fortier;45;Conventionel;3;Rooibos tea;1;1.922;2.284;0.361;1.4871
698S;Fortier;45;Conventionel;3;Rooibos tea;1;1.894;2.251;0.356;1.5168
699S;Fortier;45;Conventionel;3;Rooibos tea;1;1.917;2.281;0.363;1.5133
700S;Fortier;45;Conventionel;3;Rooibos tea;1;1.898;2.254;0.355;
701S;Fortier;45;Conventionel;3;Rooibos tea;1;1.909;2.268;0.359;
702S;Fortier;45;Conventionel;3;Rooibos tea;1;1.925;2.289;0.365;
612N;Fortier;45;Conventionel;3;Cranberry litter;1;1.894;2.26;0.365;
613N;Fortier;45;Conventionel;3;Cranberry litter;1;1.885;2.246;0.36;1.9199
614N;Fortier;45;Conventionel;3;Cranberry litter;1;1.933;2.3;0.367;
615N;Fortier;45;Conventionel;3;Cranberry litter;1;1.903;2.267;0.365;1.9147
616N;Fortier;45;Conventionel;3;Cranberry litter;1;1.917;2.282;0.364;1.9133
617N;Fortier;45;Conventionel;3;Cranberry litter;1;1.919;2.291;0.37;1.931
618N;Fortier;45;Conventionel;3;Cranberry litter;1;1.907;2.27;0.364;
619N;Fortier;45;Conventionel;3;Cranberry litter;1;1.935;2.3;0.364;
620N;Fortier;45;Conventionel;3;Cranberry litter;1;1.917;2.283;0.365;1.9217
621N;Fortier;45;Conventionel;3;Cranberry litter;1;1.895;2.253;0.357;
622N;Fortier;45;Conventionel;3;Cranberry litter;1;1.888;2.249;0.364;
623N;Fortier;45;Conventionel;3;Cranberry litter;1;1.909;2.272;0.367;1.7857
624N;Fortier;45;Conventionel;3;Cranberry litter;1;1.937;2.304;0.366;1.9585
625N;Fortier;45;Conventionel;3;Cranberry litter;1;1.89;2.257;0.366;1.9012
626N;Fortier;45;Conventionel;3;Cranberry litter;1;1.921;2.287;0.366;1.9467
627N;Fortier;45;Conventionel;3;Cranberry litter;1;1.926;2.294;0.368;1.931
628N;Fortier;45;Conventionel;3;Cranberry litter;1;1.922;2.289;0.366;1.9688
629N;Fortier;45;Conventionel;3;Cranberry litter;1;1.901;2.265;0.365;1.9359
630N;Fortier;45;Conventionel;3;Cranberry litter;1;1.908;2.27;0.362;1.9695
631N;Fortier;45;Conventionel;3;Cranberry litter;1;1.895;2.256;0.362;
1046G;Fortier;45;Conventionel;3;Green tea;2;1.787;2.144;0.358;0.8848
1047G;Fortier;45;Conventionel;3;Green tea;2;1.79;2.149;0.363;
1048G;Fortier;45;Conventionel;3;Green tea;2;1.806;2.165;0.359;0.7452
1049G;Fortier;45;Conventionel;3;Green tea;2;1.783;2.142;0.36;0.8587
1050G;Fortier;45;Conventionel;3;Green tea;2;1.76;2.12;0.36;0.8079
1051G;Fortier;45;Conventionel;3;Green tea;2;1.784;2.148;0.365;0.9215
1052G;Fortier;45;Conventionel;3;Green tea;2;1.773;2.129;0.356;0.8906
1053G;Fortier;45;Conventionel;3;Green tea;2;1.767;2.126;0.36;0.8627
1054G;Fortier;45;Conventionel;3;Green tea;2;1.789;2.149;0.36;0.8925
1055G;Fortier;45;Conventionel;3;Green tea;2;1.799;2.156;0.358;0.9128
1056G;Fortier;45;Conventionel;3;Green tea;2;1.761;2.127;0.363;0.8406
1057G;Fortier;45;Conventionel;3;Green tea;2;1.773;2.127;0.355;0.9035
1058G;Fortier;45;Conventionel;3;Green tea;2;1.78;2.138;0.358;0.8403
1059G;Fortier;45;Conventionel;3;Green tea;2;1.796;2.152;0.356;0.8609
1060G;Fortier;45;Conventionel;3;Green tea;2;1.759;2.109;0.349;0.7783
1061G;Fortier;45;Conventionel;3;Green tea;2;1.755;2.113;0.359;0.8441
1062G;Fortier;45;Conventionel;3;Green tea;2;1.761;2.114;0.353;0.8165
1063G;Fortier;45;Conventionel;3;Green tea;2;1.765;2.119;0.354;
1064G;Fortier;45;Conventionel;3;Green tea;2;1.8;2.153;0.354;0.8437
1065G;Fortier;45;Conventionel;3;Green tea;2;1.77;2.135;0.365;0.8124
703S;Fortier;45;Conventionel;3;Rooibos tea;2;1.91;2.267;0.356;
