"";"Iden fiber";"Biomass type";"Sampling period (days)";"Site";"Producer";"Repetition";"C_over_N";"Initial SOL content (g)";"Initial HOLO content (g)";"Initial LIC content (g)";"Final SOL content (g)";"Final HOLO content (g)";"Final LIC content (g)";"Sample final weight (g)";"Initial Hydrolyzable content (g)";"Final Hydrolyzable content (g)";"Soluble";"Holocelulose";"Lignin";"Hydrolyzable";"rate weight loss"
"17";"G09_P1_R1";"Green tea";21;"9";"Fortier";1;12,0386409541787;1,35001381553417;0,265790540716833;0,179195643683183;0,613583215397452;0,361997973242561;0,101018811359987;1,0766;1,615804356251;0,975581188640013;0,0163078448557281;-0,0063888865874628;0,0118535806434829;0,0104345408143064;0,0105719084492699
"18";"G09_P1_R1";"Green tea";21;"9";"Fortier";1;12,0386409541787;1,3334676852045;0,2625329407749;0,17699937395559;0,603723481395616;0,35618098927721;0,099395529327173;1,0593;1,5960006259794;0,959904470672827;0,016387829897799;-0,00630890154539188;0,0119335656855538;0,0105145258563773;0,0106518934913409
"19";"G09_P1_R1";"Green tea";21;"9";"Fortier";1;12,0386409541787;1,33647607253717;0,263125231673433;0,177398695724243;0,619567447017063;0,365528512643496;0,102004040339441;1,0871;1,5996013042106;0,985095959660559;0,0158986950761004;-0,00679803636709055;0,0114444308638551;0,0100253910346786;0,0101627586696422
"20";"G09_P1_R1";"Green tea";21;"9";"Fortier";1;12,0386409541787;1,340236556703;0,2638655952966;0,17789784793506;0,604749349673264;0,356786224603085;0,0995644257236508;1,0611;1,6041021519996;0,961535574276349;0,0164574309381935;-0,00623930050499741;0,0120031667259483;0,0105841268967717;0,0107214945317353
"21";"G09_P1_R2";"Green tea";21;"9";"Fortier";2;11,5758511868263;1,33722816937033;0,263273304398067;0,177498526166407;0,663761400905349;0,2850366377896;0,0875019613050508;1,0363;1,6005014737684;0,948798038694949;0,0144854058551076;-0,00164256486517735;0,014627474462714;0,0108134428626361;0,0111641075466543
"22";"G09_P1_R2";"Green tea";21;"9";"Fortier";2;11,5758511868263;1,33271558837133;0,262384868050267;0,176899543513427;0,616363597501898;0,264682771924088;0,0812536305740137;0,9623;1,5951004564216;0,881046369425986;0,0159476426778302;-0,000180328042454664;0,0160897112854367;0,0122756796853588;0,012626344369377
"23";"G09_P1_R2";"Green tea";21;"9";"Fortier";2;11,5758511868263;1,3289551042055;0,2616445044271;0,17640039130261;0,641151367660189;0,275327293667268;0,0845213386725426;1,001;1,5905996086326;0,916478661327457;0,0150737969764269;-0,00105417374385804;0,0152158655840333;0,0114018339839554;0,0117524986679736
"24";"G09_P1_R2";"Green tea";21;"9";"Fortier";2;11,5758511868263;1,349261718701;0,2656424679922;0,17909581324102;0,620270713728399;0,266360590596785;0,0817686956748154;0,9684;1,6149041866932;0,886631304325184;0,0160721391626618;-5,58315576231532e-05;0,0162142077702682;0,0124001761701903;0,0127508408542085
"25";"G09_P1_R2";"Green tea";21;"9";"Fortier";2;11,5758511868263;1,35076591236733;0,265938613441467;0,179295474125347;0,628469252695482;0,269881259287036;0,0828494880174813;0,9812;1,6167045258088;0,898350511982519;0,0158236217749741;-0,000304348945310798;0,0159656903825805;0,0121516587825027;0,0125023234665208
"26";"G09_P1_R2";"Green tea";21;"9";"Fortier";2;NA;1,32143413587383;0,260163777180767;0,175402086880977;NA;NA;NA;NA;1,5815979130546;NA;NA;NA;NA;NA;NA
