Iden fiber,SOL perc ILR (%),HOLO perc ILR (%),LIC perc ILR (%)
Car_001,78.921033037271,14.2597409751112,6.81922598761775
Car_002,71.2809268616548,18.0430089804835,10.6760641578617
Car_003,76.155266043338,16.701803971127,7.142929985535
Car_004,77.6860437668303,13.4728030764798,8.84115315668989
Car_005,74.0996851131014,16.587702335219,9.3126125516796
Car_006,71.0451938608157,20.7102327167666,8.24457342241766
Car_007,53.3090399631012,33.140774202188,13.5501858347108
Car_008,47.3720794288961,28.6993146226129,23.928605948491
Car_009,48.4702970926781,37.567783038014,13.9619198693078
Car_013,34.7033685289435,49.2643452570238,16.0322862140327
Car_014,41.2063368340259,46.3125700565776,12.4810931093964
G09_P1_R1,56.9926820915337,33.6241847708119,9.3831331376544
G09_P1_R2,64.0510856803386,27.5052241425842,8.44369017707718
G09_P2_R1,45.578077072945,39.2646771658621,15.1572457611929
G09_P2_R2,47.1464112160874,30.0427307629031,22.8108580210095
G09_P3_R1,48.3924555914336,31.7878342865072,19.8197101220592
G09_P3_R2,42.4293814090893,38.2720440691476,19.2985745217631
G09_P4_R1,46.3527180072842,31.7143958927062,21.9328861000097
G09_P4_R2,50.0937997611844,32.6782335264365,17.2279667123791
G09_P5_R1,46.4625343469035,33.5776366170852,19.9598290360113
G09_P5_R2,46.754090739787,36.8982632071158,16.3476460530972
G09_P6_R1,47.8168251390495,31.8772075734203,20.3059672875301
G09_P6_R2,48.4375572942853,30.2174238659009,21.3450188398139
G09_P7_R1,49.3113205637569,28.2581152508179,22.4305641854252
G09_P7_R2,49.5936660238543,30.8338585705785,19.5724754055672
G10_P1_R1,57.5240932937999,26.4523876609476,16.0235190452525
G10_P1_R2,60.6751994990656,19.8177017141386,19.5070987867958
G10_P2_R1,48.4607085776962,28.698486619697,22.8408048026069
G10_P2_R2,52.153244988209,29.0290979570723,18.8176570547187
G10_P3_R1,46.0352689024087,28.286198908009,25.6785321895822
G10_P3_R2,46.6092096202265,29.6659309793944,23.7248594003791
G10_P4_R1,43.3804057205163,38.5008721411896,18.1187221382941
G10_P4_R2,59.5062469090397,22.183397326594,18.3103557643663
G10_P5_R1,51.7491498619807,27.322221987692,20.9286281503274
G10_P5_R2,54.3753656945393,25.798812850285,19.8258214551757
G10_P6_R1,52.4584303443309,21.1380432344064,26.4035264212627
G10_P6_R2,50.4236080390235,27.481978261611,22.0944136993655
G10_P7_R1,53.8778862027963,21.1969051062612,24.9252086909425
G10_P7_R2,46.5129863789699,30.90560964468,22.58140397635
G45_P1_R1,47.8525609806922,44.0102264640014,8.13721255530641
G45_P1_R2,59.6089905323255,25.7988032630319,14.5922062046426
G45_P2_R1,47.4822633209656,29.4193743885436,23.0983622904908
G45_P2_R2,52.3554577012809,33.527990400746,14.1165518979732
G45_P3_R1,50.065048072364,28.492886523276,21.44206540436
G45_P3_R2,44.006320001173,34.2520260400527,21.7416539587743
G45_P4_R1,47.1640147461391,32.8274129848835,20.0085722689774
G45_P4_R2,45.028333703514,39.7417339989404,15.2299322975456
G45_P5_R1,44.601366876765,36.8928475461531,18.5057855770818
G45_P5_R2,47.9580147442547,25.3689825818285,26.6730026739168
G45_P6_R1,41.9517024215192,40.0627830017122,17.9855145767686
G45_P6_R2,48.1382119334633,35.3088379295212,16.5529501370154
G45_P7_R1,43.5813158056033,36.3433453966819,20.0753387977148
G45_P7_R2,48.6731739376888,30.8827398974223,20.4440861648889
GA9_P1_R1,54.8070334178295,32.3417863238514,12.8511802583191
GA9_P1_R2,59.0151013882014,19.076238110987,21.9086605008116
GA9_P2_R2,52.2067909297361,29.5103109588355,18.2828981114284
GA9_P3_R1,50.1649610021827,31.6863461380994,18.1486928597179
GA9_P4_R1,50.915370544588,26.9449563224033,22.1396731330087
GA9_P4_R2,43.8585080139092,36.8574162623843,19.2840757237065
GA9_P5_R1,47.9139332691657,28.3665156279692,23.7195511028651
GA9_P5_R2,48.3530653961341,30.5802568751439,21.066677728722
GA9_P6_R1,51.4688032498467,28.5251504743256,20.0060462758277
GA9_P6_R2,54.3073372005856,27.1106696326609,18.5819931667535
GA9_P7_R1,46.3030045194119,32.0243566381249,21.6726388424633
GA9_P7_R2,53.3131904437063,24.0064384628358,22.6803710934578
H09_P5_R2,34.3641117417161,46.7422885034869,18.893599754797
N09_P1_R1,58.4430697286843,27.7521657321508,13.8047645391648
N09_P1_R2,51.3092660195118,36.1342455029168,12.5564884775714
N09_P2_R1,45.4235859231161,34.10782467705,20.468589399834
N09_P2_R2,38.8072067907013,36.1663671338522,25.0264260754465
N09_P3_R1,52.3667114779225,20.1957352515649,27.4375532705126
N09_P3_R2,51.8113539884196,20.517010501639,27.6716355099414
N09_P4_R1,35.1662634457509,28.7644190442495,36.0693175099996
N09_P4_R2,36.5868728353314,34.4420058139117,28.9711213507569
N09_P5_R1,45.0827654220856,28.3362821249287,26.5809524529857
N09_P5_R2,52.8926519782983,27.9621630182597,19.145185003442
N09_P6_R1,50.9529123119534,25.9747239114254,23.0723637766211
N09_P6_R2,48.8459385187769,21.87538092107,29.2786805601531
N09_P7_R1,43.4347852674383,25.0572433979011,31.5079713346606
N09_P7_R2,46.4942299418188,27.570919235843,25.9348508223382
N10_P1_R1,52.6270457304695,35.9295454246789,11.4434088448517
N10_P1_R2,57.3311290703369,29.2823017860425,13.3865691436206
N10_P2_R1,46.4326172571994,31.8922826605863,21.6751000822143
N10_P2_R2,43.9291365247013,32.1793657830921,23.8914976922066
