No;TypeThe;Tea type;Producteur;Champs;Regie;TypeAzote;DoseN;Repetition;Initial_Perc_C;Initial_Perc_N;Initial_Perc_S
132;S;Rooibos tea;Belanger;10;Conventionel;N;30;1;50,184;0,85323;0,0354
133;S;Rooibos tea;Belanger;10;Conventionel;N;30;2;48,252;0,99285;0,0532
134;S;Rooibos tea;Belanger;10;Conventionel;N;30;2;49,42;1,1357;0,0442
135;S;Rooibos tea;Belanger;10;Conventionel;N;30;2;46,033;0,9933;0,0372
136;S;Rooibos tea;Belanger;10;Conventionel;N;45;1;46,488;0,9111;0,0319
137;S;Rooibos tea;Belanger;10;Conventionel;N;45;1;50,148;1,0239;0,0309
138;S;Rooibos tea;Belanger;10;Conventionel;N;45;1;45,778;0,86956;0,029
139;S;Rooibos tea;Belanger;10;Conventionel;N;45;2;48,147;1,0639;0,0567
140;S;Rooibos tea;Belanger;10;Conventionel;N;45;2;50,116;1,189;0,0509
141;S;Rooibos tea;Belanger;10;Conventionel;N;45;2;46,755;0,94695;0,0339
142;S;Rooibos tea;Belanger;10;Conventionel;N;60;1;46,96;0,93495;0,0358
143;S;Rooibos tea;Belanger;10;Conventionel;N;60;1;47,501;0,9949;0,0502
144;S;Rooibos tea;Belanger;10;Conventionel;N;60;1;49,119;1,0393;0,0401
145;S;Rooibos tea;Belanger;10;Conventionel;N;60;2;45,212;0,75637;0,0304
146;S;Rooibos tea;Belanger;10;Conventionel;N;60;2;46,862;0,87316;0,0246
147;S;Rooibos tea;Belanger;10;Conventionel;N;60;2;46,998;1,0677;0,0375
148;S;Rooibos tea;Belanger;10;Conventionel;N;45;2;47,002;1,0066;0,0566
149;S;Rooibos tea;Belanger;10;Conventionel;N;45;2;46,87;0,89954;0,0337
150;S;Rooibos tea;Belanger;10;Conventionel;N;60;2;47,358;0,97108;0,0429
151;S;Rooibos tea;Belanger;10;Conventionel;N;60;2;48,368;0,97371;0,034
152;S;Rooibos tea;Belanger;10;Conventionel;N;30;2;46,394;0,91746;0,0356
153;S;Rooibos tea;Belanger;10;Conventionel;N;30;2;46,134;0,99378;0,0341
637;G;Green tea;Fortier;9;Conventionel;N;30;1;42,055;4,0556;0,232
638;G;Green tea;Fortier;9;Conventionel;N;30;1;50,02;4,3624;0,272
639;G;Green tea;Fortier;9;Conventionel;N;30;1;49,777;4,8316;0,272
640;G;Green tea;Fortier;9;Conventionel;N;30;2;50,58;5,1024;0,285
641;G;Green tea;Fortier;9;Conventionel;N;30;2;49,088;4,4936;0,272
642;G;Green tea;Fortier;9;Conventionel;N;30;2;50,609;4,0937;0,259
643;G;Green tea;Fortier;9;Conventionel;N;45;1;46,35;3,4626;0,222
644;G;Green tea;Fortier;9;Conventionel;N;45;1;48,103;3,8768;0,243
645;G;Green tea;Fortier;9;Conventionel;N;45;1;51,263;3,97;0,263
646;G;Green tea;Fortier;9;Conventionel;N;45;2;49,448;4,7202;0,272
647;G;Green tea;Fortier;9;Conventionel;N;45;2;50,994;4,0679;0,252
648;G;Green tea;Fortier;9;Conventionel;N;45;2;48,724;4,8823;0,262
649;G;Green tea;Fortier;9;Conventionel;N;60;1;47,983;3,2594;0,231
650;G;Green tea;Fortier;9;Conventionel;N;60;1;;;
651;G;Green tea;Fortier;9;Conventionel;N;60;1;;;
652;G;Green tea;Fortier;9;Conventionel;N;60;2;44,782;3,2432;0,21
653;G;Green tea;Fortier;9;Conventionel;N;60;2;48,637;3,799;0,219
654;G;Green tea;Fortier;9;Conventionel;N;60;2;44,632;3,5701;0,257
841;G;Green tea;Fortier;45;Conventionel;N;30;1;50,548;5,1077;0,315
842;G;Green tea;Fortier;45;Conventionel;N;30;1;51,345;4,7929;0,294
843;G;Green tea;Fortier;45;Conventionel;N;30;1;47,013;3,4768;0,253
844;G;Green tea;Fortier;45;Conventionel;N;30;2;;;
845;G;Green tea;Fortier;45;Conventionel;N;30;2;44,017;3,5534;0,256
846;G;Green tea;Fortier;45;Conventionel;N;30;2;50,818;5,0089;0,293
847;G;Green tea;Fortier;45;Conventionel;N;45;1;50,201;4,795;0,297
848;G;Green tea;Fortier;45;Conventionel;N;45;1;46,212;3,9897;0,301
849;G;Green tea;Fortier;45;Conventionel;N;45;1;47,033;4,7959;0,318
850;G;Green tea;Fortier;45;Conventionel;N;45;2;51,906;4,5151;0,28
851;G;Green tea;Fortier;45;Conventionel;N;45;2;50,547;4,0679;0,256
852;G;Green tea;Fortier;45;Conventionel;N;45;2;51,647;4,8294;0,299
853;G;Green tea;Fortier;45;Conventionel;N;60;1;50,239;4,7838;0,293
854;G;Green tea;Fortier;45;Conventionel;N;60;1;50,191;4,0365;0,264
855;G;Green tea;Fortier;45;Conventionel;N;60;1;50,945;4,421;0,269
856;G;Green tea;Fortier;45;Conventionel;N;60;2;44,363;3,7301;0,33
857;G;Green tea;Fortier;45;Conventionel;N;60;2;50,583;3,6961;0,285
858;G;Green tea;Fortier;45;Conventionel;N;60;2;48,501;4,4927;0,27
1243;G;Green tea;Fortier;9;Conventionel;N;30;2;50,781;4,4079;0,249
1244;G;Green tea;Fortier;9;Conventionel;N;30;2;47,013;4,0061;0,245
1245;G;Green tea;Fortier;9;Conventionel;N;45;2;48,548;3,894;0,248
1246;G;Green tea;Fortier;9;Conventionel;N;45;2;50,534;3,9981;0,261
1247;G;Green tea;Fortier;9;Conventionel;N;60;2;47,355;4,6058;0,265
1248;G;Green tea;Fortier;9;Conventionel;N;60;2;48,63;4,638;0,276
403;S;Rooibos tea;Fortier;9;Conventionel;N;30;1;46,514;0,87969;0,0308
404;S;Rooibos tea;Fortier;9;Conventionel;N;30;1;46,157;0,78784;0,0335
405;S;Rooibos tea;Fortier;9;Conventionel;N;30;1;47,268;0,63065;0,0147
406;S;Rooibos tea;Fortier;9;Conventionel;N;30;2;50,581;1,1526;0,0609
407;S;Rooibos tea;Fortier;9;Conventionel;N;30;2;;;
408;S;Rooibos tea;Fortier;9;Conventionel;N;30;2;46,261;1,1354;0,0527
409;S;Rooibos tea;Fortier;9;Conventionel;N;45;1;45,117;0,7964;0,0278
410;S;Rooibos tea;Fortier;9;Conventionel;N;45;1;45,707;0,78982;0,0303
411;S;Rooibos tea;Fortier;9;Conventionel;N;45;1;41,814;0,91768;0,0406
412;S;Rooibos tea;Fortier;9;Conventionel;N;45;2;47,132;0,67525;0,0105
413;S;Rooibos tea;Fortier;9;Conventionel;N;45;2;48,187;0,79626;0,0192
414;S;Rooibos tea;Fortier;9;Conventionel;N;45;2;45,592;0,91926;0,0329
415;S;Rooibos tea;Fortier;9;Conventionel;N;60;1;46,939;0,77745;0,0284
416;S;Rooibos tea;Fortier;9;Conventionel;N;60;1;47,576;0,93114;0,0386
417;S;Rooibos tea;Fortier;9;Conventionel;N;60;1;47,033;0,81894;0,0315
418;S;Rooibos tea;Fortier;9;Conventionel;N;60;2;47,994;0,82309;0,0328
419;S;Rooibos tea;Fortier;9;Conventionel;N;60;2;47,802;0,85905;0,0291
420;S;Rooibos tea;Fortier;9;Conventionel;N;60;2;;;
535;S;Rooibos tea;Fortier;45;Conventionel;N;30;1;45,827;1,0734;0,0915
536;S;Rooibos tea;Fortier;45;Conventionel;N;30;1;45,185;0,95828;0,0883
537;S;Rooibos tea;Fortier;45;Conventionel;N;30;1;46,583;0,93804;0,0664
538;S;Rooibos tea;Fortier;45;Conventionel;N;30;2;44,983;0,82848;0,0849
539;S;Rooibos tea;Fortier;45;Conventionel;N;30;2;44,722;0,88329;0,0838
540;S;Rooibos tea;Fortier;45;Conventionel;N;30;2;44,727;0,9086;0,073
541;S;Rooibos tea;Fortier;45;Conventionel;N;45;1;46,833;0,97446;0,0933
542;S;Rooibos tea;Fortier;45;Conventionel;N;45;1;45,34;1,0204;0,0787
543;S;Rooibos tea;Fortier;45;Conventionel;N;45;1;50,215;1,0171;0,161
544;S;Rooibos tea;Fortier;45;Conventionel;N;45;2;45,395;1,0093;0,0795
545;S;Rooibos tea;Fortier;45;Conventionel;N;45;2;44,406;0,98229;0,088
546;S;Rooibos tea;Fortier;45;Conventionel;N;45;2;45,959;1,0391;0,0953
547;S;Rooibos tea;Fortier;45;Conventionel;N;60;1;47,543;0,96472;0,0815
548;S;Rooibos tea;Fortier;45;Conventionel;N;60;1;46,787;0,98781;0,0866
549;S;Rooibos tea;Fortier;45;Conventionel;N;60;1;45,24;1,0139;0,095
550;S;Rooibos tea;Fortier;45;Conventionel;N;60;2;48,123;0,92958;0,102
551;S;Rooibos tea;Fortier;45;Conventionel;N;60;2;45,65;1,0164;0,0869
552;S;Rooibos tea;Fortier;45;Conventionel;N;60;2;47,642;1,0902;0,0888
793;S;Rooibos tea;Fortier;9;Conventionel;N;30;2;46,973;0,84612;0,0408
794;S;Rooibos tea;Fortier;9;Conventionel;N;30;2;43,042;0,73255;0,0236
795;S;Rooibos tea;Fortier;9;Conventionel;N;45;2;47,308;1,1222;0,0435
