Tea type;Prelevement;Final carbon (%);Final weight (g);Initial weight (g);Initial carbon (%)
Rooibos tea;2;52,89392854;1,5771;1,91;47,79
Rooibos tea;2;52,89392854;1,6251;1,905;47,79
Rooibos tea;2;52,89392854;1,6228;1,896;47,79
Rooibos tea;2;52,89392854;1,5331;1,911;47,79
Rooibos tea;2;52,89392854;1,5357;1,915;47,79
Rooibos tea;2;52,89392854;1,5217;1,895;47,79
Rooibos tea;2;52,89392854;1,5195;1,909;47,79
Rooibos tea;2;52,89392854;1,5085;1,894;47,79
Rooibos tea;2;52,89392854;1,6316;1,904;47,79
Rooibos tea;2;52,89392854;1,5392;1,896;47,79
Rooibos tea;2;52,89392854;1,556;1,916;47,79
Rooibos tea;2;52,89392854;1,5249;1,921;47,79
Rooibos tea;2;52,89392854;1,5497;1,921;47,79
Rooibos tea;2;52,89392854;1,639;1,905;47,79
Rooibos tea;2;51,46094713;1,7112;1,929;47,79
Rooibos tea;2;51,46094713;1,6925;1,904;47,79
Rooibos tea;2;51,46094713;1,6659;1,919;47,79
Rooibos tea;2;51,46094713;1,5952;1,914;47,79
Rooibos tea;2;51,46094713;1,5821;1,927;47,79
Rooibos tea;2;51,46094713;1,5741;1,929;47,79
Rooibos tea;2;51,46094713;1,5852;1,923;47,79
Rooibos tea;2;51,46094713;1,6501;1,905;47,79
Rooibos tea;2;51,46094713;1,677;1,924;47,79
Rooibos tea;2;51,46094713;1,6912;1,926;47,79
Rooibos tea;2;51,46094713;1,4988;1,896;47,79
Rooibos tea;2;51,46094713;1,655;1,918;47,79
Rooibos tea;2;51,46094713;1,6935;1,924;47,79
Rooibos tea;2;51,46094713;1,6809;1,905;47,79
Rooibos tea;2;51,46094713;1,6998;1,921;47,79
Rooibos tea;2;51,46094713;1,6881;1,908;47,79
Rooibos tea;2;51,46094713;1,6492;1,92;47,79
Rooibos tea;2;48,85255097;1,5734;1,916;47,79
Rooibos tea;2;48,85255097;1,4893;1,9054;47,79
Rooibos tea;2;48,85255097;1,4993;1,895;47,79
Rooibos tea;2;48,85255097;1,4641;1,901;47,79
Rooibos tea;2;48,85255097;1,4736;1,91;47,79
Rooibos tea;2;48,85255097;1,6089;1,913;47,79
Rooibos tea;2;48,85255097;1,4942;1,898;47,79
Rooibos tea;2;48,85255097;1,531;1,927;47,79
Rooibos tea;2;48,85255097;1,4954;1,9454;47,79
Rooibos tea;2;48,85255097;1,5133;1,925;47,79
Rooibos tea;2;48,85255097;1,4868;1,894;47,79
Rooibos tea;2;48,85255097;1,4709;1,895;47,79
Rooibos tea;2;48,85255097;1,4926;1,902;47,79
Rooibos tea;2;48,85255097;1,5146;1,886;47,79
Rooibos tea;2;48,85255097;1,685;1,888;47,79
Rooibos tea;2;48,85255097;1,4688;1,906;47,79
Rooibos tea;2;48,85255097;1,5076;1,916;47,79
Rooibos tea;2;51,50710549;1,621;1,915;47,79
Rooibos tea;2;51,50710549;1,5738;1,909;47,79
Rooibos tea;2;51,50710549;1,5894;1,9;47,79
Rooibos tea;2;51,50710549;1,5446;1,899;47,79
Rooibos tea;2;51,50710549;1,6278;1,882;47,79
Rooibos tea;2;51,50710549;1,5634;1,91;47,79
Rooibos tea;2;51,50710549;1,6305;1,925;47,79
Rooibos tea;2;51,50710549;1,6307;1,928;47,79
Rooibos tea;2;51,50710549;1,6066;1,904;47,79
Rooibos tea;2;51,50710549;1,6136;1,891;47,79
Rooibos tea;2;51,50710549;1,6022;1,917;47,79
Rooibos tea;2;51,50710549;1,6273;1,922;47,79
Rooibos tea;2;51,50710549;1,5898;1,883;47,79
Rooibos tea;2;51,50710549;1,5906;1,894;47,79
Rooibos tea;2;51,50710549;1,6266;1,919;47,79
Rooibos tea;2;51,50710549;1,5673;1,92;47,79
Rooibos tea;2;51,50710549;1,5904;1,916;47,79
Rooibos tea;2;51,50710549;1,619;1,917;47,79
Rooibos tea;2;51,30090628;1,5632;1,928;47,79
Rooibos tea;2;51,30090628;1,5623;1,919;47,79
Rooibos tea;2;51,30090628;1,5807;1,923;47,79
Rooibos tea;2;51,30090628;1,5406;1,912;47,79
Rooibos tea;2;51,30090628;1,5698;1,8916;47,79
Rooibos tea;2;51,30090628;1,5934;1,922;47,79
Rooibos tea;2;51,30090628;1,5689;1,898;47,79
Rooibos tea;2;51,30090628;1,5551;1,904;47,79
Rooibos tea;2;51,30090628;1,5714;1,927;47,79
Rooibos tea;2;51,30090628;1,5377;1,898;47,79
Rooibos tea;2;51,30090628;1,4222;1,923;47,79
Rooibos tea;2;51,30090628;1,5809;1,919;47,79
Rooibos tea;2;51,30090628;1,576;1,925;47,79
Rooibos tea;2;51,30090628;1,5786;1,906;47,79
Rooibos tea;2;51,30090628;1,5584;1,928;47,79
Rooibos tea;2;51,30090628;1,5886;1,913;47,79
Rooibos tea;2;51,30090628;1,5447;1,901;47,79
Rooibos tea;2;51,30090628;1,5585;1,928;47,79
Rooibos tea;2;51,87264046;1,5922;1,903;47,79
Rooibos tea;2;51,87264046;1,5569;1,898;47,79
Rooibos tea;2;51,87264046;1,5978;1,923;47,79
Rooibos tea;2;51,87264046;1,5365;1,897;47,79
Rooibos tea;2;51,87264046;1,5192;1,917;47,79
Rooibos tea;2;51,87264046;1,6097;1,921;47,79
Rooibos tea;2;51,87264046;1,5555;1,914;47,79
Rooibos tea;2;51,87264046;1,5161;1,915;47,79
Rooibos tea;2;51,87264046;1,5732;1,905;47,79
Rooibos tea;2;51,87264046;1,6;1,922;47,79
Rooibos tea;2;51,87264046;1,57;1,921;47,79
Rooibos tea;2;51,87264046;1,5427;1,92;47,79
Rooibos tea;2;51,87264046;1,492;1,909;47,79
Rooibos tea;2;51,87264046;1,5715;1,914;47,79
Rooibos tea;2;51,87264046;1,5229;1,922;47,79
Rooibos tea;2;51,87264046;1,495;1,916;47,79
Rooibos tea;2;51,87264046;1,5722;1,925;47,79
Rooibos tea;2;51,87264046;1,562;1,927;47,79
Rooibos tea;2;51,87264046;1,569;1,895;47,79
Rooibos tea;3;49,20423249;1,4512;1,923;47,79
Rooibos tea;3;49,20423249;1,4577;1,908;47,79
Rooibos tea;3;49,20423249;1,3985;1,904;47,79
Rooibos tea;3;49,20423249;1,4287;1,926;47,79
Rooibos tea;3;49,20423249;1,4709;1,923;47,79
Rooibos tea;3;49,20423249;1,378;1,905;47,79
Rooibos tea;3;49,20423249;1,404;1,9;47,79
Rooibos tea;3;49,20423249;1,4048;1,926;47,79
Rooibos tea;3;49,20423249;1,3815;1,925;47,79
Rooibos tea;3;49,20423249;1,3909;1,9;47,79
Rooibos tea;3;49,20423249;1,461;1,918;47,79
Rooibos tea;3;49,20423249;1,425;1,907;47,79
Rooibos tea;3;49,20423249;1,3178;1,918;47,79
Rooibos tea;3;49,20423249;1,4247;1,902;47,79
Rooibos tea;3;49,20423249;1,3597;1,907;47,79
Rooibos tea;3;49,08566319;1,487;1,911;47,79
Rooibos tea;3;49,08566319;1,4337;1,898;47,79
Rooibos tea;3;49,08566319;1,4751;1,91;47,79
Rooibos tea;3;49,08566319;1,342;1,893;47,79
Rooibos tea;3;49,08566319;1,4327;1,902;47,79
Rooibos tea;3;49,08566319;1,5307;1,918;47,79
Rooibos tea;3;49,08566319;1,3566;1,926;47,79
Rooibos tea;3;49,08566319;1,3916;1,924;47,79
Rooibos tea;3;49,08566319;1,3406;1,893;47,79
Rooibos tea;3;49,08566319;1,4765;1,926;47,79
Rooibos tea;3;49,08566319;1,3133;1,924;47,79
Rooibos tea;3;49,08566319;1,4582;1,925;47,79
Rooibos tea;3;49,27415797;1,4381;1,906;47,79
Rooibos tea;3;49,27415797;1,5746;1,924;47,79
Rooibos tea;3;49,27415797;1,4923;1,926;47,79
Rooibos tea;3;49,27415797;1,5087;1,899;47,79
Rooibos tea;3;49,27415797;1,5166;1,92;47,79
Rooibos tea;3;49,27415797;1,4781;1,913;47,79
Rooibos tea;3;49,27415797;1,5012;1,919;47,79
Rooibos tea;3;49,27415797;1,5188;1,91;47,79
Rooibos tea;3;49,27415797;1,5356;1,923;47,79
Rooibos tea;3;49,27415797;1,5394;1,909;47,79
Rooibos tea;3;49,27415797;1,5157;1,89;47,79
Rooibos tea;3;49,27415797;1,4165;1,899;47,79
Rooibos tea;3;49,27415797;1,5087;1,915;47,79
Rooibos tea;3;49,27415797;1,4499;1,899;47,79
Rooibos tea;3;49,27415797;1,4881;1,919;47,79
Rooibos tea;3;49,27415797;1,4619;1,889;47,79
Rooibos tea;3;49,27415797;1,3498;1,9;47,79
Rooibos tea;3;49,27415797;1,3063;1,91;47,79
Rooibos tea;3;49,14849478;1,5273;1,909;47,79
Rooibos tea;3;49,14849478;1,5061;1,895;47,79
Rooibos tea;3;49,14849478;1,4908;1,897;47,79
Rooibos tea;3;49,14849478;1,4741;1,893;47,79
Rooibos tea;3;49,14849478;1,4605;1,907;47,79
Rooibos tea;3;49,14849478;1,4666;1,926;47,79
Rooibos tea;3;49,14849478;1,4561;1,9;47,79
Rooibos tea;3;49,14849478;1,5244;1,908;47,79
Rooibos tea;3;49,14849478;1,4665;1,924;47,79
Rooibos tea;3;49,14849478;1,5256;1,906;47,79
Rooibos tea;3;49,14849478;1,5203;1,91;47,79
Rooibos tea;3;49,14849478;1,5477;1,902;47,79
Rooibos tea;3;49,14849478;1,5151;1,92;47,79
Rooibos tea;3;50,2014307;1,4811;1,897;47,79
Rooibos tea;3;50,2014307;1,4765;1,903;47,79
Rooibos tea;3;50,2014307;1,4931;1,907;47,79
Rooibos tea;3;50,2014307;1,4532;1,906;47,79
Rooibos tea;3;50,2014307;1,4834;1,916;47,79
Rooibos tea;3;50,2014307;1,4809;1,912;47,79
Rooibos tea;3;50,2014307;1,4392;1,89;47,79
Rooibos tea;3;50,2014307;1,4696;1,892;47,79
Rooibos tea;3;50,2014307;1,4381;1,893;47,79
Rooibos tea;3;50,2014307;1,4674;1,913;47,79
Rooibos tea;3;50,2014307;1,5742;1,915;47,79
Rooibos tea;3;50,2014307;1,4994;1,896;47,79
Rooibos tea;3;50,2014307;1,5994;1,926;47,79
Rooibos tea;3;50,2014307;1,4802;1,908;47,79
Rooibos tea;3;50,2014307;1,5023;1,893;47,79
Rooibos tea;3;50,2014307;1,4317;1,898;47,79
Rooibos tea;3;50,2014307;1,4662;1,916;47,79
Rooibos tea;3;50,2014307;1,53;1,926;47,79
Rooibos tea;3;50,2014307;1,5264;1,917;47,79
Rooibos tea;3;49,32888227;1,4159;1,894;47,79
Rooibos tea;3;49,32888227;1,4439;1,921;47,79
Rooibos tea;3;49,32888227;1,4265;1,923;47,79
Rooibos tea;3;49,32888227;1,4488;1,91;47,79
Rooibos tea;3;49,32888227;1,3878;1,89;47,79
Rooibos tea;3;49,32888227;1,4422;1,901;47,79
Rooibos tea;3;49,32888227;1,4944;1,924;47,79
Rooibos tea;3;49,32888227;1,4092;1,908;47,79
Rooibos tea;3;49,32888227;1,4586;1,915;47,79
Rooibos tea;3;49,32888227;1,4646;1,897;47,79
Rooibos tea;3;49,32888227;1,4218;1,894;47,79
Rooibos tea;3;49,32888227;1,3366;1,927;47,79
Rooibos tea;3;49,32888227;1,4567;1,915;47,79
Rooibos tea;3;49,32888227;1,4604;1,922;47,79
Rooibos tea;3;49,32888227;1,3568;1,898;47,79
Rooibos tea;3;49,32888227;1,4758;1,916;47,79
Rooibos tea;3;49,32888227;1,4081;1,905;47,79
Rooibos tea;3;49,32888227;1,3854;1,893;47,79
Rooibos tea;3;49,85180328;1,5278;1,906;47,79
Rooibos tea;3;49,85180328;1,4608;1,8966;47,79
Rooibos tea;3;49,85180328;1,5499;1,917;47,79
Rooibos tea;3;49,85180328;1,547;1,904;47,79
Rooibos tea;3;49,85180328;1,4713;1,894;47,79
Rooibos tea;3;49,85180328;1,4804;1,91;47,79
Rooibos tea;3;49,85180328;1,4648;1,929;47,79
Rooibos tea;3;49,85180328;1,4893;1,904;47,79
Rooibos tea;3;49,85180328;1,5292;1,906;47,79
Rooibos tea;3;49,85180328;1,49;1,915;47,79
Rooibos tea;3;49,85180328;1,4498;1,902;47,79
Rooibos tea;3;49,85180328;1,5113;1,901;47,79
Rooibos tea;3;49,85180328;1,4871;1,922;47,79
Rooibos tea;3;49,85180328;1,5168;1,894;47,79
Rooibos tea;3;49,85180328;1,5133;1,917;47,79
Rooibos tea;3;50,07374069;1,5116;1,926;47,79
Rooibos tea;3;50,07374069;1,5264;1,916;47,79
Rooibos tea;3;50,07374069;1,5292;1,926;47,79
Rooibos tea;3;50,07374069;1,4787;1,909;47,79
Rooibos tea;3;50,07374069;1,4899;1,91;47,79
Rooibos tea;3;50,07374069;1,5062;1,911;47,79
Rooibos tea;3;50,07374069;1,5036;1,893;47,79
Rooibos tea;3;50,07374069;1,5165;1,903;47,79
Rooibos tea;3;50,07374069;1,5299;1,915;47,79
Rooibos tea;3;50,07374069;1,4227;1,901;47,79
Rooibos tea;3;50,07374069;1,4591;1,895;47,79
Rooibos tea;3;50,07374069;1,5218;1,897;47,79
Rooibos tea;3;50,07374069;1,5034;1,911;47,79
Rooibos tea;3;50,07374069;1,5071;1,891;47,79
Rooibos tea;3;50,07374069;1,412;1,89;47,79
Rooibos tea;4;49,63786528;1,2973;1,901;47,79
Rooibos tea;4;49,63786528;1,2886;1,927;47,79
Rooibos tea;4;49,63786528;1,4555;1,901;47,79
Rooibos tea;4;49,63786528;1,3193;1,903;47,79
Rooibos tea;4;49,63786528;1,3865;1,892;47,79
Rooibos tea;4;49,63786528;1,4795;1,898;47,79
Rooibos tea;4;49,63786528;1,1933;1,91;47,79
Rooibos tea;4;49,63786528;1,3306;1,926;47,79
Rooibos tea;4;49,63786528;1,5916;1,924;47,79
Rooibos tea;4;49,63786528;1,3805;1,906;47,79
Rooibos tea;4;49,63786528;1,4471;1,92;47,79
Rooibos tea;4;49,63786528;1,3775;1,892;47,79
Rooibos tea;4;49,63786528;1,3286;1,9;47,79
Rooibos tea;4;49,63786528;1,2361;1,89;47,79
Rooibos tea;4;49,63786528;1,3311;1,9;47,79
Rooibos tea;4;47,59299256;1,4597;1,902;47,79
Rooibos tea;4;47,59299256;1,4251;1,928;47,79
Rooibos tea;4;47,59299256;1,428;1,915;47,79
Rooibos tea;4;47,59299256;1,4672;1,901;47,79
Rooibos tea;4;47,59299256;1,3711;1,922;47,79
Rooibos tea;4;47,59299256;1,6596;1,907;47,79
Rooibos tea;4;47,59299256;1,6242;1,899;47,79
Rooibos tea;4;47,59299256;1,4236;1,911;47,79
Rooibos tea;4;47,59299256;1,3329;1,909;47,79
Rooibos tea;4;47,59299256;1,3778;1,894;47,79
Rooibos tea;4;47,59299256;1,414;1,9052;47,79
Rooibos tea;4;47,59299256;1,2936;1,8987;47,79
Rooibos tea;4;47,59299256;1,4282;1,929;47,79
Rooibos tea;4;47,59299256;1,5011;1,9135;47,79
Rooibos tea;4;47,59299256;1,5315;1,9182;47,79
Rooibos tea;4;47,59299256;1,5;1,8954;47,79
Rooibos tea;4;50,93924014;1,3076;1,894;47,79
Rooibos tea;4;50,93924014;1,4922;1,917;47,79
Rooibos tea;4;50,93924014;1,3279;1,898;47,79
Rooibos tea;4;50,93924014;1,4347;1,922;47,79
Rooibos tea;4;50,93924014;1,4003;1,887;47,79
Rooibos tea;4;50,93924014;1,4236;1,901;47,79
Rooibos tea;4;50,93924014;1,3589;1,906;47,79
Rooibos tea;4;50,93924014;1,3844;1,898;47,79
Rooibos tea;4;50,93924014;1,4716;1,903;47,79
Rooibos tea;4;50,93924014;1,5234;1,892;47,79
Rooibos tea;4;50,93924014;1,3693;1,904;47,79
Rooibos tea;4;50,93924014;1,4208;1,918;47,79
Rooibos tea;4;50,93924014;1,3998;1,901;47,79
Rooibos tea;4;50,93924014;1,3712;1,895;47,79
Rooibos tea;4;50,93924014;1,4294;1,9014;47,79
Rooibos tea;4;50,93924014;1,4156;1,9087;47,79
Rooibos tea;4;50,93924014;1,4436;1,882;47,79
Rooibos tea;4;50,93924014;1,4085;1,8948;47,79
Rooibos tea;4;49,9086892;1,4821;1,8881;47,79
Rooibos tea;4;49,9086892;1,4677;1,9035;47,79
Rooibos tea;4;49,9086892;1,6027;1,8966;47,79
Rooibos tea;4;49,9086892;1,4205;1,9023;47,79
Rooibos tea;4;49,9086892;1,4619;1,902;47,79
Rooibos tea;4;49,9086892;1,5105;1,893;47,79
Rooibos tea;4;49,9086892;1,4504;1,9007;47,79
Rooibos tea;4;49,9086892;1,5034;1,9033;47,79
Rooibos tea;4;49,9086892;1,5158;1,8922;47,79
Rooibos tea;4;49,9086892;1,489;1,8961;47,79
Rooibos tea;4;49,9086892;1,512;1,9017;47,79
Rooibos tea;4;49,9086892;1,5161;1,8929;47,79
Rooibos tea;4;49,9086892;1,5286;1,9138;47,79
Rooibos tea;4;49,9086892;1,4447;1,9047;47,79
Rooibos tea;4;49,9086892;1,4922;1,9033;47,79
Rooibos tea;4;49,9086892;1,5512;1,9053;47,79
Rooibos tea;4;49,9086892;1,4958;1,9049;47,79
Rooibos tea;4;49,9086892;1,5105;1,9182;47,79
Rooibos tea;4;51,83664908;1,4183;1,895;47,79
Rooibos tea;4;51,83664908;1,4574;1,926;47,79
Rooibos tea;4;51,83664908;1,4075;1,926;47,79
Rooibos tea;4;51,83664908;1,4761;1,907;47,79
Rooibos tea;4;51,83664908;1,418;1,9;47,79
Rooibos tea;4;51,83664908;1,3465;1,902;47,79
Rooibos tea;4;51,83664908;1,3999;1,913;47,79
Rooibos tea;4;51,83664908;1,3952;1,909;47,79
Rooibos tea;4;51,83664908;1,3888;1,9;47,79
Rooibos tea;4;51,83664908;1,3957;1,91;47,79
Rooibos tea;4;51,83664908;1,4344;1,902;47,79
Rooibos tea;4;51,83664908;1,4692;1,92;47,79
Rooibos tea;4;51,83664908;1,417;1,891;47,79
Rooibos tea;4;51,83664908;1,435;1,923;47,79
Rooibos tea;4;51,83664908;1,4599;1,91;47,79
Rooibos tea;4;51,83664908;1,4376;1,902;47,79
Rooibos tea;4;51,40916792;1,4838;1,904;47,79
Rooibos tea;4;51,40916792;1,3878;1,889;47,79
Rooibos tea;4;51,40916792;1,4936;1,926;47,79
Rooibos tea;4;51,40916792;1,4595;1,924;47,79
Rooibos tea;4;51,40916792;1,4492;1,893;47,79
Rooibos tea;4;51,40916792;1,4203;1,925;47,79
Rooibos tea;4;51,40916792;1,3902;1,914;47,79
Rooibos tea;4;51,40916792;1,4299;1,894;47,79
Rooibos tea;4;51,40916792;1,4481;1,911;47,79
Rooibos tea;4;51,40916792;1,4697;1,923;47,79
Rooibos tea;4;51,40916792;1,4161;1,8816;47,79
Rooibos tea;4;51,40916792;1,4544;1,9128;47,79
Rooibos tea;4;51,40916792;1,438;1,9224;47,79
Rooibos tea;4;51,40916792;1,4245;1,8958;47,79
Rooibos tea;4;51,40916792;1,4257;1,9021;47,79
Rooibos tea;4;51,40916792;1,3445;1,794;47,79
Rooibos tea;4;51,40916792;1,4463;1,9152;47,79
Rooibos tea;4;50,24220513;1,4157;1,903;47,79
Rooibos tea;4;50,24220513;1,4395;1,905;47,79
Rooibos tea;4;50,24220513;1,4483;1,927;47,79
Rooibos tea;4;50,24220513;1,4017;1,889;47,79
Rooibos tea;4;50,24220513;1,3912;1,919;47,79
Rooibos tea;4;50,24220513;1,4102;1,897;47,79
Rooibos tea;4;50,24220513;1,4329;1,917;47,79
Rooibos tea;4;50,24220513;1,4222;1,896;47,79
Rooibos tea;4;50,24220513;1,3765;1,896;47,79
Rooibos tea;4;50,24220513;1,3882;1,902;47,79
Rooibos tea;4;50,24220513;1,4123;1,908;47,79
Rooibos tea;4;50,24220513;1,3765;1,907;47,79
Rooibos tea;4;50,24220513;1,44;1,924;47,79
Rooibos tea;4;50,24220513;1,4111;1,919;47,79
Rooibos tea;4;50,24220513;1,3895;1,887;47,79
Rooibos tea;4;50,24220513;1,4154;1,897;47,79
Rooibos tea;4;50,24220513;1,4209;1,901;47,79
Rooibos tea;4;50,24220513;1,4022;1,897;47,79
Rooibos tea;4;49,21300878;1,3857;1,92;47,79
Rooibos tea;4;49,21300878;1,4291;1,903;47,79
Rooibos tea;4;49,21300878;1,4237;1,902;47,79
Rooibos tea;4;49,21300878;1,3969;1,892;47,79
Rooibos tea;4;49,21300878;1,4424;1,913;47,79
Rooibos tea;4;49,21300878;1,3687;1,91;47,79
Rooibos tea;4;49,21300878;1,5244;1,902;47,79
Rooibos tea;4;49,21300878;1,4352;1,928;47,79
Rooibos tea;4;49,21300878;1,4005;1,906;47,79
Rooibos tea;4;49,21300878;1,4125;1,927;47,79
Rooibos tea;4;49,21300878;1,3796;1,91;47,79
Rooibos tea;4;49,21300878;1,4366;1,913;47,79
Rooibos tea;4;49,21300878;1,4033;1,921;47,79
Rooibos tea;4;49,21300878;1,466;1,928;47,79
Rooibos tea;4;49,21300878;1,4216;1,916;47,79
Rooibos tea;4;49,21300878;1,3572;1,883;47,79
Rooibos tea;5;50,16107797;1,37;1,8819;47,79
Rooibos tea;5;50,16107797;1,385;1,9011;47,79
Rooibos tea;5;50,16107797;1,3776;1,8866;47,79
Rooibos tea;5;50,16107797;1,4038;1,9066;47,79
Rooibos tea;5;50,16107797;1,4713;1,9289;47,79
Rooibos tea;5;50,16107797;1,3285;1,9072;47,79
Rooibos tea;5;50,16107797;1,417;1,9202;47,79
Rooibos tea;5;50,16107797;1,3946;1,9009;47,79
Rooibos tea;5;50,16107797;1,4254;1,9231;47,79
Rooibos tea;5;50,16107797;1,3535;1,9074;47,79
Rooibos tea;5;50,16107797;1,2505;1,8907;47,79
Rooibos tea;5;50,16107797;1,4553;1,9112;47,79
Rooibos tea;5;50,16107797;1,3718;1,8867;47,79
Rooibos tea;5;50,16107797;1,3231;1,8866;47,79
Rooibos tea;5;50,10144441;1,4444;1,9137;47,79
Rooibos tea;5;50,10144441;1,3092;1,9017;47,79
Rooibos tea;5;50,10144441;1,3524;1,9105;47,79
Rooibos tea;5;50,10144441;1,4005;1,9098;47,79
Rooibos tea;5;50,10144441;1,2333;1,8876;47,79
Rooibos tea;5;50,10144441;1,2695;1,8875;47,79
Rooibos tea;5;50,10144441;1,3702;1,906;47,79
Rooibos tea;5;50,10144441;1,3731;1,8941;47,79
Rooibos tea;5;50,10144441;1,4447;1,9121;47,79
Rooibos tea;5;50,10144441;1,3669;1,8988;47,79
Rooibos tea;5;50,10144441;1,3729;1,8807;47,79
Rooibos tea;5;50,10144441;1,3717;1,8918;47,79
Rooibos tea;5;50,33483783;1,4548;1,8989;47,79
Rooibos tea;5;50,33483783;1,4753;1,9169;47,79
Rooibos tea;5;50,33483783;1,4047;1,9118;47,79
Rooibos tea;5;50,33483783;1,4044;1,8978;47,79
Rooibos tea;5;50,33483783;1,4628;1,8896;47,79
Rooibos tea;5;50,33483783;1,4792;1,9059;47,79
Rooibos tea;5;50,33483783;1,4229;1,8999;47,79
Rooibos tea;5;50,33483783;1,4518;1,909;47,79
Rooibos tea;5;50,33483783;1,4351;1,893;47,79
Rooibos tea;5;50,33483783;1,3662;1,9178;47,79
Rooibos tea;5;50,33483783;1,4747;1,8878;47,79
Rooibos tea;5;50,33483783;1,2838;1,902;47,79
Rooibos tea;5;50,33483783;1,3668;1,8943;47,79
Rooibos tea;5;50,33483783;1,4481;1,9191;47,79
Rooibos tea;5;50,33483783;1,4607;1,9151;47,79
Rooibos tea;5;50,33483783;1,2774;1,8918;47,79
Rooibos tea;5;51,07306018;1,3787;1,9045;47,79
Rooibos tea;5;51,07306018;1,4576;1,9154;47,79
Rooibos tea;5;51,07306018;1,4498;1,9076;47,79
Rooibos tea;5;51,07306018;1,4191;1,8971;47,79
Rooibos tea;5;51,07306018;1,492;1,8892;47,79
Rooibos tea;5;51,07306018;1,4298;1,8941;47,79
Rooibos tea;5;51,07306018;1,4889;1,914;47,79
Rooibos tea;5;50,27109161;1,2068;1,894;47,79
Rooibos tea;5;50,27109161;1,2379;1,8935;47,79
Rooibos tea;5;50,27109161;1,2864;1,9118;47,79
Rooibos tea;5;50,27109161;1,2323;1,9173;47,79
Rooibos tea;5;50,27109161;1,209;1,9587;47,79
Rooibos tea;5;50,27109161;1,2866;1,9037;47,79
Rooibos tea;5;50,27109161;1,2793;1,9074;47,79
Rooibos tea;5;49,1545046;1,3641;1,9164;47,79
Rooibos tea;5;49,1545046;1,3488;1,8834;47,79
Rooibos tea;5;49,1545046;1,2901;1,9272;47,79
Rooibos tea;5;49,1545046;1,2718;1,8961;47,79
Rooibos tea;5;49,1545046;1,4773;1,9238;47,79
Rooibos tea;5;49,1545046;1,362;1,9078;47,79
Rooibos tea;5;49,1545046;1,3392;1,9234;47,79
Rooibos tea;5;49,1545046;1,2828;1,9203;47,79
Rooibos tea;5;49,1545046;1,2839;1,91;47,79
Rooibos tea;5;49,1545046;1,3149;1,8944;47,79
Rooibos tea;5;49,1545046;1,2971;1,9237;47,79
Rooibos tea;5;49,1545046;1,3914;1,9123;47,79
Rooibos tea;5;49,1545046;1,29;1,9137;47,79
Rooibos tea;5;49,1545046;1,4837;1,9228;47,79
Rooibos tea;5;49,1545046;1,2685;1,9123;47,79
Rooibos tea;5;49,1545046;1,3419;1,9228;47,79
Rooibos tea;5;49,1545046;1,2494;1,8935;47,79
Rooibos tea;5;49,1545046;1,2519;1,9079;47,79
Rooibos tea;5;49,1545046;1,265;1,8985;47,79
Rooibos tea;5;49,1545046;1,2444;1,8858;47,79
Rooibos tea;5;49,83309339;1,3923;1,921;47,79
Rooibos tea;5;49,83309339;1,378;1,905;47,79
Rooibos tea;5;49,83309339;1,2746;1,922;47,79
Rooibos tea;5;49,83309339;1,3347;1,908;47,79
Rooibos tea;5;49,83309339;1,3689;1,9;47,79
Rooibos tea;5;49,83309339;1,4636;1,909;47,79
Rooibos tea;5;49,83309339;1,3728;1,8953;47,79
Rooibos tea;5;49,83309339;1,4298;1,9122;47,79
Rooibos tea;5;49,83309339;1,3964;1,9192;47,79
Rooibos tea;5;49,83309339;1,3879;1,9226;47,79
Rooibos tea;5;49,83309339;1,2202;1,911;47,79
Rooibos tea;5;49,83309339;1,2805;1,9146;47,79
Rooibos tea;5;49,83309339;1,3727;1,902;47,79
Rooibos tea;5;49,83309339;1,289;1,9189;47,79
Rooibos tea;5;49,83309339;1,3046;1,9125;47,79
Rooibos tea;5;49,83309339;1,3185;1,8803;47,79
Rooibos tea;5;49,83309339;1,3514;1,9186;47,79
Rooibos tea;5;50,73479395;1,3304;1,8923;47,79
Rooibos tea;5;50,73479395;1,3605;1,926;47,79
Rooibos tea;5;50,73479395;1,3652;1,9131;47,79
Rooibos tea;5;50,73479395;1,3625;1,9014;47,79
Rooibos tea;5;50,73479395;1,363;1,9043;47,79
Rooibos tea;5;50,73479395;1,3138;1,9147;47,79
Rooibos tea;5;50,73479395;1,3374;1,8965;47,79
Rooibos tea;5;50,73479395;1,3831;1,8987;47,79
Rooibos tea;5;50,73479395;1,3314;1,8975;47,79
Rooibos tea;5;50,73479395;1,358;1,9074;47,79
Rooibos tea;5;50,73479395;1,3491;1,9233;47,79
Rooibos tea;5;50,73479395;1,3215;1,9083;47,79
Rooibos tea;5;50,73479395;1,3621;1,9147;47,79
Rooibos tea;5;50,73479395;1,3243;1,9266;47,79
Rooibos tea;5;50,73479395;1,3508;1,9005;47,79
Rooibos tea;5;50,73479395;1,36;1,9022;47,79
Rooibos tea;5;50,73479395;1,2817;1,8986;47,79
Rooibos tea;5;50,73479395;1,3215;1,9151;47,79
Rooibos tea;6;49,46941263;1,155;1,9114;47,79
Rooibos tea;6;49,46941263;1,2787;1,915;47,79
Rooibos tea;6;49,46941263;1,384;1,9196;47,79
Rooibos tea;6;49,46941263;1,333;1,9149;47,79
Rooibos tea;6;49,46941263;1,2133;1,9001;47,79
