No,Tea type abbr,Tea type,Initial tea weight (g),Initial total weight (g),Initial bag weight (g),Remaining tea weight (g),Farm,Site,Farming system,Nitrogen type,Nitrogen dose,Repetition,Remaining C (%),Remaining N (%),Remaining S (%),Initial C fraction
1,G,Green tea,1.793,2.019,0.226,0.783,Belanger,A9,Organic,N-8-0-0,0,1,50.144,5.2809,0.29,0.860544373
2,G,Green tea,1.786,2.011,0.225,0.797,Belanger,A9,Organic,N-8-0-0,0,1,50.933,4.4082,0.251,0.857184747
3,G,Green tea,1.782,2.008,0.228,,Belanger,A9,Organic,N-8-0-0,0,1,,,,0.85526496
4,G,Green tea,1.76,1.987,0.227,0.778,Belanger,A9,Organic,N-8-0-0,0,2,50.292,5.4397,0.296,0.844706133
5,G,Green tea,1.788,2.013,0.226,0.779,Belanger,A9,Organic,N-8-0-0,0,2,47.718,4.8735,0.277,0.85814464
6,G,Green tea,1.779,2.004,0.227,,Belanger,A9,Organic,N-8-0-0,0,2,,,,0.85382512
7,G,Green tea,1.799,2.025,0.227,0.793,Belanger,A9,Organic,N-8-0-0,15,1,49.86,5.2671,0.277,0.863424053
8,G,Green tea,1.761,1.985,0.228,0.783,Belanger,A9,Organic,N-8-0-0,15,1,50.174,5.2419,0.289,0.84518608
9,G,Green tea,1.782,2.008,0.226,0.717,Belanger,A9,Organic,N-8-0-0,15,1,49.667,5.0409,0.288,0.85526496
10,G,Green tea,1.758,1.985,0.226,0.812,Belanger,A9,Organic,N-8-0-0,15,2,49.526,5.3365,0.277,0.84374624
11,G,Green tea,1.793,2.018,0.227,0.77,Belanger,A9,Organic,N-8-0-0,15,2,49.098,4.84,0.268,0.860544373
12,G,Green tea,1.797,2.023,0.227,0.714,Belanger,A9,Organic,N-8-0-0,15,2,50.008,4.6352,0.281,0.86246416
13,G,Green tea,1.799,2.024,0.226,,Belanger,A9,Organic,N-8-0-0,30,1,,,,0.863424053
14,G,Green tea,1.798,2.027,0.229,0.768,Belanger,A9,Organic,N-8-0-0,30,1,49.661,5.2464,0.286,0.862944107
15,G,Green tea,1.795,2.023,0.228,,Belanger,A9,Organic,N-8-0-0,30,1,,,,0.861504267
