"","No","Tea type abbr","Tea type","Initial tea weight (g)","Initial total weight (g)","Initial bag weight (g)","Remaining tea weight (g)","Farm","Site","Farming system","Nitrogen type","Nitrogen dose","Repetition","Remaining C (%)","Remaining N (%)","Remaining S (%)","Initial C fraction"
"42",30,"S","Rooibos tea",1.916,2.142,0.227,NA,"Belanger","A9","Organic","N-8-0-0",60,2,44.325,0.62286,0.0186,0.915688333
"43",31,"S","Rooibos tea",1.918,2.145,0.226,1.453,"Belanger","A9","Organic","N-6-1-1",60,2,44.485,0.61915,0.0206,0.916644167
"44",32,"S","Rooibos tea",1.891,2.118,0.227,1.286,"Belanger","A9","Organic","N-6-1-1",60,2,42.687,0.89221,0.0463,0.903740417
"45",33,"S","Rooibos tea",1.9,2.125,0.226,1.322,"Belanger","A9","Organic","N-6-1-1",45,2,45.836,0.82029,0.0359,0.908041667
"46",34,"S","Rooibos tea",1.904,2.132,0.227,1.439,"Belanger","A9","Organic","N-6-1-1",45,2,47.973,0.7155,0.0226,0.909953333
"47",35,"S","Rooibos tea",1.894,2.122,0.228,1.502,"Belanger","A9","Organic","N-6-1-1",30,2,48.809,0.93119,0.0366,0.905174167
"48",36,"S","Rooibos tea",1.92,2.146,0.226,1.489,"Belanger","A9","Organic","N-6-1-1",30,2,43.227,0.64575,0.0269,0.9176
"49",166,"G","Green tea",1.786,2.013,0.227,0.658,"Belanger","10","Conventional","N-21-0-0",30,1,51.581,4.4809,0.259,0.857184747
"50",167,"G","Green tea",1.776,2.003,0.227,0.751,"Belanger","10","Conventional","N-21-0-0",30,1,50.195,3.946,0.243,0.85238528
"51",168,"G","Green tea",1.788,2.013,0.227,0.732,"Belanger","10","Conventional","N-21-0-0",30,1,51.353,4.4647,0.26,0.85814464
"52",169,"G","Green tea",1.781,2.008,0.227,NA,"Belanger","10","Conventional","N-21-0-0",30,1,NA,NA,NA,0.854785013
"53",170,"G","Green tea",1.78,2.007,0.227,0.616,"Belanger","10","Conventional","N-21-0-0",30,2,51.042,4.739,0.277,0.854305067
"54",171,"G","Green tea",1.761,1.99,0.229,0.778,"Belanger","10","Conventional","N-21-0-0",30,2,49.976,4.9552,0.276,0.84518608
"55",172,"G","Green tea",1.76,1.983,0.226,0.645,"Belanger","10","Conventional","N-21-0-0",30,2,47.521,4.1047,0.243,0.844706133
"56",173,"G","Green tea",1.77,1.998,0.228,0.801,"Belanger","10","Conventional","N-21-0-0",45,1,49.761,4.9617,0.268,0.8495056
"57",174,"G","Green tea",1.769,1.995,0.227,0.765,"Belanger","10","Conventional","N-21-0-0",45,1,49.665,4.652,0.27,0.849025653
"58",175,"G","Green tea",1.765,1.993,0.228,0.723,"Belanger","10","Conventional","N-21-0-0",45,1,51.41,4.7341,0.265,0.847105867
"59",176,"G","Green tea",1.778,2.004,0.226,0.709,"Belanger","10","Conventional","N-21-0-0",45,2,50.389,4.8017,0.272,0.853345173
"60",177,"G","Green tea",1.781,2.008,0.228,0.803,"Belanger","10","Conventional","N-21-0-0",45,2,51.256,4.9288,0.28,0.854785013
"61",178,"G","Green tea",1.793,2.022,0.228,0.714,"Belanger","10","Conventional","N-21-0-0",45,2,50.469,4.6108,0.261,0.860544373
"62",179,"G","Green tea",1.786,2.012,0.226,0.744,"Belanger","10","Conventional","N-21-0-0",60,1,49.823,4.501,0.263,0.857184747
"63",180,"G","Green tea",1.799,2.023,0.224,0.851,"Belanger","10","Conventional","N-21-0-0",60,1,49.642,4.3622,0.245,0.863424053
"64",181,"G","Green tea",1.766,1.995,0.229,0.702,"Belanger","10","Conventional","N-21-0-0",60,1,49.494,4.2817,0.257,0.847585813
"65",182,"G","Green tea",1.754,1.981,0.228,0.769,"Belanger","10","Conventional","N-21-0-0",60,2,50.26,4.6585,0.251,0.841826453
"66",183,"G","Green tea",1.77,1.997,0.227,0.74,"Belanger","10","Conventional","N-21-0-0",60,2,49.869,4.6119,0.258,0.8495056
"67",184,"G","Green tea",1.796,2.019,0.227,NA,"Belanger","10","Conventional","N-21-0-0",60,2,NA,NA,NA,0.861984213
"68",185,"G","Green tea",1.787,2.012,0.227,0.714,"Belanger","10","Conventional","N-SCU",45,2,49.986,4.2273,0.262,0.857664693
"69",186,"G","Green tea",1.777,2.002,0.225,0.692,"Belanger","10","Conventional","N-SCU",45,2,51.621,4.7403,0.261,0.852865227
"70",187,"G","Green tea",1.791,2.018,0.227,0.732,"Belanger","10","Conventional","N-SCU",60,2,50.99,5.2118,0.286,0.85958448
"71",188,"G","Green tea",1.773,2.001,0.229,0.784,"Belanger","10","Conventional","N-SCU",60,2,48.909,4.4888,0.262,0.85094544
"72",189,"G","Green tea",1.792,2.022,0.229,0.734,"Belanger","10","Conventional","N-SCU",30,2,51.244,4.4671,0.26,0.860064427
"73",190,"G","Green tea",1.783,2.011,0.227,0.825,"Belanger","10","Conventional","N-SCU",30,2,48.862,4.2277,0.279,0.855744907
"74",130,"S","Rooibos tea",1.908,2.134,0.225,1.574,"Belanger","10","Conventional","N-21-0-0",30,1,49.238,0.85701,0.024,0.911865
"75",131,"S","Rooibos tea",1.916,2.142,0.226,1.565,"Belanger","10","Conventional","N-21-0-0",30,1,47.384,1.009,0.0392,0.915688333
"76",132,"S","Rooibos tea",1.891,2.116,0.226,1.573,"Belanger","10","Conventional","N-21-0-0",30,1,50.184,0.85323,0.0354,0.903740417
"77",133,"S","Rooibos tea",1.906,2.132,0.225,1.446,"Belanger","10","Conventional","N-21-0-0",30,2,48.252,0.99285,0.0532,0.910909167
"78",134,"S","Rooibos tea",1.909,2.136,0.228,1.566,"Belanger","10","Conventional","N-21-0-0",30,2,49.42,1.1357,0.0442,0.912342917
