No;TypeThe;SorteThe;PoidsContenu_g;PoidsTotal _g;PoidsSac_g;Poids_Restant_g;Producteur;Champs;Regie;TypeAzote;DoseN;Repetition;Pourcentage_C;Pourcentage_N;Pourcentage_S
648;G;GrenTea;1,79;2,155;0,365;0,851;Fortier;9;Conventionel;N;45;2;48,724;4,8823;0,262
649;G;GrenTea;1,776;2,136;0,361;0,678;Fortier;9;Conventionel;N;60;1;47,983;3,2594;0,231
650;G;GrenTea;1,753;2,115;0,361;;Fortier;9;Conventionel;N;60;1;;;
651;G;GrenTea;1,77;2,132;0,362;;Fortier;9;Conventionel;N;60;1;;;
652;G;GrenTea;1,799;2,162;0,363;0,677;Fortier;9;Conventionel;N;60;2;44,782;3,2432;0,21
653;G;GrenTea;1,79;2,149;0,36;0,709;Fortier;9;Conventionel;N;60;2;48,637;3,799;0,219
654;G;GrenTea;1,791;2,146;0,355;0,467;Fortier;9;Conventionel;N;60;2;44,632;3,5701;0,257
829;G;GrenTea;1,758;2,117;0,36;0,784;Fortier;45;Conventionel;N;0;1;49,476;4,4698;0,27
830;G;GrenTea;1,751;2,113;0,362;0,587;Fortier;45;Conventionel;N;0;1;53,023;3,9144;0,253
831;G;GrenTea;1,778;2,13;0,351;0,727;Fortier;45;Conventionel;N;0;1;48,812;5,2095;0,339
832;G;GrenTea;1,784;2,143;0,359;0,744;Fortier;45;Conventionel;N;0;2;51,763;4,8061;0,281
833;G;GrenTea;1,784;2,145;0,361;0,737;Fortier;45;Conventionel;N;0;2;50,478;4,0142;0,272
834;G;GrenTea;1,782;2,136;0,355;0,804;Fortier;45;Conventionel;N;0;2;51,163;5,2482;0,307
835;G;GrenTea;1,757;2,112;0,356;0,848;Fortier;45;Conventionel;N;15;1;50,556;4,7736;0,325
836;G;GrenTea;1,784;2,142;0,357;0,692;Fortier;45;Conventionel;N;15;1;50,686;3,8653;0,29
837;G;GrenTea;1,779;2,134;0,355;0,836;Fortier;45;Conventionel;N;15;1;50,614;4,6776;0,287
838;G;GrenTea;1,766;2,125;0,359;0,61;Fortier;45;Conventionel;N;15;2;50,489;3,7105;0,246
839;G;GrenTea;1,775;2,132;0,357;0,65;Fortier;45;Conventionel;N;15;2;51,892;3,8414;0,261
840;G;GrenTea;1,801;2,156;0,356;0,807;Fortier;45;Conventionel;N;15;2;49,774;4,5611;0,287
841;G;GrenTea;1,769;2,122;0,357;0,803;Fortier;45;Conventionel;N;30;1;50,548;5,1077;0,315
842;G;GrenTea;1,774;2,13;0,37;0,738;Fortier;45;Conventionel;N;30;1;51,345;4,7929;0,294
843;G;GrenTea;1,757;2,113;0,355;0,553;Fortier;45;Conventionel;N;30;1;47,013;3,4768;0,253
844;G;GrenTea;1,761;2,116;0,355;;Fortier;45;Conventionel;N;30;2;;;
845;G;GrenTea;1,781;2,135;0,355;0,83;Fortier;45;Conventionel;N;30;2;44,017;3,5534;0,256
846;G;GrenTea;1,788;2,146;0,357;0,847;Fortier;45;Conventionel;N;30;2;50,818;5,0089;0,293
847;G;GrenTea;1,799;2,162;0,363;0,772;Fortier;45;Conventionel;N;45;1;50,201;4,795;0,297
848;G;GrenTea;1,792;2,151;0,359;0,858;Fortier;45;Conventionel;N;45;1;46,212;3,9897;0,301
849;G;GrenTea;1,791;2,15;0,359;0,904;Fortier;45;Conventionel;N;45;1;47,033;4,7959;0,318
850;G;GrenTea;1,768;2,124;0,356;0,753;Fortier;45;Conventionel;N;45;2;51,906;4,5151;0,28
851;G;GrenTea;1,763;2,123;0,36;0,738;Fortier;45;Conventionel;N;45;2;50,547;4,0679;0,256
852;G;GrenTea;1,795;2,164;0,368;0,805;Fortier;45;Conventionel;N;45;2;51,647;4,8294;0,299
853;G;GrenTea;1,772;2,131;0,357;0,754;Fortier;45;Conventionel;N;60;1;50,239;4,7838;0,293
854;G;GrenTea;1,794;2,145;0,353;0,796;Fortier;45;Conventionel;N;60;1;50,191;4,0365;0,264
855;G;GrenTea;1,772;2,131;0,359;0,781;Fortier;45;Conventionel;N;60;1;50,945;4,421;0,269
856;G;GrenTea;1,764;2,118;0,354;0,817;Fortier;45;Conventionel;N;60;2;44,363;3,7301;0,33
857;G;GrenTea;1,773;2,128;0,352;0,717;Fortier;45;Conventionel;N;60;2;50,583;3,6961;0,285
858;G;GrenTea;1,771;2,132;0,359;0,869;Fortier;45;Conventionel;N;60;2;48,501;4,4927;0,27
1206;G;GrenTea;1,754;2,117;0,362;0,851;Fortier;45;Conventionel;Nproducteur;;;49,362;4,5884;0,286
1207;G;GrenTea;1,751;2,101;0,35;0,742;Fortier;45;Conventionel;Nproducteur;;;49,238;4,2849;0,296
1208;G;GrenTea;1,774;2,137;0,363;0,668;Fortier;45;Conventionel;Nproducteur;;;50,728;3,3266;0,257
1209;G;GrenTea;1,77;2,128;0,357;0,837;Fortier;45;Conventionel;Nproducteur;;;51,201;4,7512;0,29
1210;G;GrenTea;1,774;2,135;0,361;;Fortier;45;Conventionel;Nproducteur;;;;;
1211;G;GrenTea;1,793;2,146;0,353;0,852;Fortier;45;Conventionel;Nproducteur;;;51,146;5,0601;0,308
1212;G;GrenTea;1,797;2,156;0,359;0,772;Fortier;45;Conventionel;Nproducteur;;;49,503;3,5529;0,266
1213;G;GrenTea;1,767;2,127;0,36;0,876;Fortier;45;Conventionel;Nproducteur;;;49,173;4,5658;0,275
1214;G;GrenTea;1,799;2,162;0,362;;Fortier;45;Conventionel;Nproducteur;;;50,49;4,9219;0,301
1215;G;GrenTea;1,75;2,106;0,356;0,834;Fortier;45;Conventionel;Nproducteur;;;50,1115;4,6972;0,312
1216;G;GrenTea;1,778;2,137;0,36;0,867;Fortier;45;Conventionel;Nproducteur;;;51,396;4,6003;0,312
1217;G;GrenTea;1,795;2,144;0,348;0,798;Fortier;45;Conventionel;Nproducteur;;;51,773;4,007;0,283
1218;G;GrenTea;1,785;2,139;0,354;1,244;Fortier;9;Conventionel;Nproducteur;;;48,835;4,6919;0,269
1219;G;GrenTea;1,792;2,152;0,36;1,201;Fortier;9;Conventionel;Nproducteur;;;44,524;3,7248;0,227
1220;G;GrenTea;1,803;2,159;0,355;1,18;Fortier;9;Conventionel;Nproducteur;;;47,766;3,8724;0,231
1221;G;GrenTea;1,778;2,139;0,36;0,771;Fortier;9;Conventionel;Nproducteur;;;49,015;4,4899;0,249
1222;G;GrenTea;1,796;2,159;0,361;0,78;Fortier;9;Conventionel;Nproducteur;;;47,281;4,4411;0,248
1223;G;GrenTea;1,786;2,146;0,36;0,694;Fortier;9;Conventionel;Nproducteur;;;46,874;3,0053;0,219
1224;G;GrenTea;1,783;2,14;0,358;0,752;Fortier;9;Conventionel;Nproducteur;;;50,369;4,9149;0,268
1225;G;GrenTea;1,781;2,135;0,353;0,757;Fortier;9;Conventionel;Nproducteur;;;49,852;4,3798;0,253
1226;G;GrenTea;1,765;2,125;0,361;;Fortier;9;Conventionel;Nproducteur;;;;;
1227;G;GrenTea;1,78;2,136;0,356;0,503;Fortier;9;Conventionel;Nproducteur;;;46,076;4,6646;0,254
1228;G;GrenTea;1,79;2,151;0,361;;Fortier;9;Conventionel;Nproducteur;;;;;
1229;G;GrenTea;1,775;2,13;0,354;0,75;Fortier;9;Conventionel;Nproducteur;;;48,802;4,6226;0,269
1230;G;GrenTea;1,802;2,17;0,368;0,725;Belanger;10;Conventionel;Nproducteur;;;50,56;5,2532;0,284
1231;G;GrenTea;1,788;2,148;0,36;0,771;Belanger;10;Conventionel;Nproducteur;;;43,705;4,2108;0,275
1232;G;GrenTea;1,756;2,111;0,355;0,675;Belanger;10;Conventionel;Nproducteur;;;50,58;5,0314;0,28
1233;G;GrenTea;1,764;2,121;0,357;;Belanger;10;Conventionel;Nproducteur;;;;;
1234;G;GrenTea;1,76;2,126;0,366;0,638;Belanger;10;Conventionel;Nproducteur;;;50,563;4,6042;0,274
1235;G;GrenTea;1,785;2,145;0,359;0,697;Belanger;10;Conventionel;Nproducteur;;;50,413;5,0405;0,301
1243;G;GrenTea;1,778;2,135;0,358;0,619;Fortier;9;Conventionel;N;30;2;50,781;4,4079;0,249
1244;G;GrenTea;1,797;2,159;0,362;0,675;Fortier;9;Conventionel;N;30;2;47,013;4,0061;0,245
1245;G;GrenTea;1,804;2,165;0,361;0,64;Fortier;9;Conventionel;N;45;2;48,548;3,894;0,248
1246;G;GrenTea;1,79;2,149;0,36;0,636;Fortier;9;Conventionel;N;45;2;50,534;3,9981;0,261
1247;G;GrenTea;1,779;2,138;0,359;0,687;Fortier;9;Conventionel;N;60;2;47,355;4,6058;0,265
1248;G;GrenTea;1,75;2,104;0,354;0,63;Fortier;9;Conventionel;N;60;2;48,63;4,638;0,276
391;S;Rooibos;1,91;2,27;0,361;1,352;Fortier;9;Conventionel;N;0;1;45,22;0,80471;0,0199
392;S;Rooibos;1,913;2,272;0,359;1,295;Fortier;9;Conventionel;N;0;1;47,323;1,0041;0,0381
393;S;Rooibos;1,925;2,281;0,355;1,232;Fortier;9;Conventionel;N;0;1;47,264;0,81148;0,023
394;S;Rooibos;1,893;2,246;0,353;1,416;Fortier;9;Conventionel;N;0;2;46,632;0,92743;0,0208
395;S;Rooibos;1,906;2,258;0,352;1,402;Fortier;9;Conventionel;N;0;2;45,722;0,77332;0,0177
396;S;Rooibos;1,907;2,272;0,365;1,288;Fortier;9;Conventionel;N;0;2;47,315;0,76372;0,0195
397;S;Rooibos;1,921;2,286;0,365;;Fortier;9;Conventionel;N;15;1;;;
398;S;Rooibos;1,907;2,26;0,353;1,343;Fortier;9;Conventionel;N;15;1;45,302;0,76838;0,029
399;S;Rooibos;1,888;2,249;0,361;1,255;Fortier;9;Conventionel;N;15;1;46,74;0,92017;0,0337
400;S;Rooibos;1,893;2,255;0,362;1,41;Fortier;9;Conventionel;N;15;2;47,119;0,75799;0,0175
401;S;Rooibos;1,896;2,253;0,358;1,387;Fortier;9;Conventionel;N;15;2;43,626;0,74622;0,0284
402;S;Rooibos;1,9;2,263;0,364;;Fortier;9;Conventionel;N;15;2;;;
403;S;Rooibos;1,919;2,28;0,361;1,557;Fortier;9;Conventionel;N;30;1;46,514;0,87969;0,0308
404;S;Rooibos;1,905;2,261;0,355;1,319;Fortier;9;Conventionel;N;30;1;46,157;0,78784;0,0335
405;S;Rooibos;1,909;2,261;0,351;1,274;Fortier;9;Conventionel;N;30;1;47,268;0,63065;0,0147
406;S;Rooibos;1,889;2,244;0,355;1,173;Fortier;9;Conventionel;N;30;2;50,581;1,1526;0,0609
407;S;Rooibos;1,92;2,282;0,363;;Fortier;9;Conventionel;N;30;2;;;
408;S;Rooibos;1,913;2,275;0,362;1,278;Fortier;9;Conventionel;N;30;2;46,261;1,1354;0,0527
409;S;Rooibos;1,928;2,289;0,361;1,358;Fortier;9;Conventionel;N;45;1;45,117;0,7964;0,0278
410;S;Rooibos;1,925;2,284;0,36;1,338;Fortier;9;Conventionel;N;45;1;45,707;0,78982;0,0303
411;S;Rooibos;1,922;2,281;0,36;1,485;Fortier;9;Conventionel;N;45;1;41,814;0,91768;0,0406
412;S;Rooibos;1,92;2,283;0,363;1,424;Fortier;9;Conventionel;N;45;2;47,132;0,67525;0,0105
413;S;Rooibos;1,902;2,26;0,357;1,538;Fortier;9;Conventionel;N;45;2;48,187;0,79626;0,0192
414;S;Rooibos;1,893;2,255;0,362;1,349;Fortier;9;Conventionel;N;45;2;45,592;0,91926;0,0329
415;S;Rooibos;1,911;2,279;0,367;1,266;Fortier;9;Conventionel;N;60;1;46,939;0,77745;0,0284
416;S;Rooibos;1,897;2,256;0,358;1,209;Fortier;9;Conventionel;N;60;1;47,576;0,93114;0,0386
417;S;Rooibos;1,918;2,279;0,362;1,299;Fortier;9;Conventionel;N;60;1;47,033;0,81894;0,0315
418;S;Rooibos;1,923;2,282;0,359;1,341;Fortier;9;Conventionel;N;60;2;47,994;0,82309;0,0328
419;S;Rooibos;1,913;2,27;0,357;1,279;Fortier;9;Conventionel;N;60;2;47,802;0,85905;0,0291
420;S;Rooibos;1,903;2,262;0,358;;Fortier;9;Conventionel;N;60;2;;;
523;S;Rooibos;1,907;2,274;0,367;1,352;Fortier;45;Conventionel;N;0;1;47,963;1,2148;0,0845
524;S;Rooibos;1,891;2,252;0,361;1,371;Fortier;45;Conventionel;N;0;1;48,358;1,0006;0,0706
525;S;Rooibos;1,896;2,257;0,361;1,401;Fortier;45;Conventionel;N;0;1;49,667;1,0147;0,0773
526;S;Rooibos;1,902;2,27;0,368;1,3;Fortier;45;Conventionel;N;0;2;50,585;0,89246;0,0584
527;S;Rooibos;1,888;2,249;0,361;1,235;Fortier;45;Conventionel;N;0;2;45,33;0,82495;0,0692
528;S;Rooibos;1,893;2,254;0,361;1,35;Fortier;45;Conventionel;N;0;2;46;0,98091;0,0891
529;S;Rooibos;1,893;2,25;0,356;1,406;Fortier;45;Conventionel;N;15;1;44,649;0,88298;0,0731
530;S;Rooibos;1,886;2,251;0,365;1,372;Fortier;45;Conventionel;N;15;1;44,88;0,82519;0,0763
531;S;Rooibos;1,899;2,253;0,353;1,423;Fortier;45;Conventionel;N;15;1;44,851;0,84795;0,0848
532;S;Rooibos;1,91;2,268;0,359;;Fortier;45;Conventionel;N;15;2;;;
533;S;Rooibos;1,918;2,281;0,362;1,369;Fortier;45;Conventionel;N;15;2;47,625;0,92312;0,0759
534;S;Rooibos;1,908;2,274;0,365;1,307;Fortier;45;Conventionel;N;15;2;46,308;0,76662;0,0762
535;S;Rooibos;1,889;2,248;0,36;1,298;Fortier;45;Conventionel;N;30;1;45,827;1,0734;0,0915
536;S;Rooibos;1,894;2,255;0,361;1,297;Fortier;45;Conventionel;N;30;1;45,185;0,95828;0,0883
537;S;Rooibos;1,92;2,277;0,357;1,316;Fortier;45;Conventionel;N;30;1;46,583;0,93804;0,0664
538;S;Rooibos;1,912;2,274;0,361;1,369;Fortier;45;Conventionel;N;30;2;44,983;0,82848;0,0849
539;S;Rooibos;1,924;2,279;0,355;1,389;Fortier;45;Conventionel;N;30;2;44,722;0,88329;0,0838
540;S;Rooibos;1,903;2,262;0,359;1,5;Fortier;45;Conventionel;N;30;2;44,727;0,9086;0,073
541;S;Rooibos;1,924;2,276;0,352;1,304;Fortier;45;Conventionel;N;45;1;46,833;0,97446;0,0933
542;S;Rooibos;1,893;2,253;0,359;1,458;Fortier;45;Conventionel;N;45;1;45,34;1,0204;0,0787
543;S;Rooibos;1,923;2,278;0,355;1,47;Fortier;45;Conventionel;N;45;1;50,215;1,0171;0,161
544;S;Rooibos;1,91;2,275;0,365;1,445;Fortier;45;Conventionel;N;45;2;45,395;1,0093;0,0795
545;S;Rooibos;1,915;2,275;0,361;1,435;Fortier;45;Conventionel;N;45;2;44,406;0,98229;0,088
546;S;Rooibos;1,91;2,266;0,356;1,43;Fortier;45;Conventionel;N;45;2;45,959;1,0391;0,0953
547;S;Rooibos;1,891;2,247;0,356;1,437;Fortier;45;Conventionel;N;60;1;47,543;0,96472;0,0815
548;S;Rooibos;1,9;2,26;0,36;1,228;Fortier;45;Conventionel;N;60;1;46,787;0,98781;0,0866
549;S;Rooibos;1,913;2,278;0,364;1,389;Fortier;45;Conventionel;N;60;1;45,24;1,0139;0,095
550;S;Rooibos;1,907;2,264;0,357;1,341;Fortier;45;Conventionel;N;60;2;48,123;0,92958;0,102
551;S;Rooibos;1,918;2,269;0,352;1,391;Fortier;45;Conventionel;N;60;2;45,65;1,0164;0,0869
552;S;Rooibos;1,905;2,253;0,348;1,384;Fortier;45;Conventionel;N;60;2;47,642;1,0902;0,0888
756;S;Rooibos;1,926;2,288;0,362;1,396;Fortier;45;Conventionel;Nproducteur;;1;43,223;0,65901;0,0783
757;S;Rooibos;1,926;2,291;0,365;1,398;Fortier;45;Conventionel;Nproducteur;;1;44,182;0,61058;0,0739
758;S;Rooibos;1,893;2,252;0,359;1,373;Fortier;45;Conventionel;Nproducteur;;1;46,048;1,0733;0,0869
759;S;Rooibos;1,894;2,255;0,361;1,379;Fortier;45;Conventionel;Nproducteur;;2;47,219;1,1123;0,0944
760;S;Rooibos;1,909;2,269;0,36;;Fortier;45;Conventionel;Nproducteur;;2;;;
761;S;Rooibos;1,916;2,275;0,359;1,345;Fortier;45;Conventionel;Nproducteur;;2;45,947;0,88188;0,085
762;S;Rooibos;1,925;2,283;0,358;1,516;Fortier;45;Conventionel;Nproducteur;;1;45,946;1,0491;0,084
763;S;Rooibos;1,928;2,285;0,36;1,472;Fortier;45;Conventionel;Nproducteur;;1;46,126;0,96534;0,0994
764;S;Rooibos;1,892;2,259;0,365;;Fortier;45;Conventionel;Nproducteur;;1;;;
765;S;Rooibos;1,926;2,28;0,355;1,419;Fortier;45;Conventionel;Nproducteur;;2;46,09;0,946;0,0945
766;S;Rooibos;1,889;2,247;0,358;1,386;Fortier;45;Conventionel;Nproducteur;;;47,025;1,1066;0,096
767;S;Rooibos;1,923;2,275;0,352;1,472;Fortier;45;Conventionel;Nproducteur;;;;;
768;S;Rooibos;1,896;2,252;0,356;1,859;Fortier;45;Conventionel;Nproducteur;;;47,856;0,94496;0,0449
769;S;Rooibos;1,905;2,265;0,359;1,994;Fortier;45;Conventionel;Nproducteur;;;43,355;0,69078;0,0286
770;S;Rooibos;1,907;2,267;0,36;1,835;Fortier;45;Conventionel;Nproducteur;;;47,216;0,84245;0,0288
771;S;Rooibos;1,917;2,281;0,365;1,406;Fortier;45;Conventionel;Nproducteur;;;47,32;0,93269;0,0378
772;S;Rooibos;1,907;2,265;0,358;1,464;Fortier;45;Conventionel;Nproducteur;;;47,571;0,85364;0,057
773;S;Rooibos;1,893;2,261;0,368;1,366;Fortier;45;Conventionel;Nproducteur;;;47,03;1,1321;0,0485
774;S;Rooibos;1,906;2,266;0,361;1,337;Fortier;45;Conventionel;Nproducteur;;;49,237;0,91738;0,0503
775;S;Rooibos;1,9;2,26;0,359;1,331;Fortier;45;Conventionel;Nproducteur;;;44,329;0,89485;0,0443
776;S;Rooibos;1,917;2,272;0,355;1,298;Fortier;45;Conventionel;Nproducteur;;;48,263;0,88826;0,0445
777;S;Rooibos;1,919;2,274;0,356;1,465;Fortier;45;Conventionel;Nproducteur;;;45,632;0,65245;0,0151
778;S;Rooibos;1,922;2,28;0,357;1,446;Fortier;45;Conventionel;Nproducteur;;;49,053;0,87839;0,0409
779;S;Rooibos;1,904;2,264;0,359;1,248;Fortier;45;Conventionel;Nproducteur;;;41,004;1,1071;0,0612
780;S;Rooibos;1,894;2,258;0,365;1,494;Fortier;45;Conventionel;Nproducteur;;;46,022;1,0194;0,0366
781;S;Rooibos;1,904;2,269;0,365;1,538;Fortier;45;Conventionel;Nproducteur;;;49,985;1,009;0,037
782;S;Rooibos;1,896;2,256;0,36;1,487;Fortier;45;Conventionel;Nproducteur;;;47,012;0,90835;0,0275
783;S;Rooibos;1,903;2,268;0,364;1,467;Fortier;45;Conventionel;Nproducteur;;;47,765;1,098;0,0467
784;S;Rooibos;1,922;2,281;0,358;1,503;Fortier;45;Conventionel;Nproducteur;;;47,466;0,95659;0,0509
785;S;Rooibos;1,918;2,274;0,357;1,213;Fortier;45;Conventionel;Nproducteur;;;46,627;0,94175;0,0414
793;S;Rooibos;1,915;2,273;0,359;1,268;Fortier;9;Conventionel;N;30;2;46,973;0,84612;0,0408
794;S;Rooibos;1,926;2,293;0,366;1,369;Fortier;9;Conventionel;N;30;2;43,042;0,73255;0,0236
795;S;Rooibos;1,923;2,285;0,362;1,273;Fortier;9;Conventionel;N;45;2;47,308;1,1222;0,0435
796;S;Rooibos;1,911;2,277;0,366;1,117;Fortier;9;Conventionel;N;45;2;44,191;1,1311;0,049
797;S;Rooibos;1,92;2,283;0,364;1,243;Fortier;9;Conventionel;N;60;2;46,479;1,0038;0,0416
798;S;Rooibos;1,92;2,282;0,362;1,286;Fortier;9;Conventionel;N;60;2;42,541;0,94562;0,0276
1;N;ResidusCanneberge;1,886;2,25;0,364;1,882;Belanger;A9;Biologique;N;60;2;49,063;0,68647;0,0386
2;N;ResidusCanneberge;1,928;2,288;0,358;1,873;Belanger;A9;Biologique;N;60;2;48,953;0,73003;0,0319
3;N;ResidusCanneberge;1,882;2,238;0,356;1,477;Belanger;A9;Biologique;N;45;2;46,902;0,66729;0,0292
4;N;ResidusCanneberge;1,91;2,266;0,354;1,907;Belanger;A9;Biologique;N;45;2;49,316;0,70503;0,0376
5;N;ResidusCanneberge;1,897;2,26;0,362;1,917;Belanger;A9;Biologique;N;30;2;48,922;0,80019;0,0403
6;N;ResidusCanneberge;1,93;2,289;0,358;1,966;Belanger;A9;Biologique;N;30;2;48,652;0,66524;0,0304
7;N;ResidusCanneberge;1,886;2,248;0,365;2,037;Belanger;A9;Biologique;N;0;1;44,401;0,71274;0,0369
8;N;ResidusCanneberge;1,915;2,279;0,364;1,907;Belanger;A9;Biologique;N;0;1;49,096;0,71969;0,03
9;N;ResidusCanneberge;1,88;2,244;0,363;1,807;Belanger;A9;Biologique;N;0;1;48,697;0,70311;0,0325
10;N;ResidusCanneberge;1,917;2,276;0,367;1,947;Belanger;A9;Biologique;N;0;2;49,624;0,68393;0,0357
11;N;ResidusCanneberge;1,908;2,265;0,358;1,688;Belanger;A9;Biologique;N;0;2;48,927;0,71022;0,0313
12;N;ResidusCanneberge;1,899;2,26;0,36;1,898;Belanger;A9;Biologique;N;0;2;46,55;0,72076;0,0364
13;N;ResidusCanneberge;1,915;2,274;0,359;1,833;Belanger;A9;Biologique;N;30;1;45,787;0,62231;0,0276
14;N;ResidusCanneberge;1,92;2,279;0,357;1,987;Belanger;A9;Biologique;N;30;1;46,03;0,70791;0,0434
15;N;ResidusCanneberge;1,905;2,27;0,364;1,918;Belanger;A9;Biologique;N;30;1;49,3;0,70714;0,0346
16;N;ResidusCanneberge;1,908;2,275;0,369;1,918;Belanger;A9;Biologique;N;30;2;47,82;0,64509;0,0307
17;N;ResidusCanneberge;1,921;2,282;0,361;1,951;Belanger;A9;Biologique;N;30;2;48,468;0,67954;0,0297
18;N;ResidusCanneberge;1,896;2,262;0,366;1,944;Belanger;A9;Biologique;N;30;2;48,462;0,69446;0,0349
19;N;ResidusCanneberge;1,917;2,275;0,358;2,004;Belanger;A9;Biologique;N;60;1;45,975;1,8559;0,0896
20;N;ResidusCanneberge;1,918;2,283;0,365;1,953;Belanger;A9;Biologique;N;60;1;49,211;0,75332;0,0353
21;N;ResidusCanneberge;1,911;2,276;0,365;1,914;Belanger;A9;Biologique;N;60;1;48,723;0,736;0,0348
22;N;ResidusCanneberge;1,899;2,263;0,364;1,389;Belanger;A9;Biologique;N;60;2;48,299;0,7157;0,034
23;N;ResidusCanneberge;1,89;2,248;0,358;1,44;Belanger;A9;Biologique;N;60;2;48,98;0,71359;0,0324
24;N;ResidusCanneberge;1,888;2,248;0,36;;Belanger;A9;Biologique;N;60;2;;;
25;N;ResidusCanneberge;1,912;2,273;0,36;1,883;Belanger;A9;Biologique;N;45;1;48,805;0,73177;0,0297
26;N;ResidusCanneberge;1,883;2,245;0,362;1,803;Belanger;A9;Biologique;N;45;1;44,703;0,71701;0,0336
27;N;ResidusCanneberge;1,902;2,26;0,358;1,883;Belanger;A9;Biologique;N;45;1;47,862;0,67527;0,0396
28;N;ResidusCanneberge;1,906;2,266;0,36;1,871;Belanger;A9;Biologique;N;45;2;49,136;0,73081;0,0327
29;N;ResidusCanneberge;1,922;2,285;0,365;1,898;Belanger;A9;Biologique;N;45;2;49,434;0,68146;0,0303
30;N;ResidusCanneberge;1,934;2,294;0,361;1,976;Belanger;A9;Biologique;N;45;2;48,038;0,73257;0,0338
31;N;ResidusCanneberge;1,896;2,259;0,364;1,913;Belanger;A9;Biologique;N;15;1;49,246;0,72778;0,0332
32;N;ResidusCanneberge;1,897;2,258;0,361;1,892;Belanger;A9;Biologique;N;15;1;48,503;0,68911;0,032
33;N;ResidusCanneberge;1,918;2,282;0,363;1,953;Belanger;A9;Biologique;N;15;1;48,135;0,73935;0,035
34;N;ResidusCanneberge;1,911;2,267;0,358;1,7;Belanger;A9;Biologique;N;15;2;47,516;0,68535;0,0302
35;N;ResidusCanneberge;1,904;2,266;0,362;1,899;Belanger;A9;Biologique;N;15;2;49,47;0,69319;0,0261
36;N;ResidusCanneberge;1,907;2,262;0,356;1,916;Belanger;A9;Biologique;N;15;2;48,928;0,67561;0,0266
187;N;ResidusCanneberge;1,937;2,297;0,361;1,886;Belanger;A9;Biologique;Nproducteur;68,71;;48,901;0,69645;0,0273
188;N;ResidusCanneberge;1,898;2,248;0,35;1,671;Belanger;A9;Biologique;Nproducteur;68,71;;45,327;0,70186;0,0646
189;N;ResidusCanneberge;1,915;2,275;0,36;1,898;Belanger;A9;Biologique;Nproducteur;68,71;;48,834;0,74595;0,0366
190;N;ResidusCanneberge;1,892;2,256;0,363;1,87;Belanger;A9;Biologique;Nproducteur;68,71;;49,26;0,72471;0,041
191;N;ResidusCanneberge;1,92;2,282;0,362;0,911;Belanger;A9;Biologique;Nproducteur;68,71;;47,265;0,70995;0,0423
192;N;ResidusCanneberge;1,908;2,271;0,363;1,528;Belanger;A9;Biologique;Nproducteur;68,71;;44,961;0,67314;0,0337
193;N;ResidusCanneberge;1,921;2,286;0,365;;Belanger;A9;Biologique;Nproducteur;68,71;;;;
194;N;ResidusCanneberge;1,887;2,25;0,362;1,877;Belanger;A9;Biologique;Nproducteur;68,71;;48,373;0,69961;0,033
195;N;ResidusCanneberge;1,934;2,298;0,364;1,924;Belanger;A9;Biologique;Nproducteur;68,71;;49,333;0,71587;0,0289
196;N;ResidusCanneberge;1,906;2,264;0,356;1,919;Belanger;A9;Biologique;Nproducteur;68,71;;49,775;0,69528;0,0283
197;N;ResidusCanneberge;1,898;2,257;0,359;1,899;Belanger;A9;Biologique;Nproducteur;68,71;;48,877;0,70948;0,0345
198;N;ResidusCanneberge;1,919;2,282;0,365;1,933;Belanger;A9;Biologique;Nproducteur;68,71;;49,05;0,73922;0,0363
199;N;ResidusCanneberge;1,918;2,271;0,354;1,684;Belanger;10;Conventionel;Nproducteur;57,28;;50,707;0,64112;0,0482
200;N;ResidusCanneberge;1,887;2,239;0,352;1,924;Belanger;10;Conventionel;Nproducteur;57,28;;40,771;0,53624;0,0361
201;N;ResidusCanneberge;1,906;2,267;0,36;1,872;Belanger;10;Conventionel;Nproducteur;57,28;;50,675;0,6362;0,0404
202;N;ResidusCanneberge;1,927;2,293;0,365;1,824;Belanger;10;Conventionel;Nproducteur;57,28;;50,954;0,7085;0,048
203;N;ResidusCanneberge;1,92;2,279;0,359;1,873;Belanger;10;Conventionel;Nproducteur;57,28;;51,19;0,75628;0,0518
204;N;ResidusCanneberge;1,919;2,279;0,358;1,887;Belanger;10;Conventionel;Nproducteur;57,28;;50,429;0,69281;0,0427
205;N;ResidusCanneberge;1,883;2,244;0,361;1,839;Belanger;10;Conventionel;Nproducteur;57,28;;49,196;0,74521;0,0609
206;N;ResidusCanneberge;1,934;2,297;0,361;1,89;Belanger;10;Conventionel;Nproducteur;57,28;;50,348;0,73262;0,046
207;N;ResidusCanneberge;1,929;2,291;0,362;1,901;Belanger;10;Conventionel;Nproducteur;57,28;;49,552;0,67603;0,0468
208;N;ResidusCanneberge;1,927;2,298;0,372;1,883;Belanger;10;Conventionel;Nproducteur;57,28;;50,632;0,72172;0,0502
209;N;ResidusCanneberge;1,917;2,281;0,365;1,867;Belanger;10;Conventionel;Nproducteur;57,28;;;;
210;N;ResidusCanneberge;1,923;2,287;0,364;1,657;Belanger;10;Conventionel;Nproducteur;57,28;;;;
211;N;ResidusCanneberge;1,918;2,277;0,358;;Belanger;A9;Biologique;Nproducteur;68,71;;;;
212;N;ResidusCanneberge;1,928;2,295;0,365;1,944;Belanger;A9;Biologique;Nproducteur;68,71;;49,55;0,71109;0,0322
