No;TypeThe;SorteThe;PoidsContenu_g;PoidsTotal _g;PoidsSac_g;Poids_Restant_g;Producteur;Champs;Regie;TypeAzote;DoseN;Repetition;Pourcentage_C;Pourcentage_N;Pourcentage_S
19;S;Rooibos;1,91;2,138;0,228;1,318;Belanger;A9;Biologique;N;45;1;50,197;1,0435;0,0386
20;S;Rooibos;1,897;2,128;0,231;;Belanger;A9;Biologique;N;45;1;;;
21;S;Rooibos;1,917;2,143;0,226;1,442;Belanger;A9;Biologique;N;45;1;46,684;0,68682;0,0198
22;S;Rooibos;1,918;2,145;0,228;1,394;Belanger;A9;Biologique;N;45;2;48,972;0,58367;0,015
23;S;Rooibos;1,893;2,122;0,229;1,473;Belanger;A9;Biologique;N;45;2;49,874;0,72113;0,0214
24;S;Rooibos;1,914;2,141;0,227;;Belanger;A9;Biologique;N;45;2;;;
25;S;Rooibos;1,895;2,122;0,226;1,394;Belanger;A9;Biologique;N;60;1;45,871;0,67665;0,0344
26;S;Rooibos;1,919;2,143;0,226;1,464;Belanger;A9;Biologique;N;60;1;47,175;0,65084;0,0179
27;S;Rooibos;1,896;2,123;0,226;1,448;Belanger;A9;Biologique;N;60;1;49,636;0,98351;0,0378
28;S;Rooibos;1,918;2,145;0,227;1,463;Belanger;A9;Biologique;N;60;2;47,1;0,83206;0,0364
29;S;Rooibos;1,914;2,141;0,227;1,41;Belanger;A9;Biologique;N;60;2;47,463;0,6474;0,0184
30;S;Rooibos;1,916;2,142;0,227;;Belanger;A9;Biologique;N;60;2;44,325;0,62286;0,0186
31;S;Rooibos;1,918;2,145;0,226;1,453;Belanger;A9;Biologique;N;60;2;44,485;0,61915;0,0206
32;S;Rooibos;1,891;2,118;0,227;1,286;Belanger;A9;Biologique;N;60;2;42,687;0,89221;0,0463
33;S;Rooibos;1,9;2,125;0,226;1,322;Belanger;A9;Biologique;N;45;2;45,836;0,82029;0,0359
34;S;Rooibos;1,904;2,132;0,227;1,439;Belanger;A9;Biologique;N;45;2;47,973;0,7155;0,0226
35;S;Rooibos;1,894;2,122;0,228;1,502;Belanger;A9;Biologique;N;30;2;48,809;0,93119;0,0366
36;S;Rooibos;1,92;2,146;0,226;1,489;Belanger;A9;Biologique;N;30;2;43,227;0,64575;0,0269
88;S;Rooibos;1,897;2,123;0,227;1,46;Belanger;10;Conventionel;Nproducteur;57,28;1;49,532;0,8107;0,0518
124;G;GrenTea;1,787;2,015;0,228;0,905;Belanger;10;Conventionel;Nproducteur;57,28;1;49,626;4,3701;0,248
125;G;GrenTea;1,779;2,008;0,228;0,883;Belanger;10;Conventionel;Nproducteur;57,28;1;50,432;4,611;0,242
