"No";"TypeThe";"TeaType";"PoidsContenu_g";"PoidsTotal._g";"PoidsSac_g";"Poids_Restant_g";"Farmers";"Site";"Regie";"NitrogenType";"DoseN";"Repetition";"Pourcentage_C";"Pourcentage_N";"Pourcentage_S";"Teneur_Ci";"GreenTMoy_C";"GreenTMoy_N";"GreenTMoy_S";"Teneur_Cf";"Teneur_Nf";"Teneur_Sf";"PertePoids";"Difference_C_Total_g";"TauxDecomposition_C";"DoseRep"
"96";146;"G";"Green tea";1,756;1,984;0,228;NA;"Belanger";"A9";"Biologique";"Nproducteur";68,71;2;NA;NA;NA;0,842786347;NA;NA;NA;NA;NA;NA;NA;NA;NA;"68.71_2_A9"
"97";147;"G";"Green tea";1,795;2,022;0,228;0,61;"Belanger";"A9";"Biologique";"Nproducteur";68,71;2;37,286;4,3752;0,295;0,861504267;NA;NA;NA;0,2274446;0,02668872;0,0017995;0,0119922371528336;0,634059667;0,0147974812965795;"68.71_2_A9"
"98";148;"G";"Green tea";1,793;2,02;0,227;0,72;"Belanger";"A9";"Biologique";"Nproducteur";68,71;1;48,659;5,1102;0,296;0,860544373;NA;NA;NA;0,3503448;0,03679344;0,0021312;0,0101377140177226;0,510199573;0,00998497076052594;"68.71_1_A9"
"99";149;"G";"Green tea";1,789;2,014;0,227;0,744;"Belanger";"A9";"Biologique";"Nproducteur";68,71;1;50,725;5,1489;0,307;0,858624587;NA;NA;NA;0,377394;0,038307816;0,00228408;0,00974856720750697;0,481230587;0,00913380063306055;"68.71_1_A9"
"100";150;"G";"Green tea";1,76;1,988;0,228;0,824;"Belanger";"A9";"Biologique";"Nproducteur";68,71;1;50,063;5,4795;0,301;0,844706133;NA;NA;NA;0,41251912;0,04515108;0,00248024;0,00843220620136362;0,432187013;0,00796340265619206;"68.71_1_A9"
"101";151;"G";"Green tea";1,767;1,993;0,226;0,753;"Belanger";"A9";"Biologique";"Nproducteur";68,71;2;49,918;5,2718;0,292;0,84806576;NA;NA;NA;0,37588254;0,039696654;0,00219876;0,00947748049466447;0,47218322;0,00904090532208073;"68.71_2_A9"
"102";152;"G";"Green tea";1,788;2,016;0,228;NA;"Belanger";"A9";"Biologique";"Nproducteur";68,71;2;NA;NA;NA;0,85814464;NA;NA;NA;NA;NA;NA;NA;NA;NA;"68.71_2_A9"
"103";153;"G";"Green tea";1,785;2,009;0,224;0,808;"Belanger";"A9";"Biologique";"Nproducteur";68,71;2;50,057;5,2326;0,29;0,8567048;NA;NA;NA;0,40446056;0,042279408;0,0023432;0,00880679595214049;0,45224424;0,00833932414660616;"68.71_2_A9"
"104";154;"G";"Green tea";1,785;2,013;0,227;0,735;"Belanger";"10";"Conventionel";"N-21-0-0";0;1;49,195;4,4527;0,285;0,8567048;NA;NA;NA;0,36158325;0,032727345;0,00209475;0,00985892438889892;0,49512155;0,00958445662562952;"0_1_10"
"105";155;"G";"Green tea";1,794;2,022;0,227;0,741;"Belanger";"10";"Conventionel";"N-21-0-0";0;1;49,597;4,5696;0,268;0,86102432;NA;NA;NA;0,36751377;0,033860736;0,00198588;0,00982447130358505;0,49351055;0,00945957736572718;"0_1_10"
"106";156;"G";"Green tea";1,777;2,004;0,226;0,74;"Belanger";"10";"Conventionel";"N-21-0-0";0;1;51,106;4,9976;0,284;0,852865227;NA;NA;NA;0,3781844;0,03698224;0,0021016;0,00973368491062706;0,474680827;0,00903577365360189;"0_1_10"
"107";157;"G";"Green tea";1,756;1,984;0,227;0,729;"Belanger";"10";"Conventionel";"N-21-0-0";0;2;51,235;5,2712;0,293;0,842786347;NA;NA;NA;0,37350315;0,038427048;0,00213597;0,00976800046873782;0,469283197;0,00904207826615243;"0_2_10"
"108";158;"G";"Green tea";1,76;1,983;0,224;0,805;"Belanger";"10";"Conventionel";"N-21-0-0";0;2;50,208;4,5702;0,257;0,844706133;NA;NA;NA;0,4041744;0,03679011;0,00206885;0,00869140900681816;0,440531733;0,00819047030324312;"0_2_10"
"109";159;"G";"Green tea";1,799;2,024;0,225;0,743;"Belanger";"10";"Conventionel";"N-21-0-0";0;2;51,081;4,7911;0,289;0,863424053;NA;NA;NA;0,37953183;0,035597873;0,00214727;0,00982544654703082;0,483892223;0,00913297193737312;"0_2_10"
"110";160;"G";"Green tea";1,756;1,983;0,228;NA;"Belanger";"10";"Conventionel";"N-21-0-0";15;1;NA;NA;NA;0,842786347;NA;NA;NA;NA;NA;NA;NA;NA;NA;"15_1_10"
"111";161;"G";"Green tea";1,76;1,988;0,228;0,674;"Belanger";"10";"Conventionel";"N-21-0-0";15;1;50,972;5,1357;0,288;0,844706133;NA;NA;NA;0,34355128;0,034614618;0,00194112;0,0106648775235543;0,501154853;0,00999613786665251;"15_1_10"
"112";162;"G";"Green tea";1,771;1,998;0,226;0,739;"Belanger";"10";"Conventionel";"N-21-0-0";15;1;51,06;4,6679;0,314;0,849985547;NA;NA;NA;0,3773334;0,034495781;0,00232046;0,00971113018705146;0,472652147;0,00902322443374378;"15_1_10"
"113";163;"G";"Green tea";1,781;2,011;0,23;0,775;"Belanger";"10";"Conventionel";"N-21-0-0";15;2;50,399;4,6103;0,269;0,854785013;NA;NA;NA;0,39059225;0,035729825;0,00208475;0,00924519171040349;0,464192763;0,00870206459510217;"15_2_10"
"114";164;"G";"Green tea";1,793;2,021;0,227;0,764;"Belanger";"10";"Conventionel";"N-21-0-0";15;2;48,346;4,2203;0,278;0,860544373;NA;NA;NA;0,36936344;0,032243092;0,00212392;0,0094786409382068;0,491180933;0,00939760099212038;"15_2_10"
"115";165;"G";"Green tea";1,784;2,01;0,226;0,836;"Belanger";"10";"Conventionel";"N-21-0-0";15;2;50,908;4,828;0,256;0,856224853;NA;NA;NA;0,42559088;0,04036208;0,00214016;0,00842205222283614;0,430633973;0,0077672723462181;"15_2_10"
"116";166;"G";"Green tea";1,786;2,013;0,227;0,658;"Belanger";"10";"Conventionel";"N-21-0-0";30;1;51,581;4,4809;0,259;0,857184747;NA;NA;NA;0,33940298;0,029484322;0,00170422;0,0110947647790125;0,517781767;0,0102940592944308;"30_1_10"
"117";167;"G";"Green tea";1,776;2,003;0,227;0,751;"Belanger";"10";"Conventionel";"N-21-0-0";30;1;50,195;3,946;0,243;0,85238528;NA;NA;NA;0,37696445;0,02963446;0,00182493;0,00956348079764423;0,47542083;0,00906541939186638;"30_1_10"
"118";168;"G";"Green tea";1,788;2,013;0,227;0,732;"Belanger";"10";"Conventionel";"N-21-0-0";30;1;51,353;4,4647;0,26;0,85814464;NA;NA;NA;0,37590396;0,032681604;0,0019032;0,00992302713080164;0,48224068;0,0091715442015281;"30_1_10"
"119";169;"G";"Green tea";1,781;2,008;0,227;NA;"Belanger";"10";"Conventionel";"N-21-0-0";30;1;NA;NA;NA;0,854785013;NA;NA;NA;NA;NA;NA;NA;NA;NA;"30_1_10"
"120";170;"G";"Green tea";1,78;2,007;0,227;0,616;"Belanger";"10";"Conventionel";"N-21-0-0";30;2;51,042;4,739;0,277;0,854305067;NA;NA;NA;0,31441872;0,02919224;0,00170632;0,0117902408861401;0,539886347;0,0111062527838275;"30_2_10"
"121";171;"G";"Green tea";1,761;1,99;0,229;0,778;"Belanger";"10";"Conventionel";"N-21-0-0";30;2;49,976;4,9552;0,276;0,84518608;NA;NA;NA;0,38881328;0,038551456;0,00214728;0,00907678427019794;0,4563728;0,00862730653055587;"30_2_10"
"122";172;"G";"Green tea";1,76;1,983;0,226;0,645;"Belanger";"10";"Conventionel";"N-21-0-0";30;2;47,521;4,1047;0,243;0,844706133;NA;NA;NA;0,30651045;0,026475315;0,00156735;0,0111535419026269;0,538195683;0,0112637438429031;"30_2_10"
"123";173;"G";"Green tea";1,77;1,998;0,228;0,801;"Belanger";"10";"Conventionel";"N-21-0-0";45;1;49,761;4,9617;0,268;0,8495056;NA;NA;NA;0,39858561;0,039743217;0,00214668;0,00880970976110573;0,45091999;0,00840813586034426;"45_1_10"
"124";174;"G";"Green tea";1,769;1,995;0,227;0,765;"Belanger";"10";"Conventionel";"N-21-0-0";45;1;49,665;4,652;0,27;0,849025653;NA;NA;NA;0,37993725;0,0355878;0,0020655;0,00931437622592499;0,469088403;0,00893425882107562;"45_1_10"
"125";175;"G";"Green tea";1,765;1,993;0,228;0,723;"Belanger";"10";"Conventionel";"N-21-0-0";45;1;51,41;4,7341;0,265;0,847105867;NA;NA;NA;0,3716943;0,034227543;0,00191595;0,00991663052454036;0,475411567;0,00915282150175776;"45_1_10"
"126";176;"G";"Green tea";1,778;2,004;0,226;0,709;"Belanger";"10";"Conventionel";"N-21-0-0";45;2;50,389;4,8017;0,272;0,853345173;NA;NA;NA;0,35725801;0,034044053;0,00192848;0,0102154321060191;0,496087163;0,00967450983873756;"45_2_10"
"127";177;"G";"Green tea";1,781;2,008;0,228;0,803;"Belanger";"10";"Conventionel";"N-21-0-0";45;2;51,256;4,9288;0,28;0,854785013;NA;NA;NA;0,41158568;0,039578264;0,0022484;0,00885083965936555;0,443199333;0,00812036420266334;"45_2_10"
"128";178;"G";"Green tea";1,793;2,022;0,228;0,714;"Belanger";"10";"Conventionel";"N-21-0-0";45;2;50,469;4,6108;0,261;0,860544373;NA;NA;NA;0,36034866;0,032921112;0,00186354;0,0102306945696172;0,500195713;0,0096721457566283;"45_2_10"
"129";179;"G";"Green tea";1,786;2,012;0,226;0,744;"Belanger";"10";"Conventionel";"N-21-0-0";60;1;49,823;4,501;0,263;0,857184747;NA;NA;NA;0,37068312;0,03348744;0,00195672;0,00972991918448169;0,486501627;0,00931450995349132;"60_1_10"
"130";180;"G";"Green tea";1,799;2,023;0,224;0,851;"Belanger";"10";"Conventionel";"N-21-0-0";60;1;49,642;4,3622;0,245;0,863424053;NA;NA;NA;0,42245342;0,037122322;0,00208495;0,00831749005974621;0,440970633;0,00794251943334624;"60_1_10"
"131";181;"G";"Green tea";1,766;1,995;0,229;0,702;"Belanger";"10";"Conventionel";"N-21-0-0";60;1;49,494;4,2817;0,257;0,847585813;NA;NA;NA;0,34744788;0,030057534;0,00180414;0,0102504330793122;0,500137933;0,00990863800290726;"60_1_10"
"132";182;"G";"Green tea";1,754;1,981;0,228;0,769;"Belanger";"10";"Conventionel";"N-21-0-0";60;2;50,26;4,6585;0,251;0,841826453;NA;NA;NA;0,3864994;0,035823865;0,00193019;0,00916181337140538;0,455327053;0,0086493729393173;"60_2_10"
"133";183;"G";"Green tea";1,77;1,997;0,227;0,74;"Belanger";"10";"Conventionel";"N-21-0-0";60;2;49,869;4,6119;0,258;0,8495056;NA;NA;NA;0,3690306;0,03412806;0,0019092;0,00968982932632955;0,480475;0,00926416628635234;"60_2_10"
"134";184;"G";"Green tea";1,796;2,019;0,227;NA;"Belanger";"10";"Conventionel";"N-21-0-0";60;2;NA;NA;NA;0,861984213;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60_2_10"
"135";185;"G";"Green tea";1,787;2,012;0,227;0,714;"Belanger";"10";"Conventionel";"N-SCU";45;2;49,986;4,2273;0,262;0,857664693;NA;NA;NA;0,35690004;0,030182922;0,00187068;0,0101934505868872;0,500764653;0,00974174977593164;"45_2_10"
"136";186;"G";"Green tea";1,777;2,002;0,225;0,692;"Belanger";"10";"Conventionel";"N-SCU";45;2;51,621;4,7403;0,261;0,852865227;NA;NA;NA;0,35721732;0,032802876;0,00180612;0,0104788430281887;0,495647907;0,00966952444569082;"45_2_10"
"137";187;"G";"Green tea";1,791;2,018;0,227;0,732;"Belanger";"10";"Conventionel";"N-SCU";60;2;50,99;5,2118;0,286;0,85958448;NA;NA;NA;0,3732468;0,038150376;0,00209352;0,00994165431221556;0,48633768;0,0092689916295091;"60_2_10"
"138";188;"G";"Green tea";1,773;2,001;0,229;0,784;"Belanger";"10";"Conventionel";"N-SCU";60;2;48,909;4,4888;0,262;0,85094544;NA;NA;NA;0,38344656;0,035192192;0,00205408;0,00906688095248667;0,46749888;0,00885719723024062;"60_2_10"
"139";189;"G";"Green tea";1,792;2,022;0,229;0,734;"Belanger";"10";"Conventionel";"N-SCU";30;2;51,244;4,4671;0,26;0,860064427;NA;NA;NA;0,37613096;0,032788514;0,0019084;0,00991753961022622;0,483933467;0,00918966578819137;"30_2_10"
"140";190;"G";"Green tea";1,783;2,011;0,227;0,825;"Belanger";"10";"Conventionel";"N-SCU";30;2;48,862;4,2277;0,279;0,855744907;NA;NA;NA;0,4031115;0,034878525;0,00230175;0,00856299146142733;0,452633407;0,00836399030300956;"30_2_10"
"141";89;"S";"Rooibos tea";1,905;2,131;0,227;1,43;"Belanger";"10";"Conventionel";"Nproducteur";57,28;1;42,367;0,7521;0,0398;0,91043125;NA;NA;NA;0,6058481;0,01075503;0,00056914;0,00318675071452054;0,30458315;0,00452543437523681;"57.28_1_10"
"142";90;"S";"Rooibos tea";1,919;2,144;0,226;1,381;"Belanger";"10";"Conventionel";"Nproducteur";57,28;1;50,309;1,2782;0,0594;0,917122083;NA;NA;NA;0,69476729;0,017651942;0,000820314;0,00365551491776009;0,222354793;0,00308515157194176;"57.28_1_10"
"143";91;"S";"Rooibos tea";1,917;2,145;0,226;1,544;"Belanger";"10";"Conventionel";"Nproducteur";57,28;2;46,604;0,89545;0,0504;0,91616625;NA;NA;NA;0,71956576;0,013825748;0,000778176;0,00240427791623248;0,19660049;0,00268388805427393;"57.28_2_10"
"144";92;"S";"Rooibos tea";1,897;2,123;0,227;NA;"Belanger";"10";"Conventionel";"Nproducteur";57,28;2;NA;NA;NA;0,906607917;NA;NA;NA;NA;NA;NA;NA;NA;NA;"57.28_2_10"
"145";93;"S";"Rooibos tea";1,89;2,115;0,226;1,494;"Belanger";"10";"Conventionel";"Nproducteur";57,28;2;47,18;0,80258;0,0308;0,9032625;NA;NA;NA;0,7048692;0,0119905452;0,000460152;0,00261244158178806;0,1983933;0,00275556616847579;"57.28_2_10"
"146";94;"S";"Rooibos tea";1,913;2,142;0,229;1,426;"Belanger";"10";"Conventionel";"Nproducteur";57,28;1;49,382;1,1927;0,0723;0,914254583;NA;NA;NA;0,70418732;0,017007902;0,001030998;0,00326443742740013;0,210067263;0,00290071855064865;"57.28_1_10"
"147";95;"S";"Rooibos tea";1,893;2,12;0,226;1,434;"Belanger";"10";"Conventionel";"Nproducteur";57,28;1;48,621;0,90742;0,046;0,90469625;NA;NA;NA;0,69722514;0,0130124028;0,00065964;0,0030855014449973;0,20747111;0,00289434311652322;"57.28_1_10"
"148";96;"S";"Rooibos tea";1,902;2,129;0,227;1,513;"Belanger";"10";"Conventionel";"Nproducteur";57,28;1;49,025;0,8691;0,0385;0,9089975;NA;NA;NA;0,74174825;0,013149483;0,000582505;0,00254235032574422;0,16724925;0,0022592493779555;"57.28_1_10"
"149";97;"S";"Rooibos tea";1,898;2,124;0,227;1,472;"Belanger";"10";"Conventionel";"Nproducteur";57,28;2;46,428;0,87275;0,0429;0,907085833;NA;NA;NA;0,68342016;0,01284688;0,000631488;0,00282420755423391;0,223665673;0,0031458582309847;"57.28_2_10"
"150";98;"S";"Rooibos tea";1,891;2,116;0,225;1,63;"Belanger";"10";"Conventionel";"Nproducteur";57,28;2;48,177;0,87875;0,0284;0,903740417;NA;NA;NA;0,7852851;0,014323625;0,00046292;0,00165028638730722;0,118455317;0,00156105925844943;"57.28_2_10"
"151";99;"S";"Rooibos tea";1,899;2,129;0,229;1,456;"Belanger";"10";"Conventionel";"Nproducteur";57,28;2;46,989;0,96973;0,0595;0,90756375;NA;NA;NA;0,68415984;0,0141192688;0,00086632;0,00295149424506283;0,22340391;0,00313969152302717;"57.28_2_10"
"152";100;"S";"Rooibos tea";1,916;2,144;0,228;1,412;"Belanger";"A9";"Biologique";"Nproducteur";68,71;1;45,292;0,81162;0,0343;0,915688333;NA;NA;NA;0,63952304;0,0114600744;0,000484316;0,00339147267197354;0,276165293;0,00398837122714695;"68.71_1_A9"
"153";101;"S";"Rooibos tea";1,909;2,137;0,229;1,411;"Belanger";"A9";"Biologique";"Nproducteur";68,71;1;46,394;0,5821;0,0198;0,912342917;NA;NA;NA;0,65461934;0,008213431;0,000279378;0,00335867635414371;0,257723577;0,00368846687215155;"68.71_1_A9"
"154";102;"S";"Rooibos tea";1,907;2,135;0,229;1,567;"Belanger";"A9";"Biologique";"Nproducteur";68,71;1;44,415;0,67789;0,021;0,911387083;NA;NA;NA;0,69598305;0,0106225363;0,00032907;0,00218187070271554;0,215404033;0,00299602666042685;"68.71_1_A9"
"155";103;"S";"Rooibos tea";1,903;2,13;0,227;1,584;"Belanger";"A9";"Biologique";"Nproducteur";68,71;2;47,71;0,79873;0,029;0,909475417;NA;NA;NA;0,7557264;0,0126518832;0,00045936;0,00203864772135309;0,153749017;0,00205765069490777;"68.71_2_A9"
"156";104;"S";"Rooibos tea";1,909;2,136;0,228;1,68;"Belanger";"A9";"Biologique";"Nproducteur";68,71;2;44,113;0,65887;0,0225;0,912342917;NA;NA;NA;0,7410984;0,011069016;0,000378;0,00141984168142714;0,171244517;0,00230980572091518;"68.71_2_A9"
"157";105;"S";"Rooibos tea";1,911;2,139;0,228;1,397;"Belanger";"A9";"Biologique";"Nproducteur";68,71;2;49,435;0,99934;0,0536;0,91329875;NA;NA;NA;0,69060695;0,0139607798;0,000748792;0,00348110649981457;0,2226918;0,00310546884906267;"68.71_2_A9"
"158";106;"S";"Rooibos tea";1,899;2,126;0,227;1,321;"Belanger";"A9";"Biologique";"Nproducteur";68,71;1;NA;NA;NA;0,90756375;NA;NA;NA;NA;NA;NA;0,00403264895877734;NA;NA;"68.71_1_A9"
"159";107;"S";"Rooibos tea";1,901;2,127;0,227;1,467;"Belanger";"A9";"Biologique";"Nproducteur";68,71;1;47,967;0,86933;0,0304;0,908519583;NA;NA;NA;0,70367589;0,0127530711;0,000445968;0,00287956182606053;0,204843693;0,00283887306987314;"68.71_1_A9"
"160";108;"S";"Rooibos tea";1,905;2,128;0,225;1,547;"Belanger";"A9";"Biologique";"Nproducteur";68,71;1;45,146;0,64983;0,0221;0,91043125;NA;NA;NA;0,69840862;0,0100528701;0,000341887;0,00231293818875261;0,21202263;0,00294571157119749;"68.71_1_A9"
"161";109;"S";"Rooibos tea";1,912;2,14;0,228;1,577;"Belanger";"A9";"Biologique";"Nproducteur";68,71;2;47,055;0,71928;0,0262;0,913776667;NA;NA;NA;0,74205735;0,0113430456;0,000413174;0,00214028340720342;0,171719317;0,00231288514981965;"68.71_2_A9"
"162";110;"S";"Rooibos tea";1,899;2,126;0,227;1,557;"Belanger";"A9";"Biologique";"Nproducteur";68,71;2;41,404;0,6762;0,0322;0,90756375;NA;NA;NA;0,64466028;0,010528434;0,000501354;0,00220629487753653;0,26290347;0,00380044812486899;"68.71_2_A9"
"163";111;"S";"Rooibos tea";1,916;2,142;0,226;1,479;"Belanger";"A9";"Biologique";"Nproducteur";68,71;2;46,669;0,93146;0,0474;0,915688333;NA;NA;NA;0,69023451;0,0137762934;0,000701046;0,00287637217577784;0,225453823;0,00314049610606856;"68.71_2_A9"
"164";112;"S";"Rooibos tea";1,904;2,13;0,228;1,492;"Belanger";"A9";"Biologique";"Nproducteur";68,71;1;44,614;0,92529;0,0341;0,909953333;NA;NA;NA;0,66564088;0,0138053268;0,000508772;0,00270932705097338;0,244312453;0,00347381122097911;"68.71_1_A9"
"165";113;"S";"Rooibos tea";1,898;2,126;0,229;1,39;"Belanger";"A9";"Biologique";"Nproducteur";68,71;1;49,421;1,2412;0,0509;0,907085833;NA;NA;NA;0,6869519;0,01725268;0,00070751;0,00346107725605706;0,220133933;0,0030885867153395;"68.71_1_A9"
"166";114;"S";"Rooibos tea";1,907;2,134;0,228;1,495;"Belanger";"A9";"Biologique";"Nproducteur";68,71;1;47,379;0,79721;0,0284;0,911387083;NA;NA;NA;0,70831605;0,0119182895;0,00042458;0,00270450133084036;0,203071033;0,00280085904039208;"68.71_1_A9"
"167";115;"S";"Rooibos tea";1,909;2,136;0,226;NA;"Belanger";"A9";"Biologique";"Nproducteur";68,71;2;NA;NA;NA;0,912342917;NA;NA;NA;NA;NA;NA;NA;NA;NA;"68.71_2_A9"
"168";116;"S";"Rooibos tea";1,911;2,14;0,227;1,61;"Belanger";"A9";"Biologique";"Nproducteur";68,71;2;46,611;0,74318;0,0213;0,91329875;NA;NA;NA;0,7504371;0,011965198;0,00034293;0,00190436095846405;0,16286165;0,00218230231405795;"68.71_2_A9"
"169";117;"S";"Rooibos tea";1,898;2,123;0,226;NA;"Belanger";"A9";"Biologique";"Nproducteur";68,71;2;NA;NA;NA;0,907085833;NA;NA;NA;NA;NA;NA;NA;NA;NA;"68.71_2_A9"
"170";118;"S";"Rooibos tea";1,905;2,135;0,23;1,509;"Belanger";"10";"Conventionel";"N-21-0-0";0;1;47,458;0,85638;0,026;0,91043125;NA;NA;NA;0,71614122;0,0129227742;0,00039234;0,00258927587547725;0,19429003;0,00266712229116458;"0_1_10"
"171";119;"S";"Rooibos tea";1,904;2,129;0,225;1,364;"Belanger";"10";"Conventionel";"N-21-0-0";0;1;47,836;1,3244;0,0712;0,909953333;NA;NA;NA;0,65248304;0,018064816;0,000971168;0,00370594863275448;0,257470293;0,00369564632507165;"0_1_10"
"172";120;"S";"Rooibos tea";1,897;2,123;0,225;NA;"Belanger";"10";"Conventionel";"N-21-0-0";0;1;NA;NA;NA;0,906607917;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0_1_10"
"173";121;"S";"Rooibos tea";1,892;2,12;0,228;1,402;"Belanger";"10";"Conventionel";"N-21-0-0";0;2;45,378;0,77073;0,0344;0,904218333;NA;NA;NA;0,63619956;0,0108056346;0,000482288;0,00333038535574765;0,268018773;0,00390620624809026;"0_2_10"
"174";122;"S";"Rooibos tea";1,909;2,135;0,226;1,474;"Belanger";"10";"Conventionel";"N-21-0-0";0;2;46,663;0,84813;0,024;0,912342917;NA;NA;NA;0,68781262;0,0125014362;0,00035376;0,00287333056640517;0,224530297;0,00313888309663915;"0_2_10"
"175";123;"S";"Rooibos tea";1,896;2,123;0,227;1,439;"Belanger";"10";"Conventionel";"N-21-0-0";0;2;49,898;0,9809;0,0464;0,90613;NA;NA;NA;0,71803222;0,014115151;0,000667696;0,0030644219547511;0,18809778;0,00258520378794559;"0_2_10"
"176";124;"S";"Rooibos tea";1,898;2,124;0,226;1,366;"Belanger";"10";"Conventionel";"N-21-0-0";15;1;46,603;1,0737;0,053;0,907085833;NA;NA;NA;0,63659698;0,014666742;0,00072398;0,00365459932265709;0,270488853;0,00393444787456929;"15_1_10"
"177";125;"S";"Rooibos tea";1,91;2,136;0,227;NA;"Belanger";"10";"Conventionel";"N-21-0-0";15;1;47,75;1,0111;0,0521;0,912820833;NA;NA;NA;NA;NA;NA;NA;NA;NA;"15_1_10"
"178";126;"S";"Rooibos tea";1,905;2,13;0,226;1,525;"Belanger";"10";"Conventionel";"N-21-0-0";15;1;49,251;0,9424;0,0321;0,91043125;NA;NA;NA;0,75107775;0,0143716;0,000489525;0,0024720844279921;0,1593535;0,00213788014800249;"15_1_10"
"179";127;"S";"Rooibos tea";1,891;2,117;0,227;1,584;"Belanger";"10";"Conventionel";"N-21-0-0";15;2;48,413;0,92218;0,028;0,903740417;NA;NA;NA;0,76686192;0,0146073312;0,00044352;0,00196836106982318;0,136878497;0,00182483789706256;"15_2_10"
"180";128;"S";"Rooibos tea";1,899;2,127;0,229;1,405;"Belanger";"10";"Conventionel";"N-21-0-0";15;2;49,605;1,1183;0,0352;0,90756375;NA;NA;NA;0,69695025;0,015712115;0,00049456;0,00334766810049378;0,2106135;0,00293388645248888;"15_2_10"
"181";129;"S";"Rooibos tea";1,89;2,117;0,228;1,496;"Belanger";"10";"Conventionel";"N-21-0-0";15;2;50,334;0,91735;0,0348;0,9032625;NA;NA;NA;0,75299664;0,013723556;0,000520608;0,00259757721688073;0,15026586;0,00202169381342753;"15_2_10"
"182";130;"S";"Rooibos tea";1,908;2,134;0,225;1,574;"Belanger";"10";"Conventionel";"N-21-0-0";30;1;49,238;0,85701;0,024;0,911865;NA;NA;NA;0,77500612;0,0134893374;0,00037776;0,00213817136700981;0,13685888;0,00180690029672449;"30_1_10"
"183";131;"S";"Rooibos tea";1,916;2,142;0,226;1,565;"Belanger";"10";"Conventionel";"N-21-0-0";30;1;47,384;1,009;0,0392;0,915688333;NA;NA;NA;0,7415596;0,01579085;0,00061348;0,00224837617285058;0,174128733;0,00234356136665876;"30_1_10"
"184";132;"S";"Rooibos tea";1,891;2,116;0,226;1,573;"Belanger";"10";"Conventionel";"N-21-0-0";30;1;50,184;0,85323;0,0354;0,903740417;NA;NA;NA;0,78939432;0,0134213079;0,000556842;0,00204579072889089;0,114346097;0,00150306891062222;"30_1_10"
"185";133;"S";"Rooibos tea";1,906;2,132;0,225;1,446;"Belanger";"10";"Conventionel";"N-21-0-0";30;2;48,252;0,99285;0,0532;0,910909167;NA;NA;NA;0,69772392;0,014356611;0,000769272;0,00306895201661597;0,213185247;0,00296244101044067;"30_2_10"
"186";134;"S";"Rooibos tea";1,909;2,136;0,228;1,566;"Belanger";"10";"Conventionel";"N-21-0-0";30;2;49,42;1,1357;0,0442;0,912342917;NA;NA;NA;0,7739172;0,017785062;0,000692172;0,00220061052416666;0,138425717;0,00182834481957022;"30_2_10"
"187";135;"S";"Rooibos tea";1,906;2,132;0,227;1,54;"Belanger";"10";"Conventionel";"N-21-0-0";30;2;46,033;0,9933;0,0372;0,910909167;NA;NA;NA;0,7089082;0,01529682;0,00057288;0,00236915987562747;0,202000967;0,00278574605958365;"30_2_10"
"188";136;"S";"Rooibos tea";1,913;2,139;0,226;1,571;"Belanger";"10";"Conventionel";"N-21-0-0";45;1;46,488;0,9111;0,0319;0,914254583;NA;NA;NA;0,73032648;0,014313381;0,000501149;0,00218844812427369;0,183928103;0,00249574892031841;"45_1_10"
"189";137;"S";"Rooibos tea";1,92;2,148;0,228;1,534;"Belanger";"10";"Conventionel";"N-21-0-0";45;1;50,148;1,0239;0,0309;0,9176;NA;NA;NA;0,76927032;0,015706626;0,000474006;0,00249384981216251;0,14832968;0,00195910151802524;"45_1_10"
"190";138;"S";"Rooibos tea";1,917;2,142;0,226;1,601;"Belanger";"10";"Conventionel";"N-21-0-0";45;1;45,778;0,86956;0,029;0,91616625;NA;NA;NA;0,73290578;0,0139216556;0,00046429;0,00200147811165478;0,18326047;0,00247978544955443;"45_1_10"
"191";139;"S";"Rooibos tea";1,893;2,119;0,226;1,406;"Belanger";"10";"Conventionel";"N-21-0-0";45;2;48,147;1,0639;0,0567;0,90469625;NA;NA;NA;0,67694682;0,014958434;0,000797202;0,0033046008759857;0,22774943;0,00322229482903343;"45_2_10"
"192";140;"S";"Rooibos tea";1,893;2,117;0,225;1,349;"Belanger";"10";"Conventionel";"N-21-0-0";45;2;50,116;1,189;0,0509;0,90469625;NA;NA;NA;0,67606484;0,01603961;0,000686641;0,00376443661112852;0,22863141;0,00323678070444095;"45_2_10"
"193";141;"S";"Rooibos tea";1,901;2,127;0,226;1,5;"Belanger";"10";"Conventionel";"N-21-0-0";45;2;46,755;0,94695;0,0339;0,908519583;NA;NA;NA;0,701325;0,01420425;0,0005085;0,00263238839331253;0,207194583;0,00287605599916939;"45_2_10"
"194";142;"S";"Rooibos tea";1,92;2,146;0,226;1,596;"Belanger";"10";"Conventionel";"N-21-0-0";60;1;46,96;0,93495;0,0358;0,9176;NA;NA;NA;0,7494816;0,014921802;0,000571368;0,00205360763346748;0,1681184;0,00224866442526286;"60_1_10"
"195";143;"S";"Rooibos tea";1,906;2,132;0,226;1,473;"Belanger";"10";"Conventionel";"N-21-0-0";60;1;47,501;0,9949;0,0502;0,910909167;NA;NA;NA;0,69968973;0,014654877;0,000739446;0,00286339630835019;0,211219437;0,00293117990498118;"60_1_10"
