"No";"TypeThe";"TeaType";"PoidsContenu_g";"PoidsTotal._g";"PoidsSac_g";"Poids_Restant_g";"Farmers";"Site";"Regie";"NitrogenType";"DoseN";"Repetition";"Pourcentage_C";"Pourcentage_N";"Pourcentage_S";"Teneur_Ci";"GreenTMoy_C";"GreenTMoy_N";"GreenTMoy_S";"Teneur_Cf";"Teneur_Nf";"Teneur_Sf";"PertePoids";"Difference_C_Total_g";"TauxDecomposition_C";"DoseRep"
"22";22;"G";"Green tea";1,774;2,002;0,229;NA;"Belanger";"A9";"Biologique";"N-8-0-0";45;2;NA;NA;NA;0,851425387;NA;NA;NA;NA;NA;NA;NA;NA;NA;"45_2_A9"
"23";23;"G";"Green tea";1,779;2,007;0,228;0,751;"Belanger";"A9";"Biologique";"N-8-0-0";45;2;49,958;5,1213;0,285;0,85382512;NA;NA;NA;0,37518458;0,038460963;0,00214035;0,00958223373224112;0,47864054;0,00913675863438589;"45_2_A9"
"24";24;"G";"Green tea";1,771;1,998;0,226;1,291;"Belanger";"A9";"Biologique";"N-8-0-0";45;2;NA;NA;NA;0,849985547;NA;NA;NA;NA;NA;NA;0,00351252496595768;NA;NA;"45_2_A9"
"25";25;"G";"Green tea";1,797;2,023;0,226;0,859;"Belanger";"A9";"Biologique";"N-8-0-0";60;1;49,798;3,9277;0,238;0,86246416;NA;NA;NA;0,42776482;0,033738943;0,00204442;0,00820116627554782;0,43469934;0,007791333731569;"60_1_A9"
"26";26;"G";"Green tea";1,793;2,02;0,227;0,789;"Belanger";"A9";"Biologique";"N-8-0-0";60;1;NA;NA;NA;0,860544373;NA;NA;NA;NA;NA;NA;0,00912087947510287;NA;NA;"60_1_A9"
"27";27;"G";"Green tea";1,771;2;0,229;NA;"Belanger";"A9";"Biologique";"N-8-0-0";60;1;NA;NA;NA;0,849985547;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60_1_A9"
"28";28;"G";"Green tea";1,792;2,019;0,227;0,828;"Belanger";"A9";"Biologique";"N-8-0-0";60;2;50,266;3,9173;0,257;0,860064427;NA;NA;NA;0,41620248;0,032435244;0,00212796;0,00857860487944018;0,443861947;0,00806483809935933;"60_2_A9"
"29";29;"G";"Green tea";1,766;1,994;0,228;0,774;"Belanger";"A9";"Biologique";"N-8-0-0";60;2;49,6;5,325;0,284;0,847585813;NA;NA;NA;0,383904;0,0412155;0,00219816;0,00916556119526865;0,463681813;0,00879999518970562;"60_2_A9"
"30";30;"G";"Green tea";1,787;2,015;0,227;0,826;"Belanger";"A9";"Biologique";"N-8-0-0";60;2;50,567;4,8376;0,266;0,857664693;NA;NA;NA;0,41768342;0,039958576;0,00219716;0,00857443046264944;0,439981273;0,00799432716945355;"60_2_A9"
"31";31;"G";"Green tea";1,778;2,002;0,226;0,744;"Belanger";"A9";"Biologique";"N-6-1-1";60;2;50,361;4,9564;0,272;0,853345173;NA;NA;NA;0,37468584;0,036875616;0,00202368;0,00968003756934176;0,478659333;0,00914529120516928;"60_2_A9"
"32";32;"G";"Green tea";1,751;1,979;0,228;NA;"Belanger";"A9";"Biologique";"N-6-1-1";60;2;NA;NA;NA;0,840386613;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60_2_A9"
"33";33;"G";"Green tea";1,789;2,016;0,227;0,803;"Belanger";"A9";"Biologique";"N-6-1-1";45;2;49,746;5,2747;0,288;0,858624587;NA;NA;NA;0,39946038;0,042355841;0,00231264;0,0089006374395773;0,459164207;0,00850241339123913;"45_2_A9"
"34";34;"G";"Green tea";1,76;1,988;0,228;1,316;"Belanger";"A9";"Biologique";"N-6-1-1";45;2;50,147;5,3952;0,282;0,844706133;NA;NA;NA;0,65993452;0,071000832;0,00371112;0,00323018862385483;0,184771613;0,00274275752550626;"45_2_A9"
"35";35;"G";"Green tea";1,786;2,015;0,228;0,799;"Belanger";"A9";"Biologique";"N-6-1-1";30;2;47,897;4,8253;0,258;0,857184747;NA;NA;NA;0,38269703;0,038554147;0,00206142;0,00893747572966855;0,474487717;0,00896010930785767;"30_2_A9"
"36";36;"G";"Green tea";1,792;2,019;0,227;0,813;"Belanger";"A9";"Biologique";"N-6-1-1";30;2;48,915;4,7691;0,272;0,860064427;NA;NA;NA;0,39767895;0,038772783;0,00221136;0,00878173871096739;0,462385477;0,00857069200098582;"30_2_A9"
"37";1;"S";"Rooibos tea";1,905;2,134;0,229;1,534;"Belanger";"A9";"Biologique";"N-8-0-0";0;1;44,624;0,60046;0,0299;0,91043125;NA;NA;NA;0,68453216;0,0092110564;0,000458666;0,00240670339592889;0,22589909;0,00316869735033213;"0_1_A9"
"38";2;"S";"Rooibos tea";1,892;2,118;0,226;1,497;"Belanger";"A9";"Biologique";"N-8-0-0";0;1;46,169;0,949;0,0424;0,904218333;NA;NA;NA;0,69114993;0,01420653;0,000634728;0,00260190405769106;0,213068403;0,00298571193785142;"0_1_A9"
"39";3;"S";"Rooibos tea";1,895;2,122;0,228;1,342;"Belanger";"A9";"Biologique";"N-8-0-0";0;1;49,264;0,72601;0,0337;0,905652083;NA;NA;NA;0,66112288;0,0097430542;0,000452254;0,00383397555538777;0,244529203;0,00349683883573468;"0_1_A9"
"40";4;"S";"Rooibos tea";1,907;2,138;0,231;1,308;"Belanger";"A9";"Biologique";"N-8-0-0";0;2;50,991;0,94623;0,0415;0,911387083;NA;NA;NA;0,66696228;0,0123766884;0,00054282;0,00418924526203639;0,244424803;0,0034692690381737;"0_2_A9"
"41";5;"S";"Rooibos tea";1,91;2,137;0,227;1,532;"Belanger";"A9";"Biologique";"N-8-0-0";0;2;49,04;0,88699;0,0355;0,912820833;NA;NA;NA;0,7512928;0,0135886868;0,00054386;0,00245032411933488;0,161528033;0,00216382406142711;"0_2_A9"
"42";6;"S";"Rooibos tea";1,908;2,136;0,229;1,495;"Belanger";"A9";"Biologique";"N-8-0-0";0;2;49,675;0,74179;0,0192;0,911865;NA;NA;NA;0,74264125;0,0110897605;0,00028704;0,00271032629092717;0,16922375;0,00228087627252211;"0_2_A9"
"43";7;"S";"Rooibos tea";1,912;2,14;0,229;1,501;"Belanger";"A9";"Biologique";"N-8-0-0";15;1;45,787;0,57047;0,0206;0,913776667;NA;NA;NA;0,68726287;0,0085627547;0,000309206;0,00268909179975427;0,226513797;0,00316521490099675;"15_1_A9"
"44";8;"S";"Rooibos tea";1,908;2,134;0,226;1,394;"Belanger";"A9";"Biologique";"N-8-0-0";15;1;44,64;0,70596;0,0313;0,911865;NA;NA;NA;0,6222816;0,0098410824;0,000436322;0,00348753622986403;0,2895834;0,00424554699329036;"15_1_A9"
"45";9;"S";"Rooibos tea";1,913;2,141;0,228;1,464;"Belanger";"A9";"Biologique";"N-8-0-0";15;1;50,335;0,79185;0,0283;0,914254583;NA;NA;NA;0,7369044;0,011592684;0,000414312;0,00297222527687773;0,177350183;0,00239612112393821;"15_1_A9"
"46";10;"S";"Rooibos tea";1,918;2,145;0,227;1,486;"Belanger";"A9";"Biologique";"N-8-0-0";15;2;48,573;0,71159;0,0213;0,916644167;NA;NA;NA;0,72179478;0,0105742274;0,000316518;0,00283550033517421;0,194849387;0,00265531662597805;"15_2_A9"
"47";11;"S";"Rooibos tea";1,901;2,13;0,228;1,351;"Belanger";"A9";"Biologique";"N-8-0-0";15;2;45,679;0,78026;0,0407;0,908519583;NA;NA;NA;0,61712329;0,0105413126;0,000549857;0,003794833383647;0,291396293;0,00429719574725764;"15_2_A9"
"48";12;"S";"Rooibos tea";1,899;2,129;0,23;1,362;"Belanger";"A9";"Biologique";"N-8-0-0";15;2;46,548;0,79404;0,0271;0,90756375;NA;NA;NA;0,63398376;0,0108148248;0,000369102;0,00369303582336476;0,27357999;0,00398600525153803;"15_2_A9"
