Prélèvement;PertePoids
4;0.619554318
4;0.793273036
4;0.586412128
4;0.554698931
4;0.563924402
4;0.670039348
4;0.683200456
4;0.594344905
4;0.557718502
4;0.660055866
4;0.692596747
4;0.625892857
4;0.597211378
4;0.527555556
4;0.695165823
4;
4;0.670873239
4;0.653589599
4;0.642743312
4;0.716768802
4;0.567913832
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
7;0.605337079
7;0.608305463
7;0.681375839
7;0.68606466
7;
7;0.599375
7;0.673299889
7;0.621348315
7;0.693138358
7;0.574346132
7;
7;0.701498335
7;0.651928452
7;0.67858338
7;0.616954824
7;
7;0.645775814
7;0.597313934
