Prélèvement;PertePoids
1;0.41065389
1;0.43290788
1;0.395027624
1;0.417787913
1;0.405311251
1;0.392661064
1;0.415448968
1;0.433259177
1;0.427348527
1;0.395613548
1;0.41082131
1;0.387199553
1;0.398747866
1;
1;
1;0.397671777
1;0.390399556
1;
1;0.429159616
1;0.371103716
1;0.405679287
1;0.410873239
1;0.399829352
1;
1;0.38934611
1;0.410671937
1;0.396601671
1;
1;0.405328099
1;0.404414261
1;0.390216155
1;0.400668524
1;
1;0.397959184
1;0.399277376
1;0.393276353
1;0.405543113
1;
1;0.392582106
1;0.388681381
2;0.446014698
2;0.454055587
2;0.456604834
2;0.441638418
2;0.44530543
2;0.447012842
2;0.47238041
2;0.447562358
2;0.431927024
2;0.433729485
2;0.454764574
2;
2;0.504080492
2;0.494789916
2;0.442616508
2;0.43046875
2;0.432194849
2;0.4462486
2;0.477752424
2;
2;0.442477376
2;0.439943182
2;0.443374858
2;0.455412946
2;0.44758199
2;0.450846501
2;0.453181818
2;0.442686397
2;0.448831909
2;0.454253521
2;0.444727891
2;
2;0.456302996
2;
2;0.456112676
2;0.446298405
2;0.460796411
2;0.441573034
2;0.451498021
2;0.445045558
3;0.495344924
3;
3;
3;0.504365079
3;0.618110676
3;
3;0.482950084
3;0.509388889
3;0.500839866
3;
3;0.513907658
3;0.507975113
3;0.497715591
3;0.498264278
3;0.51023622
3;
3;0.493609865
3;0.513502825
3;0.555460751
3;0.514742152
3;0.504868495
3;
3;0.587375415
3;0.518395962
3;0.540965909
3;0.483464126
3;0.497687535
3;0.511771364
3;0.501117943
3;0.492607004
3;0.522657581
3;0.490411732
3;0.527921348
3;0.520657016
3;0.557532689
3;0.519031339
3;0.536342987
3;
3;0.531277778
3;0.541016949
4;0.530769231
4;0.526460674
4;0.520545657
4;0.52184547
4;0.535067873
4;0.528507295
4;0.61642539
4;0.641126761
4;0.542808414
4;0.53311074
4;0.512639198
4;0.521392758
4;0.537675463
4;0.63193658
4;0.523690205
4;0.530100897
4;0.631386861
4;0.509350057
4;0.521968854
4;0.535294118
4;0.61053876
4;0.547892074
4;0.61237125
4;
4;0.643835616
4;0.669208879
4;0.547799443
4;0.525255973
4;
4;0.532576617
4;0.66983588
4;0.549515117
4;0.654105737
4;0.602114286
4;0.540833333
4;0.531724903
4;0.532700893
4;0.589949749
4;
4;0.529642249
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
7;0.559753363
7;0.572071072
7;0.571501416
7;0.56445817
7;0.567146814
7;0.5605
7;0.567638811
7;0.594074492
7;0.563101302
7;
7;0.641709155
7;0.555567929
7;0.577449889
7;0.58759733
7;0.576176971
7;0.547957471
7;
7;0.574074074
7;
7;
7;0.620954288
7;0.590949721
7;0.601947691
7;0.59513237
7;0.607980819
7;0.63536537
7;0.5958908
7;0.637259243
7;0.592688993
7;0.616511774
7;
7;0.590135676
7;0.606243094
7;0.564756672
7;0.597719408
7;0.595280203
7;0.59987813
7;
7;0.592509907
7;0.623146554
1;0.414630045
1;0.400625711
1;0.429972145
1;0.407466063
1;0.376796831
1;0.408963585
1;0.410073157
1;0.382118451
1;0.391619479
1;0.420486701
1;0.4058556
1;0.392338028
1;0.400558971
1;0.423440135
1;0.387824126
1;0.39766147
1;0.400222841
1;0.402538071
1;0.388238604
1;0.404545455
1;0.417154106
1;0.456941309
1;0.433503113
1;0.460200669
1;0.453674833
1;
1;0.482601351
1;0.445361991
1;0.432310268
1;0.45579955
1;0.442458101
1;
1;0.4492713
1;0.448633257
1;0.449035187
1;0.412674484
1;0.442176871
1;0.446878484
1;0.467478754
1;0.420987654
2;0.407090602
2;0.462200684
2;0.436264991
2;
2;0.448204265
2;
2;0.46020123
2;0.451788756
2;0.445362563
2;0.447665148
2;
2;0.465528819
2;0.453888889
2;0.427646396
2;0.480777903
2;0.46187291
2;0.481096197
2;0.453071672
2;0.488241945
2;
2;0.539757971
2;0.527991782
2;
2;0.505319149
2;0.471011236
2;0.497470489
2;0.535281024
2;
2;0.501138304
2;0.446499715
2;0.491210046
2;0.592598776
2;0.479661017
2;0.452215909
2;0.429238466
2;
2;0.491611111
2;0.503728436
2;0.465923034
2;
3;0.522116992
3;0.558671914
3;
3;
3;
3;
3;0.568888889
3;0.517784323
3;
3;0.554022346
3;0.558300727
3;0.544112676
3;0.558780761
3;
3;0.535231714
3;0.549508819
3;0.52537511
3;0.508722222
3;0.528960818
3;0.555123144
3;0.63677309
3;0.575102881
3;0.58441928
3;0.587662338
3;0.641235955
3;0.698367117
3;0.576891334
3;0.655174366
3;0.583522727
3;0.554966518
3;0.634422535
3;0.653131991
3;0.614827391
3;0.628945901
3;0.627404113
3;0.564253898
3;
3;0.634908884
3;0.562367393
3;0.56155568
4;0.561306818
4;0.551361868
4;0.543957279
4;0.545429208
4;0.627518289
4;0.652507042
4;0.543426966
4;0.605178174
4;0.646063652
4;0.574560907
4;0.660857461
4;0.493599102
4;0.627226319
4;0.61212634
4;0.629280822
4;0.545117845
4;0.622005571
4;0.556512018
4;0.643016138
