No;TypeThe;TeaType;PoidsContenu_g;PoidsTotal _g;PoidsSac_g;Poids_Restant_g;Farmers;Site;Regie;NitrogenType;DoseN;Repetition;Pourcentage_C;Pourcentage_N;Pourcentage_S;Teneur_Ci;GreenTMoy_C;GreenTMoy_N;GreenTMoy_S
132;S;Rooibos tea;1,891;2,116;0,226;1,573;Belanger;10;Conventionel;N-21-0-0;30;1;50,184;0,85323;0,0354;0,903740417;;;
133;S;Rooibos tea;1,906;2,132;0,225;1,446;Belanger;10;Conventionel;N-21-0-0;30;2;48,252;0,99285;0,0532;0,910909167;;;
134;S;Rooibos tea;1,909;2,136;0,228;1,566;Belanger;10;Conventionel;N-21-0-0;30;2;49,42;1,1357;0,0442;0,912342917;;;
135;S;Rooibos tea;1,906;2,132;0,227;1,54;Belanger;10;Conventionel;N-21-0-0;30;2;46,033;0,9933;0,0372;0,910909167;;;
136;S;Rooibos tea;1,913;2,139;0,226;1,571;Belanger;10;Conventionel;N-21-0-0;45;1;46,488;0,9111;0,0319;0,914254583;;;
137;S;Rooibos tea;1,92;2,148;0,228;1,534;Belanger;10;Conventionel;N-21-0-0;45;1;50,148;1,0239;0,0309;0,9176;;;
138;S;Rooibos tea;1,917;2,142;0,226;1,601;Belanger;10;Conventionel;N-21-0-0;45;1;45,778;0,86956;0,029;0,91616625;;;
139;S;Rooibos tea;1,893;2,119;0,226;1,406;Belanger;10;Conventionel;N-21-0-0;45;2;48,147;1,0639;0,0567;0,90469625;;;
140;S;Rooibos tea;1,893;2,117;0,225;1,349;Belanger;10;Conventionel;N-21-0-0;45;2;50,116;1,189;0,0509;0,90469625;;;
141;S;Rooibos tea;1,901;2,127;0,226;1,5;Belanger;10;Conventionel;N-21-0-0;45;2;46,755;0,94695;0,0339;0,908519583;;;
142;S;Rooibos tea;1,92;2,146;0,226;1,596;Belanger;10;Conventionel;N-21-0-0;60;1;46,96;0,93495;0,0358;0,9176;;;
143;S;Rooibos tea;1,906;2,132;0,226;1,473;Belanger;10;Conventionel;N-21-0-0;60;1;47,501;0,9949;0,0502;0,910909167;;;
144;S;Rooibos tea;1,912;2,138;0,225;1,516;Belanger;10;Conventionel;N-21-0-0;60;1;49,119;1,0393;0,0401;0,913776667;;;
145;S;Rooibos tea;1,915;2,14;0,226;1,49;Belanger;10;Conventionel;N-21-0-0;60;2;45,212;0,75637;0,0304;0,915210417;;;
146;S;Rooibos tea;1,916;2,142;0,226;1,645;Belanger;10;Conventionel;N-21-0-0;60;2;46,862;0,87316;0,0246;0,915688333;;;
147;S;Rooibos tea;1,89;2,116;0,226;1,524;Belanger;10;Conventionel;N-21-0-0;60;2;46,998;1,0677;0,0375;0,9032625;;;
148;S;Rooibos tea;1,899;2,127;0,227;1,391;Belanger;10;Conventionel;N-SCU;45;2;47,002;1,0066;0,0566;0,90756375;;;
149;S;Rooibos tea;1,912;2,139;0,227;1,446;Belanger;10;Conventionel;N-SCU;45;2;46,87;0,89954;0,0337;0,913776667;;;
150;S;Rooibos tea;1,908;2,138;0,231;1,534;Belanger;10;Conventionel;N-SCU;60;2;47,358;0,97108;0,0429;0,911865;;;
151;S;Rooibos tea;1,919;2,145;0,226;1,615;Belanger;10;Conventionel;N-SCU;60;2;48,368;0,97371;0,034;0,917122083;;;
152;S;Rooibos tea;1,903;2,129;0,226;1,598;Belanger;10;Conventionel;N-SCU;30;2;46,394;0,91746;0,0356;0,909475417;;;
153;S;Rooibos tea;1,919;2,144;0,226;1,518;Belanger;10;Conventionel;N-SCU;30;2;46,134;0,99378;0,0341;0,917122083;;;
625;G;Green tea;1,781;2,141;0,36;0,633;Fortier;9;Conventionel;N-21-0-0;0;1;50,954;3,6076;0,221;0,854785013;;;
626;G;Green tea;1,772;2,135;0,364;0,608;Fortier;9;Conventionel;N-21-0-0;0;1;52,174;3,7355;0,238;0,850465493;;;
627;G;Green tea;1,78;2,144;0,363;0,623;Fortier;9;Conventionel;N-21-0-0;0;1;51,297;3,6973;0,236;0,854305067;;;
628;G;Green tea;1,787;2,15;0,363;0,687;Fortier;9;Conventionel;N-21-0-0;0;2;51,006;4,9237;0,273;0,857664693;;;
629;G;Green tea;1,769;2,137;0,368;0,703;Fortier;9;Conventionel;N-21-0-0;0;2;52,188;5,9643;0,313;0,849025653;;;
630;G;Green tea;1,791;2,151;0,36;0,637;Fortier;9;Conventionel;N-21-0-0;0;2;51,208;4,8411;0,291;0,85958448;;;
631;G;Green tea;1,767;2,128;0,361;0,593;Fortier;9;Conventionel;N-21-0-0;15;1;50,875;3,8465;0,251;0,84806576;;;
632;G;Green tea;1,783;2,145;0,362;0,62;Fortier;9;Conventionel;N-21-0-0;15;1;49,996;4,1287;0,264;0,855744907;;;
633;G;Green tea;1,765;2,126;0,361;;Fortier;9;Conventionel;N-21-0-0;15;1;;;;0,847105867;;;
634;G;Green tea;1,77;2,132;0,363;;Fortier;9;Conventionel;N-21-0-0;15;2;;;;0,8495056;;;
635;G;Green tea;1,784;2,148;0,364;0,645;Fortier;9;Conventionel;N-21-0-0;15;2;49,588;3,8118;0,245;0,856224853;;;
636;G;Green tea;1,756;2,118;0,363;0,587;Fortier;9;Conventionel;N-21-0-0;15;2;49,44;4,3575;0,28;0,842786347;;;
637;G;Green tea;1,785;2,152;0,365;0,702;Fortier;9;Conventionel;N-21-0-0;30;1;42,055;4,0556;0,232;0,8567048;;;
638;G;Green tea;1,778;2,144;0,366;0,582;Fortier;9;Conventionel;N-21-0-0;30;1;50,02;4,3624;0,272;0,853345173;;;
639;G;Green tea;1,8;2,161;0,361;0,669;Fortier;9;Conventionel;N-21-0-0;30;1;49,777;4,8316;0,272;0,863904;;;
640;G;Green tea;1,796;2,154;0,357;0,784;Fortier;9;Conventionel;N-21-0-0;30;2;50,58;5,1024;0,285;0,861984213;;;
641;G;Green tea;1,754;2,117;0,363;0,629;Fortier;9;Conventionel;N-21-0-0;30;2;49,088;4,4936;0,272;0,841826453;;;
642;G;Green tea;1,751;2,111;0,36;0,592;Fortier;9;Conventionel;N-21-0-0;30;2;50,609;4,0937;0,259;0,840386613;;;
643;G;Green tea;1,789;2,148;0,359;0,682;Fortier;9;Conventionel;N-21-0-0;45;1;46,35;3,4626;0,222;0,858624587;;;
644;G;Green tea;1,759;2,121;0,361;0,572;Fortier;9;Conventionel;N-21-0-0;45;1;48,103;3,8768;0,243;0,844226187;;;
645;G;Green tea;1,759;2,131;0,371;0,579;Fortier;9;Conventionel;N-21-0-0;45;1;51,263;3,97;0,263;0,844226187;;;
646;G;Green tea;1,768;2,127;0,36;0,694;Fortier;9;Conventionel;N-21-0-0;45;2;49,448;4,7202;0,272;0,848545707;;;
647;G;Green tea;1,783;2,148;0,365;0,564;Fortier;9;Conventionel;N-21-0-0;45;2;50,994;4,0679;0,252;0,855744907;;;
648;G;Green tea;1,79;2,155;0,365;0,851;Fortier;9;Conventionel;N-21-0-0;45;2;48,724;4,8823;0,262;0,859104533;;;
649;G;Green tea;1,776;2,136;0,361;0,678;Fortier;9;Conventionel;N-21-0-0;60;1;47,983;3,2594;0,231;0,85238528;;;
650;G;Green tea;1,753;2,115;0,361;;Fortier;9;Conventionel;N-21-0-0;60;1;;;;0,841346507;;;
651;G;Green tea;1,77;2,132;0,362;;Fortier;9;Conventionel;N-21-0-0;60;1;;;;0,8495056;;;
652;G;Green tea;1,799;2,162;0,363;0,677;Fortier;9;Conventionel;N-21-0-0;60;2;44,782;3,2432;0,21;0,863424053;;;
653;G;Green tea;1,79;2,149;0,36;0,709;Fortier;9;Conventionel;N-21-0-0;60;2;48,637;3,799;0,219;0,859104533;;;
654;G;Green tea;1,791;2,146;0,355;0,467;Fortier;9;Conventionel;N-21-0-0;60;2;44,632;3,5701;0,257;0,85958448;;;
829;G;Green tea;1,758;2,117;0,36;0,784;Fortier;45;Conventionel;N-21-0-0;0;1;49,476;4,4698;0,27;0,84374624;;;
830;G;Green tea;1,751;2,113;0,362;0,587;Fortier;45;Conventionel;N-21-0-0;0;1;53,023;3,9144;0,253;0,840386613;;;
831;G;Green tea;1,778;2,13;0,351;0,727;Fortier;45;Conventionel;N-21-0-0;0;1;48,812;5,2095;0,339;0,853345173;;;
832;G;Green tea;1,784;2,143;0,359;0,744;Fortier;45;Conventionel;N-21-0-0;0;2;51,763;4,8061;0,281;0,856224853;;;
833;G;Green tea;1,784;2,145;0,361;0,737;Fortier;45;Conventionel;N-21-0-0;0;2;50,478;4,0142;0,272;0,856224853;;;
834;G;Green tea;1,782;2,136;0,355;0,804;Fortier;45;Conventionel;N-21-0-0;0;2;51,163;5,2482;0,307;0,85526496;;;
835;G;Green tea;1,757;2,112;0,356;0,848;Fortier;45;Conventionel;N-21-0-0;15;1;50,556;4,7736;0,325;0,843266293;;;
836;G;Green tea;1,784;2,142;0,357;0,692;Fortier;45;Conventionel;N-21-0-0;15;1;50,686;3,8653;0,29;0,856224853;;;
837;G;Green tea;1,779;2,134;0,355;0,836;Fortier;45;Conventionel;N-21-0-0;15;1;50,614;4,6776;0,287;0,85382512;;;
838;G;Green tea;1,766;2,125;0,359;0,61;Fortier;45;Conventionel;N-21-0-0;15;2;50,489;3,7105;0,246;0,847585813;;;
839;G;Green tea;1,775;2,132;0,357;0,65;Fortier;45;Conventionel;N-21-0-0;15;2;51,892;3,8414;0,261;0,851905333;;;
840;G;Green tea;1,801;2,156;0,356;0,807;Fortier;45;Conventionel;N-21-0-0;15;2;49,774;4,5611;0,287;0,864383947;;;
841;G;Green tea;1,769;2,122;0,357;0,803;Fortier;45;Conventionel;N-21-0-0;30;1;50,548;5,1077;0,315;0,849025653;;;
842;G;Green tea;1,774;2,13;0,37;0,738;Fortier;45;Conventionel;N-21-0-0;30;1;51,345;4,7929;0,294;0,851425387;;;
843;G;Green tea;1,757;2,113;0,355;0,553;Fortier;45;Conventionel;N-21-0-0;30;1;47,013;3,4768;0,253;0,843266293;;;
844;G;Green tea;1,761;2,116;0,355;;Fortier;45;Conventionel;N-21-0-0;30;2;;;;0,84518608;;;
845;G;Green tea;1,781;2,135;0,355;0,83;Fortier;45;Conventionel;N-21-0-0;30;2;44,017;3,5534;0,256;0,854785013;;;
846;G;Green tea;1,788;2,146;0,357;0,847;Fortier;45;Conventionel;N-21-0-0;30;2;50,818;5,0089;0,293;0,85814464;;;
847;G;Green tea;1,799;2,162;0,363;0,772;Fortier;45;Conventionel;N-21-0-0;45;1;50,201;4,795;0,297;0,863424053;;;
848;G;Green tea;1,792;2,151;0,359;0,858;Fortier;45;Conventionel;N-21-0-0;45;1;46,212;3,9897;0,301;0,860064427;;;
849;G;Green tea;1,791;2,15;0,359;0,904;Fortier;45;Conventionel;N-21-0-0;45;1;47,033;4,7959;0,318;0,85958448;;;
850;G;Green tea;1,768;2,124;0,356;0,753;Fortier;45;Conventionel;N-21-0-0;45;2;51,906;4,5151;0,28;0,848545707;;;
851;G;Green tea;1,763;2,123;0,36;0,738;Fortier;45;Conventionel;N-21-0-0;45;2;50,547;4,0679;0,256;0,846145973;;;
852;G;Green tea;1,795;2,164;0,368;0,805;Fortier;45;Conventionel;N-21-0-0;45;2;51,647;4,8294;0,299;0,861504267;;;
853;G;Green tea;1,772;2,131;0,357;0,754;Fortier;45;Conventionel;N-21-0-0;60;1;50,239;4,7838;0,293;0,850465493;;;
854;G;Green tea;1,794;2,145;0,353;0,796;Fortier;45;Conventionel;N-21-0-0;60;1;50,191;4,0365;0,264;0,86102432;;;
855;G;Green tea;1,772;2,131;0,359;0,781;Fortier;45;Conventionel;N-21-0-0;60;1;50,945;4,421;0,269;0,850465493;;;
856;G;Green tea;1,764;2,118;0,354;0,817;Fortier;45;Conventionel;N-21-0-0;60;2;44,363;3,7301;0,33;0,84662592;;;
857;G;Green tea;1,773;2,128;0,352;0,717;Fortier;45;Conventionel;N-21-0-0;60;2;50,583;3,6961;0,285;0,85094544;;;
858;G;Green tea;1,771;2,132;0,359;0,869;Fortier;45;Conventionel;N-21-0-0;60;2;48,501;4,4927;0,27;0,849985547;;;
1206;G;Green tea;1,754;2,117;0,362;0,851;Fortier;45;Conventionel;Nproducteur;57,28;;49,362;4,5884;0,286;0,841826453;;;
1207;G;Green tea;1,751;2,101;0,35;0,742;Fortier;45;Conventionel;Nproducteur;57,28;;49,238;4,2849;0,296;0,840386613;;;
1208;G;Green tea;1,774;2,137;0,363;0,668;Fortier;45;Conventionel;Nproducteur;57,28;;50,728;3,3266;0,257;0,851425387;;;
1209;G;Green tea;1,77;2,128;0,357;0,837;Fortier;45;Conventionel;Nproducteur;57,28;;51,201;4,7512;0,29;0,8495056;;;
1210;G;Green tea;1,774;2,135;0,361;;Fortier;45;Conventionel;Nproducteur;57,28;;;;;0,851425387;;;
1211;G;Green tea;1,793;2,146;0,353;0,852;Fortier;45;Conventionel;Nproducteur;57,28;;51,146;5,0601;0,308;0,860544373;;;
1212;G;Green tea;1,797;2,156;0,359;0,772;Fortier;45;Conventionel;Nproducteur;57,28;;49,503;3,5529;0,266;0,86246416;;;
1213;G;Green tea;1,767;2,127;0,36;0,876;Fortier;45;Conventionel;Nproducteur;57,28;;49,173;4,5658;0,275;0,84806576;;;
1214;G;Green tea;1,799;2,162;0,362;;Fortier;45;Conventionel;Nproducteur;57,28;;50,49;4,9219;0,301;0,863424053;;;
1215;G;Green tea;1,75;2,106;0,356;0,834;Fortier;45;Conventionel;Nproducteur;57,28;;50,1115;4,6972;0,312;0,839906667;;;
1216;G;Green tea;1,778;2,137;0,36;0,867;Fortier;45;Conventionel;Nproducteur;57,28;;51,396;4,6003;0,312;0,853345173;;;
1217;G;Green tea;1,795;2,144;0,348;0,798;Fortier;45;Conventionel;Nproducteur;57,28;;51,773;4,007;0,283;0,861504267;;;
1218;G;Green tea;1,785;2,139;0,354;1,244;Fortier;9;Conventionel;Nproducteur;57,28;;48,835;4,6919;0,269;0,8567048;;;
1219;G;Green tea;1,792;2,152;0,36;1,201;Fortier;9;Conventionel;Nproducteur;57,28;;44,524;3,7248;0,227;0,860064427;;;
1220;G;Green tea;1,803;2,159;0,355;1,18;Fortier;9;Conventionel;Nproducteur;57,28;;47,766;3,8724;0,231;0,86534384;;;
1221;G;Green tea;1,778;2,139;0,36;0,771;Fortier;9;Conventionel;Nproducteur;57,28;;49,015;4,4899;0,249;0,853345173;;;
1222;G;Green tea;1,796;2,159;0,361;0,78;Fortier;9;Conventionel;Nproducteur;57,28;;47,281;4,4411;0,248;0,861984213;;;
1223;G;Green tea;1,786;2,146;0,36;0,694;Fortier;9;Conventionel;Nproducteur;57,28;;46,874;3,0053;0,219;0,857184747;;;
1224;G;Green tea;1,783;2,14;0,358;0,752;Fortier;9;Conventionel;Nproducteur;57,28;;50,369;4,9149;0,268;0,855744907;;;
1225;G;Green tea;1,781;2,135;0,353;0,757;Fortier;9;Conventionel;Nproducteur;57,28;;49,852;4,3798;0,253;0,854785013;;;
1226;G;Green tea;1,765;2,125;0,361;;Fortier;9;Conventionel;Nproducteur;57,28;;;;;0,847105867;;;
1227;G;Green tea;1,78;2,136;0,356;0,503;Fortier;9;Conventionel;Nproducteur;57,28;;46,076;4,6646;0,254;0,854305067;;;
1228;G;Green tea;1,79;2,151;0,361;;Fortier;9;Conventionel;Nproducteur;57,28;;;;;0,859104533;;;
1229;G;Green tea;1,775;2,13;0,354;0,75;Fortier;9;Conventionel;Nproducteur;57,28;;48,802;4,6226;0,269;0,851905333;;;
1230;G;Green tea;1,802;2,17;0,368;0,725;Belanger;10;Conventionel;Nproducteur;57,28;;50,56;5,2532;0,284;0,864863893;;;
1231;G;Green tea;1,788;2,148;0,36;0,771;Belanger;10;Conventionel;Nproducteur;57,28;;43,705;4,2108;0,275;0,85814464;;;
1232;G;Green tea;1,756;2,111;0,355;0,675;Belanger;10;Conventionel;Nproducteur;57,28;;50,58;5,0314;0,28;0,842786347;;;
1233;G;Green tea;1,764;2,121;0,357;;Belanger;10;Conventionel;Nproducteur;57,28;;;;;0,84662592;;;
1234;G;Green tea;1,76;2,126;0,366;0,638;Belanger;10;Conventionel;Nproducteur;57,28;;50,563;4,6042;0,274;0,844706133;;;
1235;G;Green tea;1,785;2,145;0,359;0,697;Belanger;10;Conventionel;Nproducteur;57,28;;50,413;5,0405;0,301;0,8567048;;;
1243;G;Green tea;1,778;2,135;0,358;0,619;Fortier;9;Conventionel;N-SCU;30;2;50,781;4,4079;0,249;0,853345173;;;
1244;G;Green tea;1,797;2,159;0,362;0,675;Fortier;9;Conventionel;N-SCU;30;2;47,013;4,0061;0,245;0,86246416;;;
1245;G;Green tea;1,804;2,165;0,361;0,64;Fortier;9;Conventionel;N-SCU;45;2;48,548;3,894;0,248;0,865823787;;;
1246;G;Green tea;1,79;2,149;0,36;0,636;Fortier;9;Conventionel;N-SCU;45;2;50,534;3,9981;0,261;0,859104533;;;
1247;G;Green tea;1,779;2,138;0,359;0,687;Fortier;9;Conventionel;N-SCU;60;2;47,355;4,6058;0,265;0,85382512;;;
1248;G;Green tea;1,75;2,104;0,354;0,63;Fortier;9;Conventionel;N-SCU;60;2;48,63;4,638;0,276;0,839906667;;;
391;S;Rooibos tea;1,91;2,27;0,361;1,352;Fortier;9;Conventionel;N-21-0-0;0;1;45,22;0,80471;0,0199;0,912820833;;;
392;S;Rooibos tea;1,913;2,272;0,359;1,295;Fortier;9;Conventionel;N-21-0-0;0;1;47,323;1,0041;0,0381;0,914254583;;;
393;S;Rooibos tea;1,925;2,281;0,355;1,232;Fortier;9;Conventionel;N-21-0-0;0;1;47,264;0,81148;0,023;0,919989583;;;
394;S;Rooibos tea;1,893;2,246;0,353;1,416;Fortier;9;Conventionel;N-21-0-0;0;2;46,632;0,92743;0,0208;0,90469625;;;
395;S;Rooibos tea;1,906;2,258;0,352;1,402;Fortier;9;Conventionel;N-21-0-0;0;2;45,722;0,77332;0,0177;0,910909167;;;
396;S;Rooibos tea;1,907;2,272;0,365;1,288;Fortier;9;Conventionel;N-21-0-0;0;2;47,315;0,76372;0,0195;0,911387083;;;
397;S;Rooibos tea;1,921;2,286;0,365;;Fortier;9;Conventionel;N-21-0-0;15;1;;;;0,918077917;;;
398;S;Rooibos tea;1,907;2,26;0,353;1,343;Fortier;9;Conventionel;N-21-0-0;15;1;45,302;0,76838;0,029;0,911387083;;;
399;S;Rooibos tea;1,888;2,249;0,361;1,255;Fortier;9;Conventionel;N-21-0-0;15;1;46,74;0,92017;0,0337;0,902306667;;;
400;S;Rooibos tea;1,893;2,255;0,362;1,41;Fortier;9;Conventionel;N-21-0-0;15;2;47,119;0,75799;0,0175;0,90469625;;;
401;S;Rooibos tea;1,896;2,253;0,358;1,387;Fortier;9;Conventionel;N-21-0-0;15;2;43,626;0,74622;0,0284;0,90613;;;
402;S;Rooibos tea;1,9;2,263;0,364;;Fortier;9;Conventionel;N-21-0-0;15;2;;;;0,908041667;;;
403;S;Rooibos tea;1,919;2,28;0,361;1,557;Fortier;9;Conventionel;N-21-0-0;30;1;46,514;0,87969;0,0308;0,917122083;;;
404;S;Rooibos tea;1,905;2,261;0,355;1,319;Fortier;9;Conventionel;N-21-0-0;30;1;46,157;0,78784;0,0335;0,91043125;;;
405;S;Rooibos tea;1,909;2,261;0,351;1,274;Fortier;9;Conventionel;N-21-0-0;30;1;47,268;0,63065;0,0147;0,912342917;;;
406;S;Rooibos tea;1,889;2,244;0,355;1,173;Fortier;9;Conventionel;N-21-0-0;30;2;50,581;1,1526;0,0609;0,902784583;;;
407;S;Rooibos tea;1,92;2,282;0,363;;Fortier;9;Conventionel;N-21-0-0;30;2;;;;0,9176;;;
408;S;Rooibos tea;1,913;2,275;0,362;1,278;Fortier;9;Conventionel;N-21-0-0;30;2;46,261;1,1354;0,0527;0,914254583;;;
409;S;Rooibos tea;1,928;2,289;0,361;1,358;Fortier;9;Conventionel;N-21-0-0;45;1;45,117;0,7964;0,0278;0,921423333;;;
410;S;Rooibos tea;1,925;2,284;0,36;1,338;Fortier;9;Conventionel;N-21-0-0;45;1;45,707;0,78982;0,0303;0,919989583;;;
411;S;Rooibos tea;1,922;2,281;0,36;1,485;Fortier;9;Conventionel;N-21-0-0;45;1;41,814;0,91768;0,0406;0,918555833;;;
412;S;Rooibos tea;1,92;2,283;0,363;1,424;Fortier;9;Conventionel;N-21-0-0;45;2;47,132;0,67525;0,0105;0,9176;;;
413;S;Rooibos tea;1,902;2,26;0,357;1,538;Fortier;9;Conventionel;N-21-0-0;45;2;48,187;0,79626;0,0192;0,9089975;;;
414;S;Rooibos tea;1,893;2,255;0,362;1,349;Fortier;9;Conventionel;N-21-0-0;45;2;45,592;0,91926;0,0329;0,90469625;;;
415;S;Rooibos tea;1,911;2,279;0,367;1,266;Fortier;9;Conventionel;N-21-0-0;60;1;46,939;0,77745;0,0284;0,91329875;;;
416;S;Rooibos tea;1,897;2,256;0,358;1,209;Fortier;9;Conventionel;N-21-0-0;60;1;47,576;0,93114;0,0386;0,906607917;;;
417;S;Rooibos tea;1,918;2,279;0,362;1,299;Fortier;9;Conventionel;N-21-0-0;60;1;47,033;0,81894;0,0315;0,916644167;;;
418;S;Rooibos tea;1,923;2,282;0,359;1,341;Fortier;9;Conventionel;N-21-0-0;60;2;47,994;0,82309;0,0328;0,91903375;;;
419;S;Rooibos tea;1,913;2,27;0,357;1,279;Fortier;9;Conventionel;N-21-0-0;60;2;47,802;0,85905;0,0291;0,914254583;;;
420;S;Rooibos tea;1,903;2,262;0,358;;Fortier;9;Conventionel;N-21-0-0;60;2;;;;0,909475417;;;
523;S;Rooibos tea;1,907;2,274;0,367;1,352;Fortier;45;Conventionel;N-21-0-0;0;1;47,963;1,2148;0,0845;0,911387083;;;
524;S;Rooibos tea;1,891;2,252;0,361;1,371;Fortier;45;Conventionel;N-21-0-0;0;1;48,358;1,0006;0,0706;0,903740417;;;
525;S;Rooibos tea;1,896;2,257;0,361;1,401;Fortier;45;Conventionel;N-21-0-0;0;1;49,667;1,0147;0,0773;0,90613;;;
526;S;Rooibos tea;1,902;2,27;0,368;1,3;Fortier;45;Conventionel;N-21-0-0;0;2;50,585;0,89246;0,0584;0,9089975;;;
527;S;Rooibos tea;1,888;2,249;0,361;1,235;Fortier;45;Conventionel;N-21-0-0;0;2;45,33;0,82495;0,0692;0,902306667;;;
528;S;Rooibos tea;1,893;2,254;0,361;1,35;Fortier;45;Conventionel;N-21-0-0;0;2;46;0,98091;0,0891;0,90469625;;;
529;S;Rooibos tea;1,893;2,25;0,356;1,406;Fortier;45;Conventionel;N-21-0-0;15;1;44,649;0,88298;0,0731;0,90469625;;;
530;S;Rooibos tea;1,886;2,251;0,365;1,372;Fortier;45;Conventionel;N-21-0-0;15;1;44,88;0,82519;0,0763;0,901350833;;;
531;S;Rooibos tea;1,899;2,253;0,353;1,423;Fortier;45;Conventionel;N-21-0-0;15;1;44,851;0,84795;0,0848;0,90756375;;;
532;S;Rooibos tea;1,91;2,268;0,359;;Fortier;45;Conventionel;N-21-0-0;15;2;;;;0,912820833;;;
533;S;Rooibos tea;1,918;2,281;0,362;1,369;Fortier;45;Conventionel;N-21-0-0;15;2;47,625;0,92312;0,0759;0,916644167;;;
534;S;Rooibos tea;1,908;2,274;0,365;1,307;Fortier;45;Conventionel;N-21-0-0;15;2;46,308;0,76662;0,0762;0,911865;;;
535;S;Rooibos tea;1,889;2,248;0,36;1,298;Fortier;45;Conventionel;N-21-0-0;30;1;45,827;1,0734;0,0915;0,902784583;;;
536;S;Rooibos tea;1,894;2,255;0,361;1,297;Fortier;45;Conventionel;N-21-0-0;30;1;45,185;0,95828;0,0883;0,905174167;;;
537;S;Rooibos tea;1,92;2,277;0,357;1,316;Fortier;45;Conventionel;N-21-0-0;30;1;46,583;0,93804;0,0664;0,9176;;;
538;S;Rooibos tea;1,912;2,274;0,361;1,369;Fortier;45;Conventionel;N-21-0-0;30;2;44,983;0,82848;0,0849;0,913776667;;;
539;S;Rooibos tea;1,924;2,279;0,355;1,389;Fortier;45;Conventionel;N-21-0-0;30;2;44,722;0,88329;0,0838;0,919511667;;;
540;S;Rooibos tea;1,903;2,262;0,359;1,5;Fortier;45;Conventionel;N-21-0-0;30;2;44,727;0,9086;0,073;0,909475417;;;
541;S;Rooibos tea;1,924;2,276;0,352;1,304;Fortier;45;Conventionel;N-21-0-0;45;1;46,833;0,97446;0,0933;0,919511667;;;
542;S;Rooibos tea;1,893;2,253;0,359;1,458;Fortier;45;Conventionel;N-21-0-0;45;1;45,34;1,0204;0,0787;0,90469625;;;
543;S;Rooibos tea;1,923;2,278;0,355;1,47;Fortier;45;Conventionel;N-21-0-0;45;1;50,215;1,0171;0,161;0,91903375;;;
544;S;Rooibos tea;1,91;2,275;0,365;1,445;Fortier;45;Conventionel;N-21-0-0;45;2;45,395;1,0093;0,0795;0,912820833;;;
545;S;Rooibos tea;1,915;2,275;0,361;1,435;Fortier;45;Conventionel;N-21-0-0;45;2;44,406;0,98229;0,088;0,915210417;;;
546;S;Rooibos tea;1,91;2,266;0,356;1,43;Fortier;45;Conventionel;N-21-0-0;45;2;45,959;1,0391;0,0953;0,912820833;;;
547;S;Rooibos tea;1,891;2,247;0,356;1,437;Fortier;45;Conventionel;N-21-0-0;60;1;47,543;0,96472;0,0815;0,903740417;;;
548;S;Rooibos tea;1,9;2,26;0,36;1,228;Fortier;45;Conventionel;N-21-0-0;60;1;46,787;0,98781;0,0866;0,908041667;;;
549;S;Rooibos tea;1,913;2,278;0,364;1,389;Fortier;45;Conventionel;N-21-0-0;60;1;45,24;1,0139;0,095;0,914254583;;;
550;S;Rooibos tea;1,907;2,264;0,357;1,341;Fortier;45;Conventionel;N-21-0-0;60;2;48,123;0,92958;0,102;0,911387083;;;
551;S;Rooibos tea;1,918;2,269;0,352;1,391;Fortier;45;Conventionel;N-21-0-0;60;2;45,65;1,0164;0,0869;0,916644167;;;
552;S;Rooibos tea;1,905;2,253;0,348;1,384;Fortier;45;Conventionel;N-21-0-0;60;2;47,642;1,0902;0,0888;0,91043125;;;
756;S;Rooibos tea;1,926;2,288;0,362;1,396;Fortier;45;Conventionel;Nproducteur;57,28;1;43,223;0,65901;0,0783;0,9204675;;;
757;S;Rooibos tea;1,926;2,291;0,365;1,398;Fortier;45;Conventionel;Nproducteur;57,28;1;44,182;0,61058;0,0739;0,9204675;;;
758;S;Rooibos tea;1,893;2,252;0,359;1,373;Fortier;45;Conventionel;Nproducteur;57,28;1;46,048;1,0733;0,0869;0,90469625;;;
759;S;Rooibos tea;1,894;2,255;0,361;1,379;Fortier;45;Conventionel;Nproducteur;57,28;2;47,219;1,1123;0,0944;0,905174167;;;
760;S;Rooibos tea;1,909;2,269;0,36;;Fortier;45;Conventionel;Nproducteur;57,28;2;;;;0,912342917;;;
761;S;Rooibos tea;1,916;2,275;0,359;1,345;Fortier;45;Conventionel;Nproducteur;57,28;2;45,947;0,88188;0,085;0,915688333;;;
762;S;Rooibos tea;1,925;2,283;0,358;1,516;Fortier;45;Conventionel;Nproducteur;57,28;1;45,946;1,0491;0,084;0,919989583;;;
763;S;Rooibos tea;1,928;2,285;0,36;1,472;Fortier;45;Conventionel;Nproducteur;57,28;1;46,126;0,96534;0,0994;0,921423333;;;
764;S;Rooibos tea;1,892;2,259;0,365;;Fortier;45;Conventionel;Nproducteur;57,28;1;;;;0,904218333;;;
765;S;Rooibos tea;1,926;2,28;0,355;1,419;Fortier;45;Conventionel;Nproducteur;57,28;2;46,09;0,946;0,0945;0,9204675;;;
766;S;Rooibos tea;1,889;2,247;0,358;1,386;Fortier;45;Conventionel;Nproducteur;57,28;;47,025;1,1066;0,096;0,902784583;;;
767;S;Rooibos tea;1,923;2,275;0,352;1,472;Fortier;45;Conventionel;Nproducteur;57,28;;;;;0,91903375;;;
