No;TypeThe;TeaType;PoidsContenu_g;PoidsTotal _g;PoidsSac_g;Poids_Restant_g;Farmers;Site;Regie;NitrogenType;DoseN;Repetition;Pourcentage_C;Pourcentage_N;Pourcentage_S;Teneur_Ci;GreenTMoy_C;GreenTMoy_N;GreenTMoy_S
6;S;Rooibos tea;1,908;2,136;0,229;1,495;Belanger;A9;Biologique;N-8-0-0;0;2;49,675;0,74179;0,0192;0,911865;;;
7;S;Rooibos tea;1,912;2,14;0,229;1,501;Belanger;A9;Biologique;N-8-0-0;15;1;45,787;0,57047;0,0206;0,913776667;;;
8;S;Rooibos tea;1,908;2,134;0,226;1,394;Belanger;A9;Biologique;N-8-0-0;15;1;44,64;0,70596;0,0313;0,911865;;;
9;S;Rooibos tea;1,913;2,141;0,228;1,464;Belanger;A9;Biologique;N-8-0-0;15;1;50,335;0,79185;0,0283;0,914254583;;;
10;S;Rooibos tea;1,918;2,145;0,227;1,486;Belanger;A9;Biologique;N-8-0-0;15;2;48,573;0,71159;0,0213;0,916644167;;;
11;S;Rooibos tea;1,901;2,13;0,228;1,351;Belanger;A9;Biologique;N-8-0-0;15;2;45,679;0,78026;0,0407;0,908519583;;;
12;S;Rooibos tea;1,899;2,129;0,23;1,362;Belanger;A9;Biologique;N-8-0-0;15;2;46,548;0,79404;0,0271;0,90756375;;;
13;S;Rooibos tea;1,896;2,126;0,23;1,507;Belanger;A9;Biologique;N-8-0-0;30;1;45,6;0,69923;0,0254;0,90613;;;
14;S;Rooibos tea;1,91;2,137;0,227;1,459;Belanger;A9;Biologique;N-8-0-0;30;1;46,94;0,84806;0,0356;0,912820833;;;
15;S;Rooibos tea;1,918;2,146;0,228;1,465;Belanger;A9;Biologique;N-8-0-0;30;1;46,415;0,83329;0,042;0,916644167;;;
16;S;Rooibos tea;1,901;2,13;0,23;1,39;Belanger;A9;Biologique;N-8-0-0;30;2;46,451;0,82498;0,0311;0,908519583;;;
17;S;Rooibos tea;1,899;2,127;0,228;1,444;Belanger;A9;Biologique;N-8-0-0;30;2;45,502;0,7767;0,0318;0,90756375;;;
18;S;Rooibos tea;1,904;2,132;0,227;1,398;Belanger;A9;Biologique;N-8-0-0;30;2;43,972;0,63764;0,0254;0,909953333;;;
19;S;Rooibos tea;1,91;2,138;0,228;1,318;Belanger;A9;Biologique;N-8-0-0;45;1;50,197;1,0435;0,0386;0,912820833;;;
20;S;Rooibos tea;1,897;2,128;0,231;;Belanger;A9;Biologique;N-8-0-0;45;1;;;;0,906607917;;;
21;S;Rooibos tea;1,917;2,143;0,226;1,442;Belanger;A9;Biologique;N-8-0-0;45;1;46,684;0,68682;0,0198;0,91616625;;;
22;S;Rooibos tea;1,918;2,145;0,228;1,394;Belanger;A9;Biologique;N-8-0-0;45;2;48,972;0,58367;0,015;0,916644167;;;
23;S;Rooibos tea;1,893;2,122;0,229;1,473;Belanger;A9;Biologique;N-8-0-0;45;2;49,874;0,72113;0,0214;0,90469625;;;
24;S;Rooibos tea;1,914;2,141;0,227;;Belanger;A9;Biologique;N-8-0-0;45;2;;;;0,9147325;;;
25;S;Rooibos tea;1,895;2,122;0,226;1,394;Belanger;A9;Biologique;N-8-0-0;60;1;45,871;0,67665;0,0344;0,905652083;;;
26;S;Rooibos tea;1,919;2,143;0,226;1,464;Belanger;A9;Biologique;N-8-0-0;60;1;47,175;0,65084;0,0179;0,917122083;;;
27;S;Rooibos tea;1,896;2,123;0,226;1,448;Belanger;A9;Biologique;N-8-0-0;60;1;49,636;0,98351;0,0378;0,90613;;;
28;S;Rooibos tea;1,918;2,145;0,227;1,463;Belanger;A9;Biologique;N-8-0-0;60;2;47,1;0,83206;0,0364;0,916644167;;;
29;S;Rooibos tea;1,914;2,141;0,227;1,41;Belanger;A9;Biologique;N-8-0-0;60;2;47,463;0,6474;0,0184;0,9147325;;;
30;S;Rooibos tea;1,916;2,142;0,227;;Belanger;A9;Biologique;N-8-0-0;60;2;44,325;0,62286;0,0186;0,915688333;;;
31;S;Rooibos tea;1,918;2,145;0,226;1,453;Belanger;A9;Biologique;N-6-1-1;60;2;44,485;0,61915;0,0206;0,916644167;;;
32;S;Rooibos tea;1,891;2,118;0,227;1,286;Belanger;A9;Biologique;N-6-1-1;60;2;42,687;0,89221;0,0463;0,903740417;;;
